iter	Passed	Remaining
0	5	5347
1	10	5233
2	15	5112
3	20	5040
4	24	4943
5	29	4906
6	34	4877
7	38	4789
8	43	4806
9	48	4831
10	53	4826
11	59	4904
12	65	4948
13	70	4946
14	74	4919
15	79	4901
16	85	4953
17	90	4959
18	95	4921
19	100	4907
20	106	4948
21	111	4937
22	115	4921
23	121	4923
24	125	4889
25	130	4877
26	135	4884
27	141	4914
28	146	4902
29	151	4909
30	156	4890
31	161	4873
32	165	4854
33	170	4832
34	175	4829
35	179	4813
36	184	4795
37	188	4783
38	193	4766
39	198	4756
40	202	4740
41	206	4716
42	211	4712
43	216	4698
44	220	4681
45	224	4658
46	229	4643
47	233	4630
48	237	4616
49	242	4609
50	247	4601
51	251	4584
52	255	4571
53	260	4560
54	265	4553
55	269	4539
56	273	4532
57	278	4530
58	283	4519
59	287	4502
60	292	4500
61	297	4494
62	301	4487
63	306	4480
64	311	4475
65	315	4465
66	320	4463
67	325	4461
68	330	4463
69	335	4462
70	340	4451
71	344	4443
72	349	4438
73	354	4430
74	359	4428
75	364	4432
76	369	4427
77	374	4425
78	379	4422
79	384	4418
80	389	4420
81	394	4416
82	399	4415
83	404	4411
84	409	4405
85	414	4404
86	419	4406
87	425	4405
88	430	4404
89	434	4398
90	440	4396
91	445	4398
92	450	4396
93	456	4398
94	461	4398
95	467	4399
96	472	4397
97	477	4392
98	482	4387
99	487	4384
100	492	4380
101	497	4384
102	502	4379
103	508	4377
104	513	4376
105	519	4382
106	524	4379
107	530	4378
108	535	4374
109	540	4372
110	545	4372
111	551	4371
112	556	4366
113	561	4364
114	566	4363
115	571	4358
116	577	4357
117	582	4355
118	587	4352
119	593	4348
120	597	4343
121	602	4338
122	608	4337
123	613	4337
124	618	4330
125	624	4330
126	629	4327
127	634	4323
128	640	4322
129	645	4320
130	651	4318
131	656	4314
132	662	4316
133	667	4315
134	673	4312
135	678	4310
136	684	4309
137	689	4307
138	694	4304
139	700	4302
140	705	4298
141	711	4296
142	716	4292
143	721	4291
144	727	4287
145	732	4284
146	737	4281
147	743	4277
148	748	4274
149	753	4269
150	758	4263
151	764	4262
152	770	4267
153	776	4264
154	781	4258
155	786	4252
156	790	4246
157	796	4243
158	801	4239
159	806	4235
160	812	4232
161	816	4224
162	822	4221
163	827	4219
164	832	4213
165	837	4210
166	843	4206
167	848	4202
168	853	4197
169	858	4192
170	864	4190
171	869	4185
172	875	4184
173	880	4178
174	885	4173
175	890	4166
176	895	4162
177	900	4158
178	905	4155
179	911	4150
180	916	4146
181	921	4142
182	926	4137
183	931	4130
184	936	4125
185	941	4122
186	947	4117
187	952	4112
188	956	4105
189	963	4106
190	968	4103
191	973	4098
192	979	4095
193	984	4090
194	989	4085
195	994	4081
196	1000	4078
197	1006	4075
198	1011	4072
199	1017	4068
200	1022	4064
201	1028	4064
202	1034	4060
203	1039	4054
204	1044	4051
205	1050	4049
206	1056	4045
207	1061	4041
208	1066	4035
209	1072	4032
210	1077	4029
211	1082	4025
212	1088	4021
213	1093	4015
214	1098	4010
215	1103	4003
216	1108	3999
217	1113	3994
218	1118	3989
219	1124	3986
220	1129	3981
221	1134	3976
222	1139	3972
223	1145	3967
224	1150	3963
225	1155	3958
226	1161	3954
227	1166	3949
228	1171	3944
229	1177	3940
230	1182	3937
231	1187	3930
232	1192	3925
233	1197	3920
234	1202	3914
235	1207	3908
236	1212	3903
237	1218	3899
238	1223	3894
239	1228	3889
240	1233	3883
241	1238	3879
242	1243	3874
243	1248	3868
244	1253	3863
245	1259	3861
246	1265	3856
247	1269	3850
248	1275	3847
249	1280	3842
250	1286	3837
251	1291	3833
252	1296	3827
253	1301	3822
254	1306	3815
255	1311	3810
256	1315	3804
257	1320	3798
258	1326	3794
259	1330	3787
260	1335	3781
261	1340	3776
262	1346	3772
263	1351	3767
264	1358	3767
265	1363	3761
266	1368	3755
267	1374	3754
268	1379	3749
269	1385	3744
270	1390	3740
271	1395	3735
272	1400	3729
273	1405	3723
274	1409	3717
275	1415	3712
276	1420	3707
277	1425	3701
278	1430	3695
279	1435	3691
280	1440	3685
281	1445	3679
282	1450	3674
283	1455	3668
284	1460	3664
285	1465	3658
286	1470	3653
287	1476	3649
288	1481	3644
289	1486	3638
290	1491	3633
291	1496	3627
292	1501	3622
293	1506	3616
294	1511	3612
295	1517	3608
296	1522	3603
297	1527	3598
298	1532	3593
299	1537	3588
300	1542	3582
301	1547	3575
302	1552	3570
303	1557	3564
304	1562	3559
305	1566	3553
306	1572	3548
307	1577	3544
308	1582	3539
309	1587	3534
310	1593	3530
311	1598	3525
312	1604	3520
313	1610	3518
314	1615	3513
315	1620	3508
316	1625	3502
317	1631	3498
318	1636	3494
319	1642	3489
320	1646	3483
321	1652	3478
322	1658	3475
323	1663	3469
324	1667	3464
325	1673	3459
326	1678	3454
327	1684	3450
328	1689	3445
329	1694	3441
330	1699	3435
331	1704	3429
332	1709	3424
333	1714	3419
334	1720	3414
335	1725	3409
336	1730	3404
337	1735	3398
338	1740	3392
339	1745	3387
340	1750	3382
341	1755	3378
342	1760	3372
343	1765	3367
344	1771	3362
345	1776	3357
346	1781	3352
347	1786	3347
348	1791	3341
349	1796	3336
350	1801	3331
351	1807	3327
352	1812	3322
353	1817	3317
354	1822	3312
355	1828	3306
356	1833	3301
357	1838	3297
358	1843	3291
359	1848	3285
360	1854	3281
361	1859	3276
362	1864	3271
363	1869	3266
364	1874	3261
365	1879	3256
366	1885	3252
367	1890	3247
368	1895	3241
369	1900	3236
370	1906	3232
371	1911	3227
372	1916	3222
373	1921	3216
374	1926	3211
375	1931	3205
376	1936	3200
377	1941	3194
378	1946	3188
379	1951	3183
380	1956	3178
381	1961	3172
382	1966	3167
383	1971	3162
384	1976	3157
385	1981	3151
386	1986	3147
387	1992	3143
388	1997	3137
389	2002	3132
390	2007	3126
391	2012	3120
392	2017	3115
393	2022	3111
394	2028	3106
395	2034	3102
396	2039	3098
397	2045	3094
398	2050	3088
399	2055	3083
400	2060	3078
401	2065	3072
402	2071	3068
403	2076	3063
404	2081	3058
405	2087	3053
406	2092	3048
407	2097	3043
408	2103	3039
409	2108	3034
410	2113	3028
411	2118	3023
412	2123	3018
413	2128	3013
414	2134	3008
415	2139	3003
416	2144	2998
417	2149	2993
418	2154	2987
419	2159	2982
420	2165	2978
421	2171	2974
422	2175	2968
423	2181	2963
424	2187	2959
425	2193	2955
426	2198	2950
427	2204	2946
428	2209	2940
429	2214	2935
430	2219	2930
431	2224	2925
432	2230	2921
433	2236	2916
434	2242	2912
435	2247	2907
436	2253	2902
437	2258	2897
438	2263	2892
439	2268	2886
440	2273	2881
441	2279	2877
