no,default_12month
8000320,0.19450438022613525
8000392,0.12548543512821198
8000393,0.11488936096429825
8000394,0.08112356811761856
8000395,0.07304897159337997
8000396,0.0809020847082138
8000397,0.17151162028312683
8000398,0.08146452158689499
8000399,0.10061225295066833
8000400,0.09686772525310516
8000401,0.06185200810432434
8000402,0.10207662731409073
8000403,0.1435987651348114
8000404,0.04739606752991676
8000405,0.08866240829229355
8000406,0.08031141757965088
8000407,0.08957845717668533
8000408,0.09374368190765381
8000409,0.16487646102905273
8000410,0.03608155623078346
8000411,0.13576968014240265
8000412,0.11992345750331879
8000413,0.12614865601062775
8000414,0.13116046786308289
8000415,0.07247782498598099
8000416,0.12048512697219849
8000417,0.13423693180084229
8000418,0.07388045638799667
8000419,0.1177874431014061
8000420,0.09213551878929138
8000421,0.10238625109195709
8000422,0.12169097363948822
8000423,0.12034467607736588
8000424,0.06905099004507065
8000425,0.09719204157590866
8000426,0.08362240344285965
8000427,0.11025433987379074
8000428,0.06147870048880577
8000429,0.036277566105127335
8000430,0.0844101533293724
8000431,0.10898017883300781
8000432,0.11065226793289185
8000433,0.08588769286870956
8000434,0.14257176220417023
8000435,0.04707393795251846
8000436,0.14540889859199524
8000437,0.07544707506895065
8000438,0.07474534213542938
8000439,0.13203740119934082
8000440,0.17191138863563538
8000441,0.05820680409669876
8000442,0.09642525017261505
8000443,0.043417010456323624
8000444,0.10775364935398102
8000445,0.11687449365854263
8000446,0.06766369938850403
8000447,0.11718592792749405
8000448,0.07212460041046143
8000449,0.1089184358716011
8000450,0.21174703538417816
8000451,0.07831475138664246
8000452,0.05275209993124008
8000453,0.10885394364595413
8000454,0.0967823788523674
8000455,0.130936861038208
8000456,0.19761593639850616
8000457,0.09961125254631042
8000458,0.11105052381753922
8000459,0.12325147539377213
8000460,0.053940482437610626
8000461,0.07565183937549591
8000462,0.05510827526450157
8000463,0.05683744698762894
8000464,0.11009522527456284
8000465,0.0756300836801529
8000466,0.06510428339242935
8000467,0.04452328383922577
8000468,0.14076142013072968
8000469,0.1315654218196869
8000470,0.05924956500530243
8000471,0.0960535928606987
8000472,0.08969602733850479
8000473,0.11341248452663422
8000474,0.04738423600792885
8000475,0.2015380561351776
8000476,0.08784869313240051
8000477,0.0932530090212822
8000478,0.04608770087361336
8000479,0.07988777756690979
8000480,0.11131003499031067
8000481,0.10379466414451599
8000482,0.10788444429636002
8000483,0.140175461769104
8000484,0.04902879521250725
8000485,0.09836608171463013
8000486,0.119705431163311
8000487,0.12089409679174423
8000488,0.08490513265132904
8000489,0.18183442950248718
8001126,0.0863785371184349
8001127,0.1414640247821808
8001128,0.11283887922763824
8001129,0.04604385793209076
8001130,0.09761732071638107
8001131,0.18847890198230743
8001132,0.10496994853019714
8001133,0.18546314537525177
8001134,0.05588698014616966
8001135,0.17085854709148407
8001136,0.09473064541816711
8001137,0.09228469431400299
8001138,0.11698731034994125
8001139,0.11950051039457321
8001140,0.08827482908964157
8001141,0.10297407954931259
8001142,0.09113609045743942
8001143,0.10845489799976349
8001144,0.11500358581542969
8001145,0.10359452664852142
8001146,0.10580319166183472
8001147,0.1108720451593399
8001148,0.06861872225999832
8001149,0.08583813160657883
8001150,0.06913838535547256
8001151,0.07077199220657349
8001152,0.09360884875059128
8001153,0.07825873792171478
8001154,0.08202970027923584
8001155,0.14234276115894318
8001156,0.08276794850826263
8001157,0.10113666951656342
8001158,0.07877330482006073
8001159,0.12398533523082733
8001160,0.09191204607486725
8001161,0.07027050852775574
8001162,0.19252029061317444
8001163,0.10312502831220627
8001164,0.09030614793300629
8001165,0.11007653921842575
8001166,0.06005890667438507
8001167,0.10587426275014877
8001168,0.0682830736041069
8001169,0.10814061015844345
8001170,0.1660924255847931
8001171,0.09687338024377823
8001172,0.13324354588985443
8001173,0.15473727881908417
8001174,0.05732625350356102
8001175,0.1489187777042389
8001176,0.05940110608935356
8001177,0.14561545848846436
8001178,0.08989764750003815
8001179,0.07287533581256866
8001180,0.13989302515983582
8001181,0.05384434014558792
8001182,0.051812171936035156
8001183,0.18381837010383606
8001184,0.0891217589378357
8001185,0.11154895275831223
8001186,0.08598023653030396
8001187,0.14756281673908234
8001188,0.09659219533205032
8001189,0.14330561459064484
8001190,0.17612123489379883
8001191,0.09020159393548965
8001192,0.0382649265229702
8001193,0.12588071823120117
8001194,0.10577981919050217
8001195,0.12243757396936417
8001196,0.23588891327381134
8001197,0.08440222591161728
8001198,0.07923869043588638
8001199,0.0719277560710907
8001200,0.10624315589666367
8001201,0.05277102813124657
8001202,0.11586248129606247
8001203,0.14278391003608704
8001204,0.07805038243532181
8001205,0.06637164950370789
8001206,0.10725610703229904
8001207,0.1509290188550949
8001208,0.08300668001174927
8001209,0.19380341470241547
8001210,0.05958648771047592
8003103,0.08495189249515533
8003104,0.1353583186864853
8003105,0.21683688461780548
8003106,0.13617025315761566
8003107,0.10860873013734818
8003108,0.1263955682516098
8003109,0.0737880989909172
8003110,0.06314418464899063
8003111,0.17785979807376862
8003112,0.1548120677471161
8003113,0.1350267082452774
8003114,0.11599531024694443
8003115,0.10785175859928131
8003116,0.10634446889162064
8003117,0.11038220673799515
8003118,0.11452172696590424
8003119,0.13359402120113373
8003120,0.07046939432621002
8003121,0.15400956571102142
8003122,0.06462766975164413
8003123,0.08667536079883575
8003124,0.12955693900585175
8003125,0.16156025230884552
8003126,0.03504497930407524
8003127,0.06637346744537354
8003128,0.12333398312330246
8003129,0.08728822320699692
8003130,0.14587342739105225
8003131,0.14770445227622986
8003132,0.037908315658569336
8003133,0.14321395754814148
8003134,0.07721634954214096
8003135,0.11565764993429184
8003136,0.15024057030677795
8003137,0.10461978614330292
8003138,0.19516582787036896
8003139,0.055055927485227585
8003140,0.10322471708059311
8003141,0.141927570104599
8003142,0.15386062860488892
8003143,0.08950050920248032
8003144,0.14866599440574646
8003145,0.07660716027021408
8003146,0.09461212903261185
8003147,0.14843708276748657
8003148,0.14202935993671417
8003149,0.09292961657047272
8003150,0.15959443151950836
8003151,0.09188740700483322
8003152,0.14223109185695648
8003153,0.14881758391857147
8003154,0.05577464774250984
8003155,0.1205979585647583
8003156,0.20584344863891602
8003157,0.15236172080039978
8003158,0.15458478033542633
8003159,0.1634267419576645
8003160,0.0762384682893753
8003161,0.11648998409509659
8003162,0.13649463653564453
8003163,0.2019161432981491
8003164,0.1093536913394928
8003165,0.14727374911308289
8003166,0.07893674075603485
8003167,0.0865621268749237
8003168,0.15256686508655548
8003169,0.1656891107559204
8003170,0.21681629121303558
8003171,0.09445193409919739
8003172,0.16550114750862122
8003173,0.07548221200704575
8003174,0.13605546951293945
8003175,0.08255629241466522
8003176,0.1542602926492691
8003177,0.13350921869277954
8003178,0.19713827967643738
8003179,0.07072611153125763
8003180,0.14675816893577576
8003181,0.15582601726055145
8003182,0.05631840229034424
8003183,0.07409349828958511
8003184,0.13566313683986664
8003185,0.1655900478363037
8003186,0.16245955228805542
8003187,0.18294940888881683
8003188,0.076540008187294
8003189,0.1669897735118866
8003190,0.10366353392601013
8003191,0.10837447643280029
8003192,0.06772147864103317
8003193,0.07772988826036453
8003194,0.22256754338741302
8003195,0.06876219809055328
8003196,0.11212853342294693
8003197,0.13861669600009918
8003198,0.15361832082271576
8003199,0.08250217884778976
8003200,0.09420499205589294
8003201,0.06460210680961609
8003202,0.0721251517534256
8003203,0.13011200726032257
8003204,0.15590724349021912
8003205,0.11279810220003128
8003206,0.08986373990774155
8003207,0.05361628904938698
8003208,0.16297316551208496
8003209,0.1268797069787979
8003210,0.22512276470661163
8003211,0.1783045083284378
8003212,0.1738819181919098
8003213,0.07575792074203491
8003214,0.13484881818294525
8003215,0.09788569062948227
8003216,0.10376224666833878
8003217,0.0645301565527916
8003218,0.19339877367019653
8003219,0.17729727923870087
8003220,0.060488808900117874
8003221,0.07801571488380432
8003222,0.08017052710056305
8003223,0.12181698530912399
8003224,0.16118218004703522
8003225,0.15365783870220184
8003226,0.26584383845329285
8003227,0.12052399665117264
8003228,0.09562452137470245
8003229,0.10313128679990768
8003230,0.13571368157863617
8003231,0.11435438692569733
8003232,0.03854633867740631
8003233,0.10653385519981384
8003234,0.17722105979919434
8003235,0.08269937336444855
8003236,0.04415515065193176
8003237,0.058756399899721146
8003238,0.10259968042373657
8003239,0.1235768049955368
8003240,0.12094870954751968
8003241,0.0920628011226654
8003242,0.08805235475301743
8003243,0.07456061244010925
8003244,0.12087605893611908
8003245,0.06739308685064316
8003246,0.16792620718479156
8003247,0.0536162331700325
8003248,0.13230904936790466
8003249,0.12893342971801758
8003250,0.06721465289592743
8003251,0.130989670753479
8003252,0.033518873155117035
8003253,0.063575379550457
8003254,0.09696519374847412
8003255,0.09061381220817566
8003256,0.11039005219936371
8003257,0.08287769556045532
8003258,0.1617206335067749
8003259,0.057415496557950974
8003260,0.0870366021990776
8003261,0.13399575650691986
8003262,0.0948406383395195
8003263,0.08771982043981552
8003264,0.08782931417226791
8003265,0.053701627999544144
8003266,0.13244159519672394
8003267,0.12045326828956604
8003268,0.11931761354207993
8003269,0.1435813158750534
8003270,0.08087897300720215
8003271,0.06491167098283768
8003272,0.09767273813486099
8003273,0.14748306572437286
8003274,0.10123109817504883
8003275,0.06626198440790176
8003276,0.17410480976104736
8003277,0.10842899233102798
8003278,0.0732860416173935
8003279,0.10434427112340927
8003280,0.09744451940059662
8003281,0.061712536960840225
8003282,0.11681905388832092
8003283,0.08781789243221283
8003284,0.10715099424123764
8003285,0.10755240172147751
8003286,0.08728799968957901
8003287,0.19331873953342438
8003288,0.13382193446159363
8003289,0.17229901254177094
8003290,0.13533146679401398
8003291,0.08628293126821518
8003292,0.07144903391599655
8003293,0.16059091687202454
8003294,0.13810351490974426
8003295,0.122656911611557
8003296,0.10011393576860428
8003297,0.08403872698545456
8003298,0.14509090781211853
8003299,0.10637937486171722
8003300,0.13047531247138977
8003301,0.07047511637210846
8003302,0.07699019461870193
8003303,0.04972890764474869
8003304,0.15630434453487396
8003305,0.12000344693660736
8003306,0.16784805059432983
8003307,0.12246217578649521
8003308,0.04714323207736015
8003309,0.12144657969474792
8003310,0.14959348738193512
8003311,0.13686233758926392
8003312,0.08019030839204788
8003313,0.11113155633211136
8003314,0.14298921823501587
8003315,0.0801561027765274
8003316,0.07405821233987808
8003317,0.04793194681406021
8003318,0.13948798179626465
8003319,0.12470274418592453
8003320,0.09850727021694183
8003321,0.14272081851959229
8003322,0.10075630992650986
8003323,0.15828092396259308
8003324,0.10826202481985092
8003325,0.08006959408521652
8003326,0.14494039118289948
8003327,0.0537123903632164
8003328,0.04893917962908745
8003329,0.05188886076211929
8003330,0.09115185588598251
8003331,0.11826840788125992
8003332,0.06050188094377518
8003333,0.1114649698138237
8003334,0.04314485937356949
8003335,0.10320015996694565
8003336,0.1648208200931549
8003337,0.1985345333814621
8003338,0.13754354417324066
8003339,0.11239183694124222
8003340,0.1564517468214035
8003341,0.1643637716770172
8003342,0.12008991837501526
8003343,0.03797314316034317
8003344,0.06831216812133789
8003345,0.11296319216489792
8003346,0.08113358914852142
8003347,0.06436441838741302
8003348,0.0906267836689949
8003349,0.14200150966644287
8003350,0.0957837849855423
8003351,0.06947485357522964
8003352,0.1422211080789566
8003353,0.1081024706363678
8003354,0.1001264676451683
8003355,0.09211008995771408
8003356,0.08195266127586365
8003357,0.1440364271402359
8003358,0.06080123409628868
8003359,0.10899107158184052
8003360,0.09815029799938202
8003361,0.1181136965751648
8003362,0.13081000745296478
8003363,0.05747726187109947
8003364,0.16722644865512848
8003365,0.1313660740852356
8003366,0.04706508666276932
8003367,0.09508451074361801
8003368,0.106114961206913
8003369,0.05777773633599281
8003370,0.09795176237821579
8003371,0.19632825255393982
8003372,0.05665524676442146
8003373,0.09572307020425797
8003374,0.08973266184329987
8003375,0.17069126665592194
8003376,0.09716206043958664
8003377,0.046547699719667435
8003378,0.10998108983039856
8003379,0.185106098651886
8003380,0.04363800585269928
8003381,0.06448525935411453
8003382,0.08074924349784851
8003383,0.09465669840574265
8003384,0.1610567420721054
8003385,0.1431029736995697
8003386,0.06195952743291855
8003387,0.10010963678359985
8003388,0.0977487564086914
8003389,0.05449371412396431
8003390,0.04421624913811684
8003623,0.13819049298763275
8003624,0.04540302976965904
8003625,0.06240213289856911
8003626,0.10156803578138351
8003627,0.08080171048641205
8003628,0.09095791727304459
8003629,0.10333175212144852
8003630,0.15070687234401703
8003631,0.10699259489774704
8003632,0.09190836548805237
8003633,0.0870320275425911
8003634,0.1601584106683731
8003635,0.14581818878650665
8003636,0.12038204073905945
8003637,0.06136203557252884
8003638,0.19539551436901093
8003639,0.12155885994434357
8003640,0.24899822473526
8003641,0.21140004694461823
8003642,0.1365727186203003
8003643,0.1081036627292633
8003644,0.0527978353202343
8003645,0.09025885164737701
8003646,0.10173134505748749
8003647,0.0677235946059227
8003648,0.11595512926578522
8003649,0.09775410592556
8003650,0.11634652316570282
8003651,0.08926119655370712
8003652,0.1262907236814499
8003653,0.11991456151008606
8003654,0.11931467056274414
8003655,0.16083921492099762
8003656,0.09849774092435837
8003657,0.10680612176656723
8003658,0.07902981340885162
8003659,0.08448749035596848
8003660,0.11176514625549316
8003661,0.07667156308889389
8003662,0.08939328789710999
8003663,0.06336091458797455
8003664,0.15163126587867737
8003665,0.07416779547929764
8003666,0.04705969616770744
8003667,0.09931174665689468
8003668,0.16914306581020355
8003669,0.07030526548624039
8003670,0.12303117662668228
8003671,0.08341823518276215
8003672,0.05443659424781799
8003673,0.06749234348535538
8003674,0.06778773665428162
8003675,0.10418429225683212
8003676,0.11320272088050842
8003677,0.137372687458992
8003678,0.09335481375455856
8003679,0.09547360241413116
8003680,0.062315478920936584
8003681,0.06839819252490997
8003682,0.10174400359392166
8003683,0.24791893362998962
8003684,0.05598900094628334
8003685,0.0729663074016571
8003686,0.1047825813293457
8003687,0.06483638286590576
8003688,0.12004648149013519
8003689,0.07430503517389297
8003690,0.08316558599472046
8003691,0.10411664098501205
8003692,0.1539483219385147
8003693,0.10820213705301285
8003694,0.04364597052335739
8003695,0.04966392740607262
8003696,0.11582659929990768
8003697,0.08612480759620667
8003698,0.10541798174381256
8003699,0.11537428200244904
8003700,0.13980622589588165
8003701,0.11485221982002258
8003702,0.1065082997083664
8003703,0.14503945410251617
8003704,0.24511529505252838
8003705,0.15396301448345184
8003706,0.07147395610809326
8003707,0.09631191194057465
8003708,0.07677647471427917
8003709,0.06169214844703674
8003710,0.0798528715968132
8003711,0.17071664333343506
8003712,0.03647857531905174
8003713,0.10889329761266708
8003714,0.16950757801532745
8003715,0.13906069099903107
8003716,0.12882554531097412
8003717,0.1803811490535736
8003718,0.11736379563808441
8003719,0.16355416178703308
8003720,0.0401940755546093
8003721,0.0650671124458313
8003722,0.21123245358467102
8003723,0.05075988918542862
8003724,0.1839667707681656
8003725,0.1602543741464615
8003726,0.1536988914012909
8003727,0.05612308159470558
8003728,0.09062793850898743
8003729,0.1255994737148285
8003730,0.13781586289405823
8003731,0.1350114941596985
8003732,0.03442290052771568
8003733,0.06714513152837753
8003734,0.09548003226518631
8003735,0.05606001988053322
8003736,0.07777068018913269
8003737,0.10911530256271362
8003738,0.16680783033370972
8003739,0.09681099653244019
8003740,0.09549807012081146
8003741,0.0859389454126358
8003742,0.12212520837783813
8003743,0.12792207300662994
8003744,0.09261304140090942
8003745,0.13316892087459564
8003746,0.07960495352745056
8003747,0.09488087892532349
8003748,0.12588869035243988
8003749,0.0842168778181076
8003750,0.07836570590734482
8003751,0.12420505285263062
8003752,0.04826638847589493
8003753,0.08768225461244583
8003754,0.16991038620471954
8003755,0.13371659815311432
8003756,0.1241379827260971
8003757,0.06395226716995239
8003758,0.09175985306501389
8003759,0.06315120309591293
8003760,0.12415962666273117
8003761,0.05598391965031624
8003762,0.12460372596979141
8003763,0.06345484405755997
8005025,0.09331883490085602
8005026,0.09482913464307785
8005027,0.11727257817983627
8005028,0.1552773416042328
8005029,0.14238475263118744
8005030,0.0918634757399559
8005031,0.05942649394273758
8005032,0.12979958951473236
8005033,0.1689814031124115
8005034,0.08035407960414886
8005035,0.16370347142219543
8005036,0.0791814923286438
8005037,0.1371336579322815
8005038,0.2023240178823471
8005039,0.09133417904376984
8005040,0.17800147831439972
8005041,0.14411436021327972
8005042,0.05498303845524788
8005043,0.053120553493499756
8005044,0.16009587049484253
8005045,0.09078160673379898
8005046,0.0629342794418335
8005047,0.10895843058824539
8005048,0.1227593794465065
8005049,0.20321133732795715
8005050,0.12865181267261505
8005051,0.1491287797689438
8005052,0.1303108185529709
8005053,0.09175097942352295
8005054,0.1046609878540039
8005055,0.14830359816551208
8005056,0.15700973570346832
8005057,0.07955535501241684
8005058,0.18404552340507507
8005059,0.1815377175807953
8005060,0.05844233185052872
8005061,0.15517188608646393
8005062,0.1072734072804451
8005063,0.12448669970035553
8005064,0.16046765446662903
8005065,0.19345808029174805
8005066,0.213598370552063
8005067,0.14781975746154785
8005068,0.20882640779018402
8005069,0.09509234130382538
8005070,0.13987024128437042
8005071,0.050683990120887756
8005072,0.06508533656597137
8005073,0.12618538737297058
8005074,0.11290857195854187
8005075,0.11893267929553986
8005076,0.05883624404668808
8005077,0.1437561810016632
