no,default_12month
8000320,0.22059284150600433
8000392,0.07362581789493561
8000393,0.10662755370140076
8000394,0.0896238461136818
8000395,0.1324247121810913
8000396,0.09652331471443176
8000397,0.1636127084493637
8000398,0.09714103490114212
8000399,0.08258449286222458
8000400,0.0903756394982338
8000401,0.06298375129699707
8000402,0.10666278004646301
8000403,0.12695297598838806
8000404,0.06060503423213959
8000405,0.12202014029026031
8000406,0.04515444114804268
8000407,0.07086887955665588
8000408,0.09141219407320023
8000409,0.22641776502132416
8000410,0.017082875594496727
8000411,0.12529918551445007
8000412,0.11850801110267639
8000413,0.13591137528419495
8000414,0.1799340397119522
8000415,0.06236119940876961
8000416,0.14409251511096954
8000417,0.1396195888519287
8000418,0.060931120067834854
8000419,0.11981768906116486
8000420,0.09380871802568436
8000421,0.1143086701631546
8000422,0.24397847056388855
8000423,0.14179058372974396
8000424,0.10209939628839493
8000425,0.11693104356527328
8000426,0.1316465437412262
8000427,0.08975019305944443
8000428,0.08945147693157196
8000429,0.0370355024933815
8000430,0.10610149800777435
8000431,0.09021254628896713
8000432,0.12034988403320312
8000433,0.08049458265304565
8000434,0.12280424684286118
8000435,0.03419306501746178
8000436,0.13786877691745758
8000437,0.09183633327484131
8000438,0.10260867327451706
8000439,0.09016450494527817
8000440,0.21073676645755768
8000441,0.039902277290821075
8000442,0.07498226314783096
8000443,0.06971752643585205
8000444,0.15218429267406464
8000445,0.13802218437194824
8000446,0.09222069382667542
8000447,0.14400838315486908
8000448,0.07453388720750809
8000449,0.12434455752372742
8000450,0.22614546120166779
8000451,0.09917908906936646
8000452,0.034038107842206955
8000453,0.13409051299095154
8000454,0.07950897514820099
8000455,0.17368246614933014
8000456,0.20941299200057983
8000457,0.11485660076141357
8000458,0.10916414111852646
8000459,0.13220103085041046
8000460,0.038846928626298904
8000461,0.06520471721887589
8000462,0.044072046875953674
8000463,0.055749401450157166
8000464,0.12193496525287628
8000465,0.10713926702737808
8000466,0.05779332295060158
8000467,0.04972773417830467
8000468,0.20189402997493744
8000469,0.14640012383460999
8000470,0.079569973051548
8000471,0.11870304495096207
8000472,0.10750102251768112
8000473,0.13589979708194733
8000474,0.04803213104605675
8000475,0.21393579244613647
8000476,0.10536003112792969
8000477,0.10811451822519302
8000478,0.027899064123630524
8000479,0.09710711240768433
8000480,0.14057153463363647
8000481,0.10304328799247742
8000482,0.09610109031200409
8000483,0.15008173882961273
8000484,0.06380819529294968
8000485,0.09224496781826019
8000486,0.16107629239559174
8000487,0.13490192592144012
8000488,0.08719174563884735
8000489,0.22536996006965637
8001126,0.10285736620426178
8001127,0.16479268670082092
8001128,0.11278741806745529
8001129,0.03824858367443085
8001130,0.0957130417227745
8001131,0.18405596911907196
8001132,0.11920043081045151
8001133,0.2246256172657013
