no,default_12month
8000320,0.24427254498004913
8000392,0.07751849293708801
8000393,0.08894798904657364
8000394,0.09251581132411957
8000395,0.11637384444475174
8000396,0.07716017961502075
8000397,0.18008917570114136
8000398,0.10004141181707382
8000399,0.08496091514825821
8000400,0.0859145075082779
8000401,0.0657782331109047
8000402,0.10477859526872635
8000403,0.12957091629505157
8000404,0.06073961779475212
8000405,0.10980286449193954
8000406,0.049936093389987946
8000407,0.08041123300790787
8000408,0.08567845076322556
8000409,0.21504969894886017
8000410,0.02179422788321972
8000411,0.11257150769233704
8000412,0.11699029058218002
8000413,0.13574981689453125
8000414,0.15483194589614868
8000415,0.060952335596084595
8000416,0.129872664809227
8000417,0.13428740203380585
8000418,0.049412548542022705
8000419,0.11445172131061554
8000420,0.09411698579788208
8000421,0.11043591052293777
8000422,0.25723549723625183
8000423,0.14544540643692017
8000424,0.09458310902118683
8000425,0.11031217128038406
8000426,0.13833239674568176
8000427,0.0799880102276802
8000428,0.07950857281684875
8000429,0.03803687170147896
8000430,0.11934365332126617
8000431,0.0801248773932457
8000432,0.1166815534234047
8000433,0.07305218279361725
8000434,0.1358748823404312
8000435,0.03734069690108299
8000436,0.13383153080940247
8000437,0.09000548720359802
8000438,0.09386500716209412
8000439,0.07784643769264221
8000440,0.197359099984169
8000441,0.03639816865324974
8000442,0.08547601103782654
8000443,0.06626769155263901
8000444,0.1424119472503662
8000445,0.13614791631698608
8000446,0.09781237691640854
8000447,0.15834270417690277
8000448,0.07017646729946136
8000449,0.12141089886426926
8000450,0.2210923284292221
8000451,0.10070359706878662
8000452,0.03786772862076759
8000453,0.12905846536159515
8000454,0.08099687099456787
8000455,0.14830267429351807
8000456,0.21350079774856567
8000457,0.10610860586166382
8000458,0.10786904394626617
8000459,0.12723104655742645
8000460,0.042069900780916214
8000461,0.06753052026033401
8000462,0.048273660242557526
8000463,0.04839475825428963
8000464,0.13841868937015533
8000465,0.09787854552268982
8000466,0.07403325289487839
8000467,0.0577293261885643
8000468,0.20179153978824615
8000469,0.1574462205171585
8000470,0.05782328546047211
8000471,0.14643612504005432
8000472,0.08117792010307312
8000473,0.1268407702445984
8000474,0.05216113105416298
8000475,0.23240497708320618
8000476,0.10756081342697144
8000477,0.10172315686941147
8000478,0.031093785539269447
8000479,0.07709446549415588
8000480,0.12371551990509033
8000481,0.09724617749452591
8000482,0.0978037416934967
8000483,0.15702500939369202
8000484,0.06423421949148178
8000485,0.08320233225822449
8000486,0.13514485955238342
8000487,0.12874189019203186
8000488,0.07811467349529266
8000489,0.21585093438625336
8001126,0.08755094558000565
8001127,0.16984376311302185
8001128,0.11165954917669296
8001129,0.03817908465862274
8001130,0.07999902963638306
8001131,0.20978716015815735
8001132,0.10439542680978775
8001133,0.2409065216779709
8001134,0.041681431233882904
8001135,0.24195271730422974
8001136,0.11834600567817688
8001137,0.09095583111047745
8001138,0.10678127408027649
8001139,0.1646118313074112
8001140,0.1342938095331192
8001141,0.09919969737529755
8001142,0.09827158600091934
8001143,0.11753532290458679
8001144,0.12580615282058716
8001145,0.10106578469276428
8001146,0.10056044906377792
8001147,0.13215012848377228
8001148,0.08302941918373108
8001149,0.1387922614812851
8001150,0.08953424543142319
8001151,0.053655996918678284
8001152,0.14691799879074097
8001153,0.11293837428092957
8001154,0.06147289276123047
8001155,0.1298730969429016
8001156,0.0887911319732666
8001157,0.10262829810380936
8001158,0.0676778182387352
8001159,0.15228897333145142
8001160,0.14310556650161743
8001161,0.0688217356801033
8001162,0.23068536818027496
8001163,0.11984248459339142
8001164,0.09274780005216599
8001165,0.14511720836162567
8001166,0.05905252695083618
8001167,0.09504187107086182
8001168,0.06919598579406738
8001169,0.13747504353523254
8001170,0.16348177194595337
8001171,0.12436218559741974
8001172,0.10712581872940063
8001173,0.18233108520507812
8001174,0.05942140147089958
8001175,0.19319528341293335
8001176,0.07990685850381851
8001177,0.17020657658576965
8001178,0.09436053037643433
8001179,0.10394684970378876
8001180,0.16649259626865387
8001181,0.053623586893081665
8001182,0.05024665221571922
8001183,0.20938453078269958
8001184,0.0671180784702301
8001185,0.1259394884109497
8001186,0.06361936777830124
8001187,0.15847542881965637
8001188,0.1163332611322403
8001189,0.1239655613899231
8001190,0.19498436152935028
8001191,0.13154590129852295
8001192,0.021351519972085953
8001193,0.1149521991610527
8001194,0.1856868863105774
8001195,0.13893216848373413
8001196,0.2790101170539856
8001197,0.07919090986251831
8001198,0.10388003289699554
8001199,0.08656977117061615
8001200,0.10926435142755508
8001201,0.03809140995144844
8001202,0.1045011579990387
8001203,0.147250235080719
8001204,0.06708820164203644
8001205,0.057800594717264175
8001206,0.12124906480312347
8001207,0.15604513883590698
8001208,0.12237641215324402
8001209,0.20051464438438416
8001210,0.09716951847076416
8003103,0.09133920818567276
8003104,0.12772558629512787
8003105,0.18424317240715027
8003106,0.16777576506137848
8003107,0.1037445217370987
8003108,0.08129844814538956
8003109,0.07046619057655334
8003110,0.084672711789608
8003111,0.26007869839668274
8003112,0.18172858655452728
8003113,0.14241325855255127
8003114,0.1798037439584732
8003115,0.11725535243749619
8003116,0.13357728719711304
8003117,0.11398087441921234
8003118,0.15518774092197418
8003119,0.1457718312740326
8003120,0.12094983458518982
8003121,0.1931924819946289
8003122,0.0948539525270462
8003123,0.09825313836336136
8003124,0.13692626357078552
8003125,0.25461238622665405
8003126,0.03074847161769867
8003127,0.09401097893714905
8003128,0.12711432576179504
8003129,0.11530779302120209
8003130,0.151066392660141
8003131,0.20991523563861847
8003132,0.04798933118581772
8003133,0.17167004942893982
8003134,0.11796200275421143
8003135,0.0891880989074707
8003136,0.14889155328273773
8003137,0.11652328073978424
8003138,0.3079776167869568
8003139,0.05753154680132866
8003140,0.12675276398658752
8003141,0.1784299910068512
8003142,0.23262692987918854
8003143,0.11637160181999207
8003144,0.16046753525733948
8003145,0.08054831624031067
8003146,0.11920896172523499
8003147,0.17351482808589935
8003148,0.14239846169948578
8003149,0.12027804553508759
8003150,0.11233822256326675
8003151,0.10439561307430267
8003152,0.13168703019618988
8003153,0.14448872208595276
8003154,0.06959650665521622
8003155,0.17389293015003204
8003156,0.13694395124912262
8003157,0.14998102188110352
8003158,0.1644650399684906
8003159,0.22911183536052704
8003160,0.06204088777303696
8003161,0.11269748210906982
8003162,0.1391829401254654
8003163,0.21655401587486267
8003164,0.14276450872421265
8003165,0.12962493300437927
8003166,0.04826204851269722
8003167,0.08970633149147034
8003168,0.15766456723213196
8003169,0.15562289953231812
8003170,0.20560455322265625
8003171,0.05777452886104584
8003172,0.18759450316429138
8003173,0.06321816146373749
8003174,0.13879071176052094
8003175,0.06804315745830536
8003176,0.14599351584911346
8003177,0.15163210034370422
8003178,0.21730294823646545
8003179,0.06635245680809021
8003180,0.17943203449249268
8003181,0.18115346133708954
8003182,0.06323730945587158
8003183,0.0665048137307167
8003184,0.1319083571434021
8003185,0.15482957661151886
8003186,0.1521337628364563
8003187,0.16830913722515106
8003188,0.09349369257688522
8003189,0.1575353443622589
8003190,0.07693975418806076
8003191,0.1495961844921112
8003192,0.06722476333379745
8003193,0.042016446590423584
8003194,0.22616985440254211
8003195,0.05274803563952446
8003196,0.08009367436170578
8003197,0.11065661162137985
8003198,0.1653118133544922
8003199,0.07618895173072815
8003200,0.11462194472551346
8003201,0.05615951493382454
8003202,0.07834946364164352
8003203,0.0966021940112114
8003204,0.18194232881069183
8003205,0.12562152743339539
8003206,0.09854193031787872
8003207,0.0689888671040535
8003208,0.18276287615299225
8003209,0.10840543359518051
8003210,0.2158956676721573
8003211,0.2551904320716858
8003212,0.21484072506427765
8003213,0.10055311769247055
8003214,0.1746852546930313
8003215,0.09178338199853897
8003216,0.10886620730161667
8003217,0.07772461324930191
8003218,0.25171107053756714
8003219,0.2264215648174286
8003220,0.05872482806444168
8003221,0.09270232170820236
8003222,0.09480129182338715
8003223,0.14364396035671234
8003224,0.17407286167144775
8003225,0.17240405082702637
8003226,0.38278958201408386
8003227,0.15162846446037292
8003228,0.10349629074335098
8003229,0.0971677228808403
8003230,0.14527732133865356
8003231,0.1139555349946022
8003232,0.04258478432893753
8003233,0.13683278858661652
8003234,0.2538769543170929
8003235,0.12296045571565628
8003236,0.04248495772480965
8003237,0.05749385431408882
8003238,0.10790283977985382
8003239,0.1122654378414154
8003240,0.14346849918365479
8003241,0.1384391188621521
8003242,0.1200842335820198
8003243,0.07524250447750092
8003244,0.1492924988269806
8003245,0.1168673112988472
8003246,0.19028113782405853
8003247,0.0747750923037529
8003248,0.163133904337883
8003249,0.1795162707567215
8003250,0.07235628366470337
8003251,0.15271888673305511
8003252,0.04334014654159546
8003253,0.10168805718421936
8003254,0.08569420129060745
8003255,0.08067582547664642
8003256,0.14646926522254944
8003257,0.07638579607009888
8003258,0.22535502910614014
8003259,0.06312277168035507
8003260,0.1211477667093277
8003261,0.15838982164859772
8003262,0.1150590255856514
8003263,0.12278685718774796
8003264,0.08069577813148499
8003265,0.07679039984941483
8003266,0.1392168551683426
8003267,0.12711167335510254
8003268,0.14522068202495575
8003269,0.24114881455898285
8003270,0.109436996281147
8003271,0.1083051785826683
8003272,0.1270926147699356
8003273,0.1623331606388092
8003274,0.08314994722604752
8003275,0.09877156466245651
8003276,0.1616443246603012
8003277,0.11871758103370667
8003278,0.08537395298480988
8003279,0.15223409235477448
8003280,0.09983234852552414
8003281,0.08510076254606247
8003282,0.12786655128002167
8003283,0.08850468695163727
8003284,0.19419991970062256
8003285,0.1050308346748352
8003286,0.12264025956392288
8003287,0.1898241937160492
8003288,0.19728367030620575
8003289,0.2272571325302124
8003290,0.12716956436634064
8003291,0.10287906974554062
8003292,0.06701262295246124
8003293,0.1319936215877533
8003294,0.15375261008739471
8003295,0.13373662531375885
8003296,0.1299724280834198
8003297,0.06231611594557762
8003298,0.15418018400669098
8003299,0.11831275373697281
8003300,0.13581150770187378
8003301,0.09581312537193298
8003302,0.06809432804584503
8003303,0.05667291209101677
8003304,0.1711428016424179
8003305,0.1717522293329239
8003306,0.23719513416290283
8003307,0.15606652200222015
8003308,0.04089025780558586
8003309,0.14937105774879456
8003310,0.1391274333000183
8003311,0.1737891286611557
8003312,0.13193291425704956
8003313,0.09750336408615112
8003314,0.1429922878742218
8003315,0.10938156396150589
8003316,0.08851561695337296
8003317,0.03946741297841072
8003318,0.2268555611371994
8003319,0.15711449086666107
8003320,0.12205348908901215
8003321,0.1359635442495346
8003322,0.09796834737062454
8003323,0.21587644517421722
8003324,0.0933418944478035
8003325,0.09357069432735443
8003326,0.1772022843360901
8003327,0.05495784059166908
8003328,0.03195970505475998
8003329,0.06549132615327835
8003330,0.06144249439239502
8003331,0.14080147445201874
8003332,0.10082410275936127
8003333,0.12000470608472824
8003334,0.044331394135951996
8003335,0.09218423068523407
8003336,0.1695607304573059
8003337,0.26928964257240295
8003338,0.17181594669818878
8003339,0.1096782311797142
8003340,0.1935068517923355
8003341,0.17507445812225342
8003342,0.10367132723331451
8003343,0.0349571630358696
8003344,0.09945739805698395
8003345,0.1695944368839264
8003346,0.12016932666301727
8003347,0.08565768599510193
8003348,0.1258486658334732
8003349,0.18595802783966064
8003350,0.08884978294372559
8003351,0.10758671909570694
8003352,0.19300910830497742
8003353,0.15061548352241516
8003354,0.11956784129142761
8003355,0.1452791392803192
8003356,0.10279235988855362
8003357,0.1788335144519806
8003358,0.07033519446849823
8003359,0.09866014122962952
8003360,0.126694917678833
8003361,0.15110541880130768
8003362,0.18783584237098694
8003363,0.05702432245016098
8003364,0.1532517671585083
8003365,0.11404262483119965
8003366,0.035690754652023315
8003367,0.11784981191158295
8003368,0.08905982971191406
8003369,0.048409949988126755
8003370,0.11943426728248596
8003371,0.20184242725372314
8003372,0.06980723142623901
8003373,0.13147222995758057
8003374,0.09115232527256012
8003375,0.1943114846944809
8003376,0.08819618821144104
8003377,0.04198969528079033
8003378,0.14313876628875732
8003379,0.30306753516197205
8003380,0.05237005650997162
8003381,0.060873355716466904
8003382,0.09936871379613876
8003383,0.11257730424404144
8003384,0.1793428361415863
8003385,0.18105420470237732
8003386,0.11405938118696213
8003387,0.08768276125192642
8003388,0.12764964997768402
8003389,0.07584387063980103
8003390,0.08002769947052002
8003623,0.15915319323539734
8003624,0.026132581755518913
8003625,0.0911279246211052
8003626,0.12568311393260956
8003627,0.08452314883470535
8003628,0.05470297485589981
8003629,0.1365707516670227
8003630,0.16885031759738922
8003631,0.15060622990131378
8003632,0.07240193337202072
8003633,0.0917108952999115
8003634,0.1932021677494049
8003635,0.12030620127916336
8003636,0.14530672132968903
8003637,0.05058182030916214
8003638,0.23971284925937653
8003639,0.12367936968803406
8003640,0.2455081194639206
8003641,0.1964641809463501
8003642,0.20120729506015778
8003643,0.13168197870254517
8003644,0.06842795014381409
8003645,0.1322418451309204
8003646,0.125254288315773
8003647,0.09783094376325607
8003648,0.19774062931537628
8003649,0.14448140561580658
8003650,0.12582337856292725
8003651,0.09998595714569092
8003652,0.15427233278751373
8003653,0.12076462805271149
8003654,0.09445374459028244
8003655,0.18738937377929688
8003656,0.1085650697350502
8003657,0.12400232255458832
8003658,0.10059063881635666
8003659,0.11172889918088913
8003660,0.12053579092025757
8003661,0.08883165568113327
8003662,0.08712971210479736
8003663,0.10445573925971985
8003664,0.20219039916992188
8003665,0.06798800826072693
8003666,0.05996567755937576
8003667,0.13361111283302307
8003668,0.22651249170303345
8003669,0.06893007457256317
8003670,0.12450599670410156
8003671,0.07685123383998871
8003672,0.047721005976200104
8003673,0.08454952389001846
8003674,0.09720613062381744
8003675,0.10374144464731216
8003676,0.17739811539649963
8003677,0.1356784552335739
8003678,0.08019032329320908
8003679,0.13813744485378265
8003680,0.06305426359176636
8003681,0.08653457462787628
8003682,0.07257844507694244
8003683,0.2892378866672516
8003684,0.0479116253554821
8003685,0.07135423272848129
8003686,0.12371527403593063
8003687,0.10962942987680435
8003688,0.14311744272708893
8003689,0.06871145218610764
8003690,0.11783141642808914
8003691,0.14398576319217682
8003692,0.16695065796375275
8003693,0.09805568307638168
8003694,0.05377168208360672
8003695,0.05374104529619217
8003696,0.15138284862041473
8003697,0.0722125917673111
8003698,0.1299428641796112
8003699,0.15470612049102783
8003700,0.18423321843147278
8003701,0.11940538883209229
8003702,0.12558513879776
8003703,0.17547361552715302
8003704,0.27056729793548584
8003705,0.24762699007987976
8003706,0.07341339439153671
8003707,0.17511332035064697
8003708,0.08045072108507156
8003709,0.08233395963907242
8003710,0.09372816979885101
8003711,0.17179016768932343
8003712,0.03586652874946594
8003713,0.15907517075538635
8003714,0.20181885361671448
8003715,0.1593824028968811
8003716,0.14021961390972137
8003717,0.16744613647460938
8003718,0.11642146855592728
8003719,0.19473524391651154
8003720,0.053562264889478683
8003721,0.0947505459189415
8003722,0.20489710569381714
8003723,0.045537952333688736
8003724,0.23543845117092133
8003725,0.2332758903503418
8003726,0.17260092496871948
8003727,0.08051291853189468
8003728,0.08218523859977722
8003729,0.16165420413017273
8003730,0.1937621384859085
8003731,0.15410061180591583
8003732,0.038521427661180496
8003733,0.06375587731599808
8003734,0.09198147803544998
8003735,0.0734175592660904
8003736,0.06714248657226562
8003737,0.10270249098539352
8003738,0.1660524308681488
8003739,0.12014468014240265
8003740,0.11848931014537811
8003741,0.09221921861171722
8003742,0.14843933284282684
8003743,0.14240345358848572
8003744,0.15640762448310852
8003745,0.13405397534370422
8003746,0.0748341977596283
8003747,0.11673126369714737
