no,default_12month
8000320,0.22903811931610107
8000392,0.09090347588062286
8000393,0.1151193305850029
8000394,0.10165241360664368
8000395,0.12660428881645203
8000396,0.09603920578956604
8000397,0.17878958582878113
8000398,0.10388639569282532
8000399,0.09204815328121185
8000400,0.09652333706617355
8000401,0.07051549851894379
8000402,0.10400345176458359
8000403,0.12478228658437729
8000404,0.07251785695552826
8000405,0.11401601880788803
8000406,0.06438936293125153
8000407,0.08415224403142929
8000408,0.08689567446708679
8000409,0.1971007138490677
8000410,0.04086993262171745
8000411,0.11730469018220901
8000412,0.11559364199638367
8000413,0.13708162307739258
8000414,0.16486628353595734
8000415,0.06305146217346191
8000416,0.1274178922176361
8000417,0.1464030146598816
8000418,0.05935215204954147
8000419,0.12457616627216339
8000420,0.08577239513397217
8000421,0.11343645304441452
8000422,0.24924765527248383
8000423,0.1456507444381714
8000424,0.0885942131280899
8000425,0.11253248155117035
8000426,0.1375301331281662
8000427,0.10382162779569626
8000428,0.08884560316801071
8000429,0.05074111744761467
8000430,0.11899767816066742
8000431,0.09299139678478241
8000432,0.1239919364452362
8000433,0.07403847575187683
8000434,0.1299571692943573
8000435,0.05716833099722862
8000436,0.1651971936225891
8000437,0.092179074883461
8000438,0.09784720838069916
8000439,0.09871423244476318
8000440,0.21168971061706543
8000441,0.04273426532745361
8000442,0.09049646556377411
8000443,0.07307761907577515
8000444,0.14275068044662476
8000445,0.13468605279922485
8000446,0.09274173527956009
8000447,0.14708556234836578
8000448,0.08211570233106613
8000449,0.12207049131393433
8000450,0.23232880234718323
8000451,0.10433143377304077
8000452,0.04818359389901161
8000453,0.1363525688648224
8000454,0.08960549533367157
8000455,0.140579491853714
8000456,0.22547917068004608
8000457,0.11418663710355759
8000458,0.11308411508798599
8000459,0.1297462433576584
8000460,0.05700595676898956
8000461,0.07956139743328094
8000462,0.06851505488157272
8000463,0.0683569684624672
8000464,0.124562107026577
8000465,0.11095276474952698
8000466,0.07931431382894516
8000467,0.06025832146406174
8000468,0.17820242047309875
8000469,0.15468193590641022
8000470,0.0798654556274414
8000471,0.13455802202224731
8000472,0.12173178046941757
8000473,0.13147833943367004
8000474,0.07089909166097641
8000475,0.24899274110794067
8000476,0.1049538180232048
8000477,0.10368095338344574
8000478,0.05316365882754326
8000479,0.0872354507446289
8000480,0.13734254240989685
8000481,0.10098715126514435
8000482,0.09705130010843277
8000483,0.15397542715072632
8000484,0.06811012327671051
8000485,0.09662007540464401
8000486,0.1380084753036499
8000487,0.12992647290229797
8000488,0.0844523161649704
8000489,0.23006200790405273
8001126,0.09955277293920517
8001127,0.1910514384508133
8001128,0.1263134628534317
8001129,0.055963288992643356
8001130,0.09854711592197418
8001131,0.20123356580734253
8001132,0.1174861490726471
8001133,0.23841629922389984
8001134,0.05010836198925972
8001135,0.21984510123729706
8001136,0.12064984440803528
8001137,0.10455362498760223
8001138,0.12145794928073883
8001139,0.15786460041999817
8001140,0.14234480261802673
8001141,0.11577106267213821
8001142,0.0970112532377243
8001143,0.11430664360523224
8001144,0.13262832164764404
8001145,0.10307034105062485
8001146,0.09496664255857468
8001147,0.12151191383600235
8001148,0.11563607305288315
8001149,0.1401241272687912
8001150,0.09231071919202805
8001151,0.0644812136888504
8001152,0.13629576563835144
8001153,0.1042100042104721
8001154,0.07627805322408676
8001155,0.1374511420726776
8001156,0.09213624894618988
8001157,0.10595067590475082
8001158,0.07138524949550629
8001159,0.15779873728752136
8001160,0.1441481113433838
8001161,0.07767743617296219
8001162,0.21922916173934937
8001163,0.1274215131998062
8001164,0.1065918579697609
8001165,0.14967605471611023
8001166,0.07404143363237381
8001167,0.10335054993629456
8001168,0.08389067649841309
8001169,0.137554332613945
8001170,0.16348892450332642
8001171,0.11294891685247421
8001172,0.1182878240942955
8001173,0.1748577356338501
8001174,0.056356191635131836
8001175,0.18003851175308228
8001176,0.09225539863109589
8001177,0.1790965050458908
8001178,0.10752138495445251
8001179,0.10877007246017456
8001180,0.1511078029870987
8001181,0.07400732487440109
8001182,0.0589265413582325
8001183,0.21448665857315063
8001184,0.07476074248552322
8001185,0.1259126365184784
8001186,0.06763596832752228
8001187,0.16801637411117554
8001188,0.11312531679868698
8001189,0.1290520876646042
8001190,0.19513878226280212
8001191,0.1368623673915863
8001192,0.03423544391989708
8001193,0.12226331979036331
8001194,0.16362664103507996
8001195,0.1531802862882614
8001196,0.2527751326560974
8001197,0.08995989710092545
8001198,0.11479233205318451
8001199,0.10626683384180069
8001200,0.12028362601995468
8001201,0.05040407553315163
8001202,0.11054875701665878
8001203,0.13642500340938568
8001204,0.08219411224126816
8001205,0.08045239746570587
8001206,0.11379396915435791
