no,default_12month
8000320,0.25001969933509827
8000392,0.0739561915397644
8000393,0.0990920141339302
8000394,0.10064691305160522
8000395,0.08489898592233658
8000396,0.0892997607588768
8000397,0.20606215298175812
8000398,0.0996725857257843
8000399,0.08427324891090393
8000400,0.07753627747297287
8000401,0.07382354140281677
8000402,0.10278496891260147
8000403,0.11581701040267944
8000404,0.06723079085350037
8000405,0.10311238467693329
8000406,0.05978366360068321
8000407,0.07003465294837952
8000408,0.08922535181045532
8000409,0.20837783813476562
8000410,0.0437055379152298
8000411,0.1189483106136322
8000412,0.11354383826255798
8000413,0.13436387479305267
8000414,0.17987069487571716
8000415,0.0721006691455841
8000416,0.12728312611579895
8000417,0.14734698832035065
8000418,0.06452976167201996
8000419,0.10470902919769287
8000420,0.08540421724319458
8000421,0.10902728140354156
8000422,0.23797807097434998
8000423,0.1418481171131134
8000424,0.08565767109394073
8000425,0.11250008642673492
8000426,0.14192818105220795
8000427,0.10408870130777359
8000428,0.08926022052764893
8000429,0.04415521025657654
8000430,0.10506410896778107
8000431,0.08972298353910446
8000432,0.11959091573953629
8000433,0.08240173012018204
8000434,0.12867355346679688
8000435,0.05994929000735283
8000436,0.16994938254356384
8000437,0.0884939432144165
8000438,0.09882791340351105
8000439,0.10916024446487427
8000440,0.1703682541847229
8000441,0.04024922847747803
8000442,0.10122326761484146
8000443,0.0706045851111412
8000444,0.11655712872743607
8000445,0.13469478487968445
8000446,0.09038123488426208
8000447,0.11865776777267456
8000448,0.08302507549524307
8000449,0.10276865214109421
8000450,0.2437056303024292
8000451,0.08990941941738129
8000452,0.04717470705509186
8000453,0.11018305271863937
8000454,0.07114682346582413
8000455,0.14788620173931122
8000456,0.20609606802463531
8000457,0.10428982973098755
8000458,0.10455496609210968
8000459,0.1252361238002777
8000460,0.05029855668544769
8000461,0.07792491465806961
8000462,0.05485467612743378
8000463,0.06530175358057022
8000464,0.1533007025718689
8000465,0.08793359994888306
8000466,0.071898452937603
8000467,0.06136626750230789
8000468,0.19917111098766327
8000469,0.206216499209404
8000470,0.06531845033168793
8000471,0.12260236591100693
8000472,0.09493199735879898
8000473,0.13251745700836182
8000474,0.07216605544090271
8000475,0.2705719769001007
8000476,0.08836231380701065
8000477,0.10907812416553497
8000478,0.040415745228528976
8000479,0.0638888031244278
8000480,0.1473362296819687
8000481,0.10215481370687485
8000482,0.0963682159781456
8000483,0.16661246120929718
8000484,0.06709514558315277
8000485,0.08480456471443176
8000486,0.10527858138084412
8000487,0.13301868736743927
8000488,0.08362346887588501
8000489,0.26166248321533203
8001126,0.09036252647638321
8001127,0.19495253264904022
8001128,0.11781386286020279
8001129,0.05295444279909134
8001130,0.07535805553197861
8001131,0.23582325875759125
8001132,0.10496164858341217
8001133,0.27667149901390076
8001134,0.04668264091014862
8001135,0.2471732646226883
8001136,0.11919724196195602
8001137,0.09753254055976868
8001138,0.10061187297105789
8001139,0.18131029605865479
8001140,0.12225168943405151
8001141,0.1271674633026123
8001142,0.10322777926921844
8001143,0.10708574950695038
8001144,0.12075530737638474
8001145,0.09585530310869217
8001146,0.09590776264667511
8001147,0.12247995287179947
8001148,0.13083429634571075
8001149,0.1556105613708496
8001150,0.07043430954217911
8001151,0.06996520608663559
8001152,0.11934284120798111
8001153,0.08984195441007614
8001154,0.07548815757036209
8001155,0.12846942245960236
8001156,0.08550933003425598
8001157,0.09773986786603928
8001158,0.07899017632007599
8001159,0.1597861647605896
8001160,0.1167522519826889
8001161,0.06988848745822906
8001162,0.23045264184474945
8001163,0.09893125295639038
8001164,0.10698609799146652
8001165,0.14453619718551636
8001166,0.06879298388957977
8001167,0.09303903579711914
8001168,0.07203344255685806
8001169,0.1347033679485321
8001170,0.19352611899375916
8001171,0.1122027337551117
8001172,0.10778669267892838
8001173,0.17982949316501617
8001174,0.06552734971046448
8001175,0.2170521765947342
8001176,0.06750701367855072
8001177,0.18663111329078674
8001178,0.09982965886592865
8001179,0.0960409939289093
8001180,0.14802488684654236
8001181,0.06271420419216156
8001182,0.0651506781578064
8001183,0.2457086741924286
8001184,0.06942624598741531
8001185,0.13271696865558624
8001186,0.07502573728561401
8001187,0.14978691935539246
8001188,0.10300544649362564
8001189,0.12032312154769897
8001190,0.16454720497131348
8001191,0.11015758663415909
8001192,0.04869408532977104
8001193,0.12474775314331055
8001194,0.16210253536701202
8001195,0.13783840835094452
8001196,0.277656614780426
8001197,0.08802225440740585
8001198,0.09473688155412674
8001199,0.09629018604755402
8001200,0.11753392219543457
8001201,0.03736625611782074
8001202,0.09864085912704468
8001203,0.1315840184688568
8001204,0.07527659833431244
8001205,0.07073584944009781
8001206,0.09902310371398926
8001207,0.16883394122123718
8001208,0.1005006730556488
8001209,0.25569069385528564
8001210,0.08370707929134369
8003103,0.09490244835615158
8003104,0.13235780596733093
8003105,0.19772183895111084
8003106,0.14942169189453125
8003107,0.10095548629760742
8003108,0.0870249792933464
8003109,0.07534222304821014
8003110,0.06830788403749466
8003111,0.23755861818790436
8003112,0.18084441125392914
8003113,0.1352756917476654
8003114,0.14994941651821136
8003115,0.12080731242895126
8003116,0.13137218356132507
8003117,0.09971609711647034
8003118,0.15514960885047913
8003119,0.16370199620723724
8003120,0.10390298068523407
8003121,0.18515537679195404
8003122,0.08816934376955032
8003123,0.09996798634529114
8003124,0.13475586473941803
8003125,0.23795723915100098
8003126,0.04369495064020157
8003127,0.08344337344169617
8003128,0.1301065981388092
8003129,0.10109298676252365
8003130,0.14061643183231354
