no,default_12month
8000320,0.19800400733947754
8000392,0.0746656060218811
8000393,0.08381681144237518
8000394,0.10200340300798416
8000395,0.08997771888971329
8000396,0.09139066934585571
8000397,0.15834656357765198
8000398,0.09274269640445709
8000399,0.07476770877838135
8000400,0.07360314577817917
8000401,0.06700152158737183
8000402,0.115541473031044
8000403,0.11417164653539658
8000404,0.05359867215156555
8000405,0.10430899262428284
8000406,0.03581662103533745
8000407,0.06583324074745178
8000408,0.08693619072437286
8000409,0.20781880617141724
8000410,0.026895364746451378
8000411,0.11924614757299423
8000412,0.11898031085729599
8000413,0.12268824875354767
8000414,0.1631716936826706
8000415,0.05658937618136406
8000416,0.1433708369731903
8000417,0.13553646206855774
8000418,0.05295589193701744
8000419,0.10890234261751175
8000420,0.09135504066944122
8000421,0.10645437240600586
8000422,0.2141844779253006
8000423,0.14569060504436493
8000424,0.09744787216186523
8000425,0.10804270952939987
8000426,0.130550354719162
8000427,0.11406233161687851
8000428,0.08951706439256668
8000429,0.037270672619342804
8000430,0.11402986198663712
8000431,0.08693420886993408
8000432,0.11972162127494812
8000433,0.07376570999622345
8000434,0.126921147108078
8000435,0.036676209419965744
8000436,0.1358860582113266
8000437,0.10121271014213562
8000438,0.09316978603601456
8000439,0.11208934336900711
8000440,0.17588362097740173
8000441,0.039218250662088394
8000442,0.11084099858999252
8000443,0.060095302760601044
8000444,0.13194583356380463
8000445,0.13356347382068634
8000446,0.09417488425970078
8000447,0.13493941724300385
8000448,0.08683552592992783
8000449,0.11060427129268646
8000450,0.23114944994449615
8000451,0.1017954871058464
8000452,0.03158922120928764
8000453,0.12807562947273254
8000454,0.07445994019508362
8000455,0.17851300537586212
8000456,0.19166909158229828
8000457,0.11177098751068115
8000458,0.11686038225889206
8000459,0.12292365729808807
8000460,0.03585802763700485
8000461,0.06836699694395065
8000462,0.04077362269163132
8000463,0.05693444237112999
8000464,0.125308096408844
8000465,0.09579811990261078
8000466,0.0630335882306099
8000467,0.056151289492845535
8000468,0.20648488402366638
8000469,0.15245909988880157
8000470,0.062056247144937515
8000471,0.12915962934494019
8000472,0.09187863022089005
8000473,0.13843482732772827
8000474,0.05117802321910858
8000475,0.2264872044324875
8000476,0.1040773093700409
8000477,0.10969887673854828
8000478,0.027927009388804436
8000479,0.06999002397060394
8000480,0.1405511349439621
8000481,0.09942548722028732
8000482,0.09905404597520828
8000483,0.15368200838565826
8000484,0.056057363748550415
8000485,0.09352031350135803
8000486,0.11034297198057175
8000487,0.14010614156723022
8000488,0.08885852992534637
8000489,0.23743759095668793
8001126,0.10238898545503616
8001127,0.1731823831796646
8001128,0.12140608578920364
8001129,0.032235488295555115
8001130,0.07520180195569992
8001131,0.20433463156223297
8001132,0.11427251994609833
8001133,0.2474869340658188
8001134,0.02978079579770565
8001135,0.2528088390827179
8001136,0.0947861596941948
8001137,0.10871728509664536
8001138,0.0957464724779129
8001139,0.16604091227054596
8001140,0.13937364518642426
8001141,0.08435964584350586
8001142,0.10454603284597397
8001143,0.11073057353496552
8001144,0.12908980250358582
8001145,0.09451687335968018
8001146,0.09630965441465378
8001147,0.12487177550792694
8001148,0.0777532160282135
8001149,0.16737249493598938
8001150,0.07496757060289383
8001151,0.055403292179107666
8001152,0.14163026213645935
8001153,0.10926978290081024
8001154,0.06677135080099106
8001155,0.12328004837036133
8001156,0.10362743586301804
8001157,0.10544105619192123
8001158,0.07324039191007614
8001159,0.14649257063865662
8001160,0.11564689129590988
8001161,0.06293650716543198
8001162,0.24406269192695618
8001163,0.12188080698251724
8001164,0.10820458829402924
8001165,0.14059075713157654
8001166,0.05888703092932701
8001167,0.09289641678333282
8001168,0.06682642549276352
8001169,0.14710445702075958
8001170,0.20085453987121582
8001171,0.12044398486614227
8001172,0.14103661477565765
8001173,0.16533401608467102
8001174,0.06426391750574112
8001175,0.21717484295368195
8001176,0.06131771206855774
8001177,0.1757824718952179
8001178,0.10115182399749756
8001179,0.11344236880540848
8001180,0.1753959208726883
8001181,0.06462523341178894
8001182,0.053132180124521255
8001183,0.22099760174751282
8001184,0.06279271095991135
8001185,0.13786353170871735
8001186,0.0729093849658966
8001187,0.14957588911056519
8001188,0.09841417521238327
8001189,0.13174232840538025
8001190,0.15352152287960052
8001191,0.13028407096862793
8001192,0.022466450929641724
8001193,0.12697724997997284
8001194,0.202358216047287
8001195,0.14559800922870636
8001196,0.24792088568210602
8001197,0.09528261423110962
8001198,0.10056459903717041
8001199,0.10723517835140228
8001200,0.11981078237295151
8001201,0.037524133920669556
8001202,0.1042318120598793
8001203,0.14352849125862122
8001204,0.0689394548535347
8001205,0.06602891534566879
8001206,0.10588712990283966
8001207,0.15737196803092957
8001208,0.11414602398872375
8001209,0.21313266456127167
8001210,0.1038236916065216
8003103,0.10423902422189713
8003104,0.117158442735672
8003105,0.19521702826023102
8003106,0.13321614265441895
8003107,0.10560250282287598
8003108,0.09517589211463928
8003109,0.0766480341553688
8003110,0.0843978077173233
8003111,0.21033647656440735
8003112,0.17346766591072083
8003113,0.14371708035469055
8003114,0.15807490050792694
8003115,0.11291301250457764
8003116,0.13460735976696014
8003117,0.11313176900148392
8003118,0.15858548879623413
8003119,0.17740800976753235
8003120,0.11061962693929672
8003121,0.19003702700138092
8003122,0.09847218543291092
8003123,0.10198891907930374
8003124,0.14860650897026062
8003125,0.22643116116523743
8003126,0.03395269066095352
8003127,0.09023065119981766
8003128,0.12430712580680847
8003129,0.11138304322957993
8003130,0.1476471722126007
8003131,0.17511241137981415
8003132,0.04645824059844017
8003133,0.1588311642408371
8003134,0.1103426143527031
8003135,0.09574498981237411
8003136,0.14833654463291168
8003137,0.10165651142597198
8003138,0.28891414403915405
8003139,0.05069374293088913
8003140,0.1308332234621048
8003141,0.18014170229434967
8003142,0.2354104369878769
8003143,0.10589681565761566
8003144,0.16641765832901
8003145,0.0674046128988266
8003146,0.1302255243062973
8003147,0.17769324779510498
8003148,0.14513540267944336
8003149,0.1093766838312149
8003150,0.11587540060281754
8003151,0.09327724575996399
8003152,0.12050607055425644
8003153,0.14581741392612457
8003154,0.06768205016851425
8003155,0.15111781656742096
8003156,0.131125345826149
8003157,0.14431525766849518
8003158,0.1715962141752243
8003159,0.18989412486553192
8003160,0.06647573411464691
8003161,0.12246757000684738
8003162,0.1442774087190628
8003163,0.2257615625858307
8003164,0.1277557760477066
8003165,0.13385266065597534
8003166,0.04553736746311188
8003167,0.09085771441459656
8003168,0.14871102571487427
8003169,0.1594952940940857
8003170,0.22315457463264465
8003171,0.055260688066482544
8003172,0.18073910474777222
8003173,0.05592430382966995
8003174,0.13273367285728455
8003175,0.06708519905805588
8003176,0.14906898140907288
8003177,0.14865532517433167
8003178,0.19784729182720184
8003179,0.06133747100830078
8003180,0.15358693897724152
8003181,0.20099271833896637
8003182,0.06222531944513321
8003183,0.06949113309383392
8003184,0.1556050330400467
8003185,0.16598999500274658
8003186,0.15087595582008362
8003187,0.16675594449043274
8003188,0.09124663472175598
8003189,0.1501966118812561
8003190,0.08140409737825394
8003191,0.13623520731925964
8003192,0.06177816540002823
8003193,0.042076725512742996
8003194,0.1762532740831375
8003195,0.06117824465036392
8003196,0.08630383759737015
8003197,0.10577903687953949
8003198,0.1629839837551117
8003199,0.07739149779081345
8003200,0.1212950050830841
8003201,0.06545702368021011
8003202,0.07707023620605469
8003203,0.08705680817365646
8003204,0.17173554003238678
8003205,0.10601070523262024
8003206,0.08688171207904816
8003207,0.06396305561065674
8003208,0.1587071418762207
8003209,0.11427249759435654
8003210,0.20915241539478302
8003211,0.21187824010849
8003212,0.1991254985332489
8003213,0.11701615899801254
8003214,0.17166519165039062
8003215,0.08447433263063431
8003216,0.11514882743358612
8003217,0.07019487023353577
8003218,0.24906428158283234
8003219,0.21578654646873474
8003220,0.05037083849310875
8003221,0.08923811465501785
8003222,0.08596397936344147
8003223,0.1498766988515854
8003224,0.1432080864906311
8003225,0.1927594244480133
8003226,0.35348790884017944
8003227,0.1485346257686615
8003228,0.12412986159324646
8003229,0.10353827476501465
8003230,0.15273648500442505
8003231,0.11526767164468765
8003232,0.04032272472977638
8003233,0.13119038939476013
8003234,0.1874411404132843
8003235,0.1155753955245018
8003236,0.036197975277900696
8003237,0.07403606176376343
8003238,0.10936757177114487
8003239,0.1230781301856041
8003240,0.1386556625366211
8003241,0.13763722777366638
8003242,0.13233081996440887
8003243,0.08384894579648972
8003244,0.14013537764549255
8003245,0.11347999423742294
8003246,0.20809724926948547
8003247,0.07677251845598221
8003248,0.16926446557044983
8003249,0.15628713369369507
8003250,0.07679902017116547
8003251,0.14864201843738556
8003252,0.044688500463962555
8003253,0.09603672474622726
8003254,0.10082980990409851
8003255,0.07653200626373291
8003256,0.16013044118881226
8003257,0.0845484659075737
8003258,0.23254385590553284
8003259,0.06498929113149643
8003260,0.1256234347820282
8003261,0.14075882732868195
8003262,0.12675662338733673
8003263,0.12349291890859604
8003264,0.08024638146162033
8003265,0.07322131842374802
8003266,0.1228422299027443
8003267,0.13081900775432587
8003268,0.15379512310028076
8003269,0.21615253388881683
8003270,0.12087272107601166
8003271,0.09925846010446548
8003272,0.14813148975372314
8003273,0.15750998258590698
8003274,0.07760187983512878
8003275,0.10923179239034653
8003276,0.16160468757152557
8003277,0.11864504218101501
8003278,0.07805798947811127
8003279,0.14894020557403564
8003280,0.09765829145908356
8003281,0.08817485719919205
8003282,0.12413414567708969
8003283,0.09348754584789276
8003284,0.17254215478897095
8003285,0.1130874902009964
8003286,0.12435639649629593
8003287,0.17728640139102936
8003288,0.2038286030292511
8003289,0.20661121606826782
8003290,0.12919704616069794
8003291,0.1147012859582901
8003292,0.07088541239500046
8003293,0.1353604644536972
8003294,0.17457105219364166
8003295,0.12143221497535706
8003296,0.13196136057376862
8003297,0.07068291306495667
8003298,0.13340584933757782
8003299,0.11359304189682007
8003300,0.14172668755054474
8003301,0.10979659855365753
8003302,0.07666764408349991
8003303,0.0659850686788559
8003304,0.17099104821681976
8003305,0.19604039192199707
8003306,0.27116286754608154
8003307,0.1661461591720581
8003308,0.03594234213232994
8003309,0.15414193272590637
8003310,0.13308916985988617
8003311,0.17720487713813782
8003312,0.12354951351881027
8003313,0.09817345440387726
8003314,0.14846529066562653
8003315,0.10280868411064148
8003316,0.08923368155956268
8003317,0.04704010859131813
8003318,0.18823793530464172
8003319,0.13120201230049133
8003320,0.10657410323619843
8003321,0.12172653526067734
8003322,0.09665285050868988
8003323,0.22146008908748627
8003324,0.09617207944393158
8003325,0.08468551188707352
8003326,0.1461460143327713
8003327,0.05640312284231186
8003328,0.027010265737771988
8003329,0.06784844398498535
8003330,0.06709079444408417
8003331,0.14990606904029846
8003332,0.11203029006719589
8003333,0.1204707995057106
8003334,0.04016757011413574
8003335,0.10491789877414703
8003336,0.1608598381280899
8003337,0.25649452209472656
8003338,0.18264779448509216
8003339,0.0992928147315979
8003340,0.18591821193695068
8003341,0.13391773402690887
8003342,0.10508839040994644
8003343,0.03423306345939636
8003344,0.09138268232345581
8003345,0.17608320713043213
8003346,0.12329575419425964
8003347,0.09307029843330383
8003348,0.13893547654151917
8003349,0.19710244238376617
8003350,0.08819752186536789
8003351,0.09332379698753357
8003352,0.1606227159500122
8003353,0.1363445520401001
8003354,0.12099778652191162
8003355,0.17636574804782867
8003356,0.10109714418649673
8003357,0.18334515392780304
8003358,0.06898036599159241
8003359,0.0877988412976265
8003360,0.1245562732219696
8003361,0.1685253530740738
8003362,0.18922998011112213
8003363,0.06364016979932785
8003364,0.14457404613494873
8003365,0.12319942563772202
8003366,0.03346863389015198
8003367,0.12264730781316757
8003368,0.08695483207702637
8003369,0.050891030579805374
8003370,0.13840892910957336
8003371,0.1901702582836151
8003372,0.06476184725761414
8003373,0.1298713982105255
8003374,0.10012433677911758
8003375,0.20365464687347412
8003376,0.11211996525526047
8003377,0.03805621340870857
8003378,0.1292804479598999
8003379,0.2775079905986786
8003380,0.058442652225494385
8003381,0.08499421924352646
8003382,0.10148083418607712
8003383,0.10640519112348557
8003384,0.17921443283557892
8003385,0.18319520354270935
8003386,0.11114947497844696
8003387,0.07718180119991302
8003388,0.13427044451236725
8003389,0.0697161853313446
8003390,0.06941656768321991
8003623,0.14169242978096008
8003624,0.027456071227788925
8003625,0.08125349879264832
8003626,0.13384661078453064
8003627,0.0959295704960823
8003628,0.061597876250743866
8003629,0.15618857741355896
8003630,0.11831812560558319
8003631,0.12398649007081985
8003632,0.07305192947387695
8003633,0.0942816510796547
8003634,0.20836080610752106
8003635,0.12480447441339493
8003636,0.14394889771938324
8003637,0.05397352948784828
8003638,0.24498102068901062
8003639,0.13041196763515472
8003640,0.27507343888282776
8003641,0.16652394831180573
8003642,0.18324901163578033
8003643,0.1363353729248047
8003644,0.0597417913377285
8003645,0.1179729551076889
8003646,0.13736042380332947
8003647,0.09456891566514969
8003648,0.22508181631565094
8003649,0.135135218501091
8003650,0.12753276526927948
8003651,0.11678773909807205
8003652,0.161039799451828
8003653,0.08126519620418549
8003654,0.1079452857375145
8003655,0.18526877462863922
8003656,0.11639145016670227
8003657,0.1311359703540802
8003658,0.0998222678899765
8003659,0.11545955389738083
8003660,0.11582479625940323
8003661,0.07790026813745499
8003662,0.0995669811964035
8003663,0.10262320935726166
8003664,0.191795215010643
8003665,0.08510052412748337
8003666,0.05761634558439255
8003667,0.14857308566570282
8003668,0.21222412586212158
8003669,0.07586731016635895
8003670,0.09837720543146133
8003671,0.07921033352613449
8003672,0.04476676881313324
8003673,0.08158569037914276
8003674,0.08726628124713898
8003675,0.10494228452444077
8003676,0.18822835385799408
8003677,0.13467833399772644
8003678,0.0689515694975853
8003679,0.13010162115097046
8003680,0.0606585331261158
8003681,0.09284427016973495
8003682,0.06663741916418076
8003683,0.2807677388191223
8003684,0.04764030873775482
8003685,0.06936145573854446
8003686,0.14292410016059875
8003687,0.09788616001605988
8003688,0.14373432099819183
8003689,0.07989713549613953
8003690,0.13271519541740417
8003691,0.11093893647193909
8003692,0.17456349730491638
8003693,0.0995020940899849
8003694,0.055565014481544495
8003695,0.058071818202733994
8003696,0.1516929566860199
8003697,0.0771695002913475
8003698,0.12360944598913193
8003699,0.16815918684005737
8003700,0.1644374430179596
8003701,0.12971028685569763
8003702,0.11458417028188705
8003703,0.14822733402252197
8003704,0.22326724231243134
8003705,0.27637168765068054
8003706,0.06990182399749756
8003707,0.12225808203220367
8003708,0.08317670971155167
8003709,0.08705663681030273
8003710,0.09777802973985672
8003711,0.1682852953672409
8003712,0.042257633060216904
8003713,0.1699134111404419
8003714,0.17631752789020538
8003715,0.15516576170921326
8003716,0.1332838088274002
8003717,0.1737854778766632
8003718,0.11584755033254623
8003719,0.20629523694515228
8003720,0.04143959656357765
8003721,0.07160525768995285
8003722,0.2125759720802307
8003723,0.04916086420416832
8003724,0.22912734746932983
8003725,0.22413983941078186
8003726,0.16418252885341644
8003727,0.08251836895942688
8003728,0.08318395912647247
8003729,0.12396825104951859
8003730,0.15911126136779785
8003731,0.1510871797800064
8003732,0.03361506015062332
8003733,0.0543537437915802
8003734,0.10074378550052643
8003735,0.07730060815811157
8003736,0.059178248047828674
8003737,0.12097256630659103
8003738,0.1897016167640686
8003739,0.12425123155117035
8003740,0.10737847536802292
8003741,0.09638471901416779
8003742,0.14106330275535583
8003743,0.1436113864183426
8003744,0.14579501748085022
8003745,0.15313337743282318
8003746,0.08254338055849075
8003747,0.11987738311290741
8003748,0.13134442269802094
8003749,0.15292546153068542
8003750,0.09894265234470367
8003751,0.11172649264335632
8003752,0.03662332147359848
8003753,0.13779287040233612
8003754,0.23283164203166962
8003755,0.21663832664489746
8003756,0.16989655792713165
8003757,0.08941145241260529
8003758,0.15524806082248688
8003759,0.07787001132965088
8003760,0.1788671910762787
8003761,0.0800209492444992
8003762,0.152875155210495
8003763,0.04862970486283302
8005025,0.10180139541625977
8005026,0.07394016534090042
8005027,0.08958208560943604
8005028,0.16284754872322083
8005029,0.12213753908872604
8005030,0.07661543041467667
8005031,0.047387368977069855
8005032,0.08847148716449738
8005033,0.15188534557819366
8005034,0.07697086781263351
8005035,0.1328936517238617
8005036,0.06544345617294312
8005037,0.1555025279521942
8005038,0.19450725615024567
8005039,0.08699776232242584
8005040,0.13947822153568268
8005041,0.14976553618907928
8005042,0.060531098395586014
8005043,0.04813610762357712
8005044,0.14324815571308136
8005045,0.08699420094490051
8005046,0.06224901229143143
8005047,0.09374424815177917
8005048,0.08073244988918304
8005049,0.1819854974746704
8005050,0.14689722657203674
8005051,0.13653191924095154
8005052,0.13754704594612122
8005053,0.062589131295681
8005054,0.07173903286457062
8005055,0.11343352496623993
8005056,0.14140847325325012
8005057,0.06039353460073471
8005058,0.15922410786151886
8005059,0.1517556756734848
8005060,0.049357347190380096
8005061,0.1563899964094162
8005062,0.14568577706813812
8005063,0.13940352201461792
8005064,0.1485322266817093
8005065,0.1986430287361145
8005066,0.22164537012577057
8005067,0.16045358777046204
8005068,0.24134355783462524
8005069,0.09768687933683395
8005070,0.15052612125873566
8005071,0.03612646833062172
8005072,0.07441751658916473
8005073,0.15115101635456085
8005074,0.14632052183151245
8005075,0.1502223014831543
8005076,0.06238492205739021
8005077,0.19445820152759552
8005078,0.15559107065200806
8005079,0.1305900514125824
8005080,0.051500316709280014
8005081,0.17443197965621948
8005082,0.0921512320637703
8005083,0.13982827961444855
8005084,0.18801277875900269
8005085,0.15520404279232025
8005086,0.13628290593624115
8005087,0.0995485782623291
8005088,0.11659305542707443
8005089,0.17795592546463013
8005090,0.09308665990829468
8005091,0.13944029808044434
8005092,0.09488091617822647
8005093,0.07163118571043015
8005094,0.34463223814964294
8005095,0.14854732155799866
8005096,0.06805891543626785
8005097,0.11232473701238632
8005098,0.049917981028556824
8005099,0.10693180561065674
8005100,0.06329600512981415
8005101,0.09376496821641922
8005102,0.14989686012268066
8005103,0.17359277606010437
8005104,0.03128892183303833
8005105,0.12420845776796341
8005106,0.15067683160305023
8005107,0.11418233811855316
8005108,0.2099388986825943
8005109,0.0825616717338562
8005110,0.1196567639708519
8005111,0.15563486516475677
8005112,0.14452865719795227
8005113,0.16723516583442688
8005114,0.13557913899421692
8005115,0.11159174889326096
8005116,0.10764431208372116
8005117,0.12086881697177887
8005118,0.07367430627346039
8005119,0.030785759910941124
8005120,0.09169011563062668
