no,default_12month
8000320,0.22773857414722443
8000392,0.08189831674098969
8000393,0.10845324397087097
8000394,0.11405561864376068
8000395,0.09447760134935379
8000396,0.1078314259648323
8000397,0.20769010484218597
8000398,0.09178383648395538
8000399,0.08511776477098465
8000400,0.08425135910511017
8000401,0.07301659137010574
8000402,0.1034836396574974
8000403,0.10963328927755356
8000404,0.07049915939569473
8000405,0.11355432868003845
8000406,0.07160016894340515
8000407,0.0798831433057785
8000408,0.09674683958292007
8000409,0.17610059678554535
8000410,0.08679458498954773
8000411,0.11128067970275879
8000412,0.10533580183982849
8000413,0.14962700009346008
8000414,0.19450025260448456
8000415,0.07106436043977737
8000416,0.12351027131080627
8000417,0.13366243243217468
8000418,0.07217123359441757
8000419,0.11463253200054169
8000420,0.10275885462760925
8000421,0.12723875045776367
8000422,0.2050730288028717
8000423,0.1415029913187027
8000424,0.09914898127317429
8000425,0.12707912921905518
8000426,0.12777474522590637
8000427,0.12365292012691498
8000428,0.10121802985668182
8000429,0.06130783632397652
8000430,0.11807575076818466
8000431,0.08902532607316971
8000432,0.1390783041715622
8000433,0.07848339527845383
8000434,0.11778835952281952
8000435,0.06619320809841156
8000436,0.2063860446214676
8000437,0.10986409336328506
8000438,0.10031715780496597
8000439,0.15364617109298706
8000440,0.16258078813552856
8000441,0.04820286110043526
8000442,0.10866903513669968
8000443,0.07707381248474121
8000444,0.10485195368528366
8000445,0.12122992426156998
8000446,0.08977768570184708
8000447,0.11950915306806564
8000448,0.10354858636856079
8000449,0.10117807984352112
8000450,0.19833777844905853
8000451,0.1072637215256691
8000452,0.06402949243783951
8000453,0.10716629773378372
8000454,0.06627985090017319
8000455,0.12723040580749512
8000456,0.1811743676662445
8000457,0.0902838408946991
8000458,0.10556270182132721
8000459,0.1289711892604828
8000460,0.06009384244680405
8000461,0.08946025371551514
8000462,0.07149375975131989
8000463,0.06965690106153488
8000464,0.17836816608905792
8000465,0.09497114270925522
8000466,0.09122688323259354
8000467,0.06368058919906616
8000468,0.1531355381011963
8000469,0.22981254756450653
8000470,0.059627216309309006
8000471,0.124021016061306
8000472,0.11692871898412704
8000473,0.12407980114221573
8000474,0.06955491006374359
8000475,0.28415951132774353
8000476,0.10083391517400742
8000477,0.1114000603556633
8000478,0.05034929886460304
8000479,0.06677766144275665
8000480,0.13847225904464722
8000481,0.11388827860355377
8000482,0.10633113980293274
8000483,0.16260720789432526
8000484,0.06654253602027893
8000485,0.10567457228899002
8000486,0.10649389773607254
8000487,0.12371623516082764
8000488,0.09102939069271088
8000489,0.25386273860931396
8001126,0.10070512443780899
8001127,0.16434839367866516
8001128,0.12226476520299911
8001129,0.08751119673252106
8001130,0.0869055986404419
8001131,0.19121301174163818
8001132,0.10134654492139816
8001133,0.281087189912796
8001134,0.06353046000003815
8001135,0.19280906021595
8001136,0.10212376713752747
8001137,0.08816064894199371
8001138,0.09993663430213928
8001139,0.16988562047481537
8001140,0.13066621124744415
8001141,0.1286415010690689
8001142,0.12630656361579895
8001143,0.1117180734872818
8001144,0.11786717176437378
8001145,0.10296270251274109
8001146,0.08635453134775162
8001147,0.12729127705097198
8001148,0.1842203587293625
8001149,0.12570324540138245
8001150,0.06808867305517197
8001151,0.07530487328767776
8001152,0.11625631153583527
8001153,0.09791315346956253
8001154,0.08149383217096329
8001155,0.12543471157550812
8001156,0.09506823867559433
8001157,0.0927608460187912
8001158,0.07596883177757263
8001159,0.16480106115341187
8001160,0.10664992779493332
8001161,0.08005350828170776
8001162,0.22126656770706177
8001163,0.10752443969249725
8001164,0.09811706095933914
8001165,0.16293711960315704
8001166,0.0682055652141571
8001167,0.09405747056007385
8001168,0.08285295218229294
8001169,0.15371951460838318
8001170,0.16179168224334717
8001171,0.11060324311256409
8001172,0.10766834020614624
8001173,0.18202269077301025
8001174,0.05953080579638481
8001175,0.19725343585014343
8001176,0.056773342192173004
8001177,0.1844765990972519
8001178,0.11353188008069992
