no,default_12month
8000320,0.26522108912467957
8000392,0.0709017962217331
8000393,0.1041397675871849
8000394,0.10020235180854797
8000395,0.08993729948997498
8000396,0.09684695303440094
8000397,0.19155800342559814
8000398,0.10086815804243088
8000399,0.08298342674970627
8000400,0.08087905496358871
8000401,0.07047165185213089
8000402,0.09986274689435959
8000403,0.11868833750486374
8000404,0.06783094257116318
8000405,0.10083167254924774
8000406,0.057712700217962265
8000407,0.06456850469112396
8000408,0.08848363906145096
8000409,0.2055603563785553
8000410,0.04590839892625809
8000411,0.11821657419204712
8000412,0.1182229146361351
8000413,0.12658682465553284
8000414,0.17686130106449127
8000415,0.07010956853628159
8000416,0.12560436129570007
8000417,0.13804204761981964
8000418,0.06573554873466492
8000419,0.10827694833278656
8000420,0.09190328419208527
8000421,0.10768862068653107
8000422,0.22919310629367828
8000423,0.1443067491054535
8000424,0.08725778758525848
8000425,0.10796552896499634
8000426,0.14057499170303345
8000427,0.10769997537136078
8000428,0.08997523039579391
8000429,0.043606095016002655
8000430,0.1082925945520401
8000431,0.08747349679470062
8000432,0.11716825515031815
8000433,0.0807427167892456
8000434,0.12925103306770325
8000435,0.051360126584768295
8000436,0.18198859691619873
8000437,0.08969595283269882
8000438,0.09870301932096481
8000439,0.10848838090896606
8000440,0.1682569533586502
8000441,0.03973602503538132
8000442,0.1035766750574112
8000443,0.07074064761400223
8000444,0.1270505040884018
8000445,0.1335975080728531
8000446,0.08733117580413818
8000447,0.11478885263204575
8000448,0.08547793328762054
8000449,0.1088474690914154
8000450,0.2443351298570633
8000451,0.08611375093460083
8000452,0.04518350958824158
8000453,0.12268294394016266
8000454,0.07226645946502686
8000455,0.151093527674675
8000456,0.2129461020231247
8000457,0.103026382625103
8000458,0.10739712417125702
8000459,0.12216739356517792
8000460,0.04498859494924545
8000461,0.0727628692984581
8000462,0.05588565021753311
8000463,0.06247624009847641
8000464,0.147709459066391
8000465,0.08785083144903183
8000466,0.07109160721302032
8000467,0.05799013376235962
8000468,0.2064424604177475
8000469,0.19876547157764435
8000470,0.07897335290908813
8000471,0.12579289078712463
8000472,0.09938906133174896
8000473,0.132454514503479
8000474,0.06393689662218094
8000475,0.2617487907409668
8000476,0.09202048927545547
8000477,0.10758429765701294
8000478,0.04479840397834778
8000479,0.06552806496620178
8000480,0.13952118158340454
8000481,0.10427762567996979
8000482,0.0965178981423378
8000483,0.16641032695770264
8000484,0.06445356458425522
8000485,0.08612026274204254
8000486,0.111892469227314
8000487,0.13220959901809692
8000488,0.07722854614257812
8000489,0.2593424320220947
8001126,0.09745702147483826
8001127,0.19495193660259247
8001128,0.11759962141513824
8001129,0.0699126124382019
8001130,0.07712335139513016
8001131,0.24287179112434387
