no,default_12month
8000320,0.23171725869178772
8000392,0.07924479246139526
8000393,0.1092308834195137
8000394,0.10818751156330109
8000395,0.09630273282527924
8000396,0.10941459983587265
8000397,0.20743928849697113
8000398,0.09086786955595016
8000399,0.09224151819944382
8000400,0.09482485055923462
8000401,0.08478198200464249
8000402,0.11512824147939682
8000403,0.13040213286876678
8000404,0.07589775323867798
8000405,0.11670432239770889
8000406,0.06410477310419083
8000407,0.08668142557144165
8000408,0.09888583421707153
8000409,0.1754264533519745
8000410,0.04452737048268318
8000411,0.1225622370839119
8000412,0.10700583457946777
8000413,0.13358698785305023
8000414,0.18854202330112457
8000415,0.06883829087018967
8000416,0.1441626250743866
8000417,0.14147862792015076
8000418,0.08035873621702194
8000419,0.12099021673202515
8000420,0.09290215373039246
8000421,0.11980074644088745
8000422,0.1987692415714264
8000423,0.13133741915225983
8000424,0.10396207869052887
8000425,0.11899210512638092
8000426,0.13976137340068817
8000427,0.11025798320770264
8000428,0.09773469716310501
8000429,0.05266430974006653
8000430,0.10869596153497696
8000431,0.10026170313358307
8000432,0.12171948701143265
8000433,0.08171765506267548
8000434,0.14006300270557404
8000435,0.05194598436355591
8000436,0.16284747421741486
8000437,0.11391560733318329
8000438,0.10292644053697586
8000439,0.16356438398361206
8000440,0.15451116859912872
8000441,0.04937407001852989
8000442,0.09061813354492188
8000443,0.0848771259188652
8000444,0.12842923402786255
8000445,0.1349574774503708
8000446,0.10365629196166992
8000447,0.1173650398850441
8000448,0.09923055768013
8000449,0.1134411171078682
8000450,0.2384290248155594
8000451,0.11099604517221451
8000452,0.04315561801195145
8000453,0.10220225155353546
8000454,0.07436621189117432
8000455,0.12758727371692657
8000456,0.2015829235315323
8000457,0.10055605322122574
8000458,0.10314296931028366
8000459,0.12750113010406494
8000460,0.048202063888311386
8000461,0.08480250835418701
8000462,0.057057496160268784
8000463,0.0658038780093193
8000464,0.1674015372991562
8000465,0.09198205173015594
8000466,0.0702928900718689
8000467,0.061891764402389526
8000468,0.19315093755722046
8000469,0.2054678499698639
8000470,0.06757029891014099
8000471,0.13204629719257355
8000472,0.13602596521377563
8000473,0.14304719865322113
8000474,0.06009800359606743
8000475,0.25949788093566895
8000476,0.10627742111682892
8000477,0.12838833034038544
8000478,0.03805013746023178
8000479,0.08167864382266998
8000480,0.14789341390132904
8000481,0.11749295890331268
8000482,0.10257328301668167
8000483,0.1898895651102066
8000484,0.07901547849178314
8000485,0.11630713939666748
8000486,0.12373322248458862
8000487,0.15894649922847748
8000488,0.10458184778690338
8000489,0.25115692615509033
8001126,0.09902508556842804
8001127,0.171532541513443
8001128,0.12363451719284058
8001129,0.06791645288467407
8001130,0.10278607159852982
8001131,0.2283441722393036
8001132,0.11629917472600937
8001133,0.2636430859565735
8001134,0.050166357308626175
8001135,0.22056260704994202
8001136,0.14252611994743347
8001137,0.12021707743406296
8001138,0.09958551824092865
8001139,0.1880900263786316
8001140,0.15073297917842865
8001141,0.12748578190803528
8001142,0.11116011440753937
8001143,0.12139016389846802
8001144,0.14041489362716675
8001145,0.10553250461816788
8001146,0.10572830587625504
8001147,0.12479499727487564
8001148,0.13740502297878265
8001149,0.14914166927337646
8001150,0.07908101379871368
8001151,0.08432387560606003
8001152,0.13293851912021637
8001153,0.09717647731304169
8001154,0.0748063400387764
8001155,0.13346980512142181
8001156,0.10061019659042358
8001157,0.10018949210643768
8001158,0.07489165663719177
8001159,0.16350987553596497
8001160,0.1168721467256546
8001161,0.06693559885025024
8001162,0.21876077353954315
8001163,0.10792073607444763
8001164,0.10034738481044769
8001165,0.1668720841407776
8001166,0.06697138398885727
8001167,0.09148287773132324
8001168,0.07270984351634979
8001169,0.13343144953250885
8001170,0.17006923258304596
8001171,0.11633889377117157
8001172,0.12565119564533234
8001173,0.18901485204696655
8001174,0.0665425956249237
8001175,0.19631007313728333
8001176,0.06757550686597824
8001177,0.17889857292175293
8001178,0.11659568548202515
8001179,0.09638921916484833
8001180,0.1414344608783722
8001181,0.06837858259677887
8001182,0.0729074776172638
8001183,0.23350714147090912
8001184,0.0760432779788971
8001185,0.1297929286956787
8001186,0.07387282699346542
8001187,0.16985058784484863
8001188,0.10391674935817719
8001189,0.12751759588718414
8001190,0.18312853574752808
8001191,0.1317465901374817
8001192,0.0354740247130394
8001193,0.1322489082813263
8001194,0.16412800550460815
8001195,0.1732250601053238
8001196,0.3012930452823639
8001197,0.0951162576675415
8001198,0.11252427101135254
8001199,0.1252087652683258
8001200,0.10961281508207321
8001201,0.045175500214099884
8001202,0.10862162709236145
8001203,0.1362355798482895
8001204,0.07672306150197983
8001205,0.08068602532148361
8001206,0.10432642698287964
8001207,0.17391467094421387
8001208,0.11426302045583725
8001209,0.23766277730464935
8001210,0.11251579970121384
8003103,0.09439912438392639
8003104,0.137485533952713
8003105,0.1785997450351715
8003106,0.14639496803283691
8003107,0.10451995581388474
8003108,0.09270119667053223
8003109,0.09221269935369492
8003110,0.0847296267747879
8003111,0.2111051380634308
8003112,0.18547914922237396
8003113,0.1423332691192627
8003114,0.16209135949611664
8003115,0.12494736909866333
8003116,0.13619661331176758
8003117,0.0897912010550499
8003118,0.15023137629032135
8003119,0.15648454427719116
8003120,0.11901607364416122
8003121,0.16046978533267975
8003122,0.10555168241262436
8003123,0.11783973127603531
8003124,0.1459680199623108
8003125,0.21373099088668823
8003126,0.06411508470773697
8003127,0.10743612796068192
8003128,0.1504838615655899
8003129,0.10826412588357925
8003130,0.13453301787376404
8003131,0.18446139991283417
8003132,0.059684429317712784
8003133,0.17833846807479858
8003134,0.14049559831619263
8003135,0.10402071475982666
8003136,0.13547386229038239
8003137,0.11502151936292648
8003138,0.2788010835647583
8003139,0.07981720566749573
8003140,0.12397310137748718
8003141,0.1816333532333374
8003142,0.23751422762870789
8003143,0.09190839529037476
8003144,0.20477718114852905
8003145,0.07298841327428818
8003146,0.12041181325912476
8003147,0.19959694147109985
8003148,0.14304809272289276
8003149,0.10568711906671524
8003150,0.11810324341058731
8003151,0.106704480946064
8003152,0.12412501126527786
8003153,0.13499659299850464
8003154,0.06774396449327469
8003155,0.14162304997444153
8003156,0.12917868793010712
8003157,0.1556476205587387
8003158,0.20801499485969543
8003159,0.1901978701353073
8003160,0.07260115444660187
8003161,0.1221085712313652
8003162,0.1353406012058258
8003163,0.2475520819425583
8003164,0.13027718663215637
8003165,0.13139492273330688
8003166,0.06669116765260696
8003167,0.08142708241939545
8003168,0.1467992663383484
8003169,0.13392186164855957
8003170,0.22076565027236938
8003171,0.06011968478560448
8003172,0.2156515121459961
8003173,0.07091522961854935
8003174,0.1360187828540802
8003175,0.08133713901042938
8003176,0.1611112803220749
8003177,0.14594437181949615
8003178,0.18915553390979767
8003179,0.07354363054037094
8003180,0.13935813307762146
8003181,0.20444217324256897
8003182,0.0878572165966034
8003183,0.0851193368434906
8003184,0.13789403438568115
8003185,0.1573324352502823
8003186,0.16779112815856934
8003187,0.15846237540245056
8003188,0.10618604719638824
8003189,0.1571260690689087
8003190,0.07798637449741364
8003191,0.13658703863620758
8003192,0.07256954163312912
8003193,0.053661447018384933
8003194,0.203579843044281
8003195,0.0649544894695282
8003196,0.08740971982479095
8003197,0.10928887873888016
8003198,0.17799824476242065
8003199,0.0926385223865509
8003200,0.12792114913463593
8003201,0.08566632866859436
8003202,0.07678811252117157
8003203,0.11503076553344727
8003204,0.15153026580810547
8003205,0.1330450177192688
8003206,0.10436733812093735
8003207,0.07368790358304977
8003208,0.15993183851242065
8003209,0.11761912703514099
