no,default_12month
8000320,0.250838965177536
8000392,0.07967770844697952
8000393,0.09539001435041428
8000394,0.10716076195240021
8000395,0.09576353430747986
8000396,0.11002632975578308
8000397,0.2087210714817047
8000398,0.10403279960155487
8000399,0.08455698937177658
8000400,0.07574097812175751
8000401,0.07786726951599121
8000402,0.10362832248210907
8000403,0.1176653802394867
8000404,0.06700027734041214
8000405,0.1132529079914093
8000406,0.06194962188601494
8000407,0.06878715753555298
8000408,0.09593300521373749
8000409,0.17489103972911835
8000410,0.05202944576740265
8000411,0.12289592623710632
8000412,0.10481387376785278
8000413,0.13814538717269897
8000414,0.1903189867734909
8000415,0.07056644558906555
8000416,0.13138441741466522
8000417,0.13740843534469604
8000418,0.07596097141504288
8000419,0.11456648260354996
8000420,0.09352079033851624
8000421,0.10628656297922134
8000422,0.21261432766914368
8000423,0.15576735138893127
8000424,0.0974523276090622
8000425,0.11778967827558517
8000426,0.12299370765686035
8000427,0.11261237412691116
8000428,0.09705966711044312
8000429,0.047136664390563965
8000430,0.10419786721467972
8000431,0.09703031927347183
8000432,0.12903378903865814
8000433,0.08074033260345459
8000434,0.14080984890460968
8000435,0.053744424134492874
8000436,0.19195222854614258
8000437,0.10209247469902039
8000438,0.09979680925607681
8000439,0.14187858998775482
8000440,0.1601768136024475
8000441,0.04880248010158539
8000442,0.10851507633924484
8000443,0.08493991196155548
8000444,0.13148516416549683
8000445,0.13262656331062317
8000446,0.0925968587398529
8000447,0.12134277820587158
8000448,0.10583091527223587
8000449,0.11039363592863083
8000450,0.2514733672142029
8000451,0.10551908612251282
8000452,0.04187458008527756
8000453,0.10893015563488007
8000454,0.0689791589975357
8000455,0.15227079391479492
8000456,0.20047491788864136
8000457,0.10219862312078476
8000458,0.1076759621500969
8000459,0.1270652413368225
8000460,0.05006253346800804
8000461,0.0824943259358406
8000462,0.05078362300992012
8000463,0.06757545471191406
8000464,0.1728314608335495
8000465,0.09040950238704681
8000466,0.07603249698877335
8000467,0.056509532034397125
8000468,0.19319996237754822
8000469,0.22720348834991455
8000470,0.0694771260023117
8000471,0.12026830017566681
8000472,0.11345328390598297
8000473,0.13973256945610046
8000474,0.06340332329273224
8000475,0.25115343928337097
8000476,0.09745603799819946
8000477,0.1164160743355751
