no,default_12month
8000320,0.21994495391845703
8000392,0.08586521446704865
8000393,0.11405695974826813
8000394,0.10966309905052185
8000395,0.10281531512737274
8000396,0.10661435127258301
8000397,0.19181127846240997
8000398,0.11319741606712341
8000399,0.09887900203466415
8000400,0.08930745720863342
8000401,0.0837414562702179
8000402,0.11438043415546417
8000403,0.13107992708683014
8000404,0.07526203989982605
8000405,0.11463325470685959
8000406,0.06641483306884766
8000407,0.08005645871162415
8000408,0.10154098272323608
8000409,0.2023313045501709
8000410,0.056962430477142334
8000411,0.12952028214931488
8000412,0.12698641419410706
8000413,0.1424526572227478
8000414,0.1745549440383911
8000415,0.07637624442577362
8000416,0.14319582283496857
8000417,0.15112462639808655
8000418,0.07512152940034866
8000419,0.12374873459339142
8000420,0.10186056792736053
8000421,0.12230995297431946
8000422,0.2137453556060791
8000423,0.15440356731414795
8000424,0.1001497134566307
8000425,0.12017253786325455
8000426,0.1514427363872528
8000427,0.11729129403829575
8000428,0.1018357202410698
8000429,0.050320979207754135
8000430,0.11857259273529053
8000431,0.10096663236618042
8000432,0.13154050707817078
8000433,0.08970729261636734
8000434,0.14375804364681244
8000435,0.0732426866889
8000436,0.165699765086174
8000437,0.10257428884506226
8000438,0.11182984709739685
8000439,0.12006241083145142
8000440,0.1748429387807846
8000441,0.054691437631845474
8000442,0.1170225515961647
8000443,0.07825810462236404
8000444,0.13875727355480194
8000445,0.14823439717292786
8000446,0.10612916201353073
8000447,0.12678162753582
8000448,0.09834735840559006
8000449,0.12259980291128159
8000450,0.24540185928344727
8000451,0.10192085802555084
8000452,0.06450450420379639
8000453,0.13093549013137817
8000454,0.08276089280843735
8000455,0.1625785380601883
8000456,0.19850724935531616
8000457,0.12338422983884811
8000458,0.1226833388209343
8000459,0.13625463843345642
8000460,0.06990686058998108
8000461,0.09016656130552292
8000462,0.06526529043912888
8000463,0.0738605186343193
8000464,0.1518944352865219
8000465,0.10595954954624176
8000466,0.07873980700969696
8000467,0.07253863662481308
8000468,0.19868862628936768
8000469,0.18194015324115753
8000470,0.07808593660593033
8000471,0.1360592395067215
8000472,0.11121590435504913
8000473,0.14199306070804596
8000474,0.08225982636213303
8000475,0.261894553899765
8000476,0.105533666908741
8000477,0.11911741644144058
8000478,0.059904586523771286
8000479,0.08627989888191223
8000480,0.1520725041627884
8000481,0.11363385617733002
8000482,0.11059125512838364
8000483,0.16703662276268005
8000484,0.07231414318084717
8000485,0.09831476956605911
8000486,0.12193052470684052
8000487,0.1432286649942398
8000488,0.09564874321222305
8000489,0.25734925270080566
8001126,0.10540636628866196
8001127,0.1883714646100998
8001128,0.13277214765548706
8001129,0.06021787226200104
8001130,0.09136536717414856
8001131,0.2208479642868042
8001132,0.12074001133441925
8001133,0.26329800486564636
8001134,0.06357067078351974
8001135,0.23379267752170563
8001136,0.12690693140029907
8001137,0.11394860595464706
8001138,0.11546110361814499
8001139,0.16975966095924377
8001140,0.12991273403167725
8001141,0.13480854034423828
8001142,0.11316782236099243
8001143,0.12338122725486755
8001144,0.13574522733688354
8001145,0.11635968834161758
8001146,0.10000627487897873
8001147,0.13153767585754395
8001148,0.1152832955121994
8001149,0.15435297787189484
8001150,0.08472123742103577
8001151,0.0795225277543068
8001152,0.13692405819892883
8001153,0.10769378393888474
8001154,0.08618228882551193
8001155,0.1456318348646164
8001156,0.09945911914110184
8001157,0.11897990107536316
8001158,0.08420423418283463
8001159,0.16743220388889313
8001160,0.13269928097724915
8001161,0.08271188288927078
8001162,0.2243080884218216
8001163,0.11071252822875977
8001164,0.12686367332935333
8001165,0.14726559817790985
8001166,0.077103391289711
8001167,0.11033487319946289
8001168,0.08737125992774963
8001169,0.1410379856824875
8001170,0.18142734467983246
8001171,0.1265893131494522
8001172,0.1182829812169075
8001173,0.1804039627313614
8001174,0.0737939327955246
8001175,0.20481367409229279
8001176,0.07633668184280396
8001177,0.18477599322795868
8001178,0.10782834887504578
8001179,0.10381660610437393
8001180,0.16014042496681213
8001181,0.07452617585659027
8001182,0.0738380029797554
8001183,0.22971439361572266
8001184,0.07691409438848495
8001185,0.14040443301200867
8001186,0.08310236036777496
8001187,0.15258371829986572
8001188,0.11845577508211136
8001189,0.13401269912719727
8001190,0.16252224147319794
8001191,0.12166424095630646
8001192,0.06578096747398376
8001193,0.13644258677959442
8001194,0.1761891394853592
8001195,0.14727306365966797
8001196,0.27248963713645935
8001197,0.10458041727542877
8001198,0.11137227714061737
8001199,0.1102258563041687
8001200,0.1345243602991104
8001201,0.058676280081272125
8001202,0.10974058508872986
8001203,0.1389235109090805
8001204,0.08260119706392288
8001205,0.08785907179117203
8001206,0.1165517121553421
8001207,0.1751563996076584
8001208,0.11127105355262756
8001209,0.23605726659297943
8001210,0.10067354142665863
8003103,0.10913559794425964
8003104,0.14227981865406036
8003105,0.19482627511024475
8003106,0.15570944547653198
8003107,0.11509927362203598
8003108,0.09962223470211029
8003109,0.08952104300260544
8003110,0.0875386893749237
8003111,0.23775464296340942
8003112,0.18086354434490204
8003113,0.15095767378807068
8003114,0.1575135737657547
8003115,0.1363387554883957
8003116,0.1400059312582016
8003117,0.11658120900392532
8003118,0.1620752066373825
8003119,0.16690605878829956
8003120,0.11797302216291428
8003121,0.18629291653633118
8003122,0.1023058146238327
8003123,0.11206571757793427
8003124,0.14340966939926147
8003125,0.23441262543201447
8003126,0.047901738435029984
8003127,0.09606999903917313
8003128,0.13924455642700195
8003129,0.11741413921117783
8003130,0.15050755441188812
8003131,0.18949028849601746
8003132,0.06017317622900009
8003133,0.17004519701004028
8003134,0.12452724575996399
8003135,0.10934887826442719
8003136,0.1547427624464035
8003137,0.12098633497953415
8003138,0.30590754747390747
8003139,0.07614943385124207
8003140,0.12624748051166534
8003141,0.17673881351947784
8003142,0.2329540103673935
8003143,0.11057312041521072
8003144,0.19532695412635803
8003145,0.08044936507940292
8003146,0.13017015159130096
8003147,0.18210692703723907
8003148,0.1475203037261963
8003149,0.12074766308069229
8003150,0.11563964933156967
8003151,0.10892954468727112
8003152,0.13100597262382507
8003153,0.1524842232465744
8003154,0.10135356336832047
8003155,0.1684761643409729
8003156,0.1344752460718155
8003157,0.1567690521478653
8003158,0.19138529896736145
8003159,0.20177499949932098
8003160,0.08221208304166794
8003161,0.13337509334087372
8003162,0.14462772011756897
8003163,0.24629226326942444
8003164,0.12373680621385574
8003165,0.13692466914653778
8003166,0.07853604108095169
8003167,0.09601300209760666
8003168,0.15724924206733704
8003169,0.157979816198349
8003170,0.217622771859169
8003171,0.06740568578243256
8003172,0.2102714627981186
8003173,0.08609402179718018
8003174,0.1448342651128769
8003175,0.08696059882640839
8003176,0.17018583416938782
8003177,0.15213227272033691
8003178,0.21686989068984985
8003179,0.07526157051324844
8003180,0.15616074204444885
8003181,0.20464704930782318
8003182,0.08257126808166504
8003183,0.09197965264320374
8003184,0.14771638810634613
8003185,0.1676146537065506
8003186,0.18299268186092377
8003187,0.17159771919250488
8003188,0.10626089572906494
8003189,0.15943112969398499
8003190,0.10879017412662506
8003191,0.13796956837177277
8003192,0.08887575566768646
8003193,0.05683986097574234
8003194,0.22472599148750305
8003195,0.07497240602970123
8003196,0.09248422831296921
8003197,0.11867466568946838
8003198,0.18833713233470917
8003199,0.09178254008293152
8003200,0.1278662532567978
8003201,0.08154727518558502
8003202,0.09132552891969681
8003203,0.10682229697704315
8003204,0.17020100355148315
8003205,0.1394839733839035
8003206,0.09882073849439621
8003207,0.10219129174947739
8003208,0.16564463078975677
8003209,0.11955579370260239
8003210,0.18287675082683563
8003211,0.21995121240615845
8003212,0.22113662958145142
8003213,0.1169586107134819
8003214,0.19546101987361908
8003215,0.1053784191608429
8003216,0.11506988108158112
8003217,0.09298783540725708
8003218,0.24029378592967987
8003219,0.2442697435617447
8003220,0.07410328090190887
8003221,0.09724240750074387
8003222,0.09512172639369965
8003223,0.1542516052722931
8003224,0.19280022382736206
8003225,0.20774582028388977
8003226,0.32068440318107605
8003227,0.15447425842285156
8003228,0.12474681437015533
8003229,0.1022024005651474
8003230,0.15079738199710846
8003231,0.1259075105190277
8003232,0.07955028861761093
8003233,0.1389528065919876
8003234,0.20412862300872803
8003235,0.13892513513565063
8003236,0.0633150264620781
8003237,0.10041675716638565
8003238,0.11875308305025101
8003239,0.13421787321567535
8003240,0.14333701133728027
8003241,0.14768722653388977
8003242,0.17913618683815002
8003243,0.08943303674459457
8003244,0.14654488861560822
8003245,0.11758999526500702
8003246,0.21725352108478546
8003247,0.087469182908535
8003248,0.16641917824745178
8003249,0.16369596123695374
8003250,0.08664029836654663
8003251,0.16895031929016113
8003252,0.06829077750444412
8003253,0.10830888897180557
8003254,0.11859624832868576
8003255,0.0955376848578453
8003256,0.15848727524280548
8003257,0.09536146372556686
8003258,0.23243305087089539
8003259,0.08567547798156738
8003260,0.12473762035369873
8003261,0.1429135501384735
8003262,0.13372604548931122
8003263,0.11255884915590286
8003264,0.09061866998672485
8003265,0.077392578125
8003266,0.14743809401988983
8003267,0.14070595800876617
8003268,0.19069112837314606
8003269,0.22580698132514954
8003270,0.11583801358938217
8003271,0.10438990592956543
8003272,0.144955575466156
8003273,0.15632973611354828
8003274,0.0951978862285614
8003275,0.10724027454853058
8003276,0.16016197204589844
8003277,0.12735557556152344
8003278,0.09140008687973022
8003279,0.1466769576072693
8003280,0.10732131451368332
8003281,0.09897858649492264
8003282,0.1273147165775299
8003283,0.10616160184144974
8003284,0.16902288794517517
8003285,0.12307858467102051
8003286,0.11848418414592743
8003287,0.21242636442184448
8003288,0.21361583471298218
8003289,0.2126137614250183
8003290,0.1442776769399643
8003291,0.13218742609024048
8003292,0.0812012180685997
8003293,0.13559135794639587
8003294,0.16830244660377502
8003295,0.1440725028514862
8003296,0.13290168344974518
8003297,0.08372821658849716
8003298,0.14141106605529785
8003299,0.12910084426403046
8003300,0.14246375858783722
8003301,0.11687207221984863
8003302,0.09923525154590607
8003303,0.08401447534561157
8003304,0.18100106716156006
8003305,0.20951245725154877
8003306,0.2591645121574402
8003307,0.1749439388513565
8003308,0.07549171149730682
8003309,0.17226819694042206
8003310,0.13824692368507385
8003311,0.19432160258293152
8003312,0.11347693204879761
8003313,0.09787280112504959
8003314,0.1660243272781372
8003315,0.11644183099269867
8003316,0.0929330363869667
8003317,0.06323495507240295
8003318,0.2115577608346939
8003319,0.14432893693447113
8003320,0.11895464360713959
8003321,0.14916396141052246
8003322,0.09612039476633072
8003323,0.21240974962711334
8003324,0.1077020987868309
8003325,0.10367599129676819
8003326,0.17571361362934113
8003327,0.07605832815170288
8003328,0.053760018199682236
8003329,0.08410529792308807
8003330,0.07782372087240219
8003331,0.1407243311405182
8003332,0.11775517463684082
8003333,0.1401486098766327
8003334,0.048614904284477234
8003335,0.09863622486591339
8003336,0.17514677345752716
8003337,0.27669835090637207
8003338,0.20845237374305725
8003339,0.10352694988250732
8003340,0.21038761734962463
8003341,0.17660941183567047
8003342,0.13249266147613525
8003343,0.05439849570393562
8003344,0.10024137794971466
8003345,0.17801952362060547
8003346,0.12682655453681946
8003347,0.10447550565004349
8003348,0.14525213837623596
8003349,0.2087162882089615
8003350,0.09589367359876633
8003351,0.11881105601787567
8003352,0.17991825938224792
8003353,0.1609310805797577
8003354,0.1253032386302948
8003355,0.1513412445783615
8003356,0.1167851909995079
8003357,0.17672395706176758
8003358,0.08367957919836044
8003359,0.10639164596796036
8003360,0.1202784925699234
8003361,0.16909128427505493
8003362,0.19609184563159943
8003363,0.07555381953716278
8003364,0.15598590672016144
8003365,0.12659907341003418
8003366,0.06076588109135628
8003367,0.1319291889667511
8003368,0.1012345552444458
8003369,0.07330755889415741
8003370,0.11721117049455643
8003371,0.19437247514724731
8003372,0.09741377085447311
8003373,0.14454355835914612
8003374,0.09901326149702072
8003375,0.20693346858024597
8003376,0.12361133098602295
8003377,0.06805465370416641
8003378,0.13465562462806702
8003379,0.25210458040237427
8003380,0.0804596096277237
8003381,0.0790013000369072
8003382,0.11263912171125412
8003383,0.11937100440263748
8003384,0.2014152705669403
8003385,0.18228858709335327
8003386,0.11222729831933975
8003387,0.11428321152925491
8003388,0.14601591229438782
8003389,0.08394008874893188
8003390,0.09215524792671204
8003623,0.1590680330991745
8003624,0.0692354366183281
8003625,0.09537103772163391
8003626,0.1500389724969864
8003627,0.10011088848114014
8003628,0.09324350208044052
8003629,0.16670118272304535
8003630,0.15883396565914154
8003631,0.13858188688755035
8003632,0.08105356991291046
8003633,0.10247839242219925
8003634,0.19999009370803833
8003635,0.13129134476184845
8003636,0.15000246465206146
8003637,0.07181601971387863
8003638,0.22551316022872925
8003639,0.12567149102687836
8003640,0.26308536529541016
8003641,0.19466158747673035
8003642,0.2054905891418457
8003643,0.15096472203731537
8003644,0.07600435614585876
8003645,0.12695378065109253
8003646,0.14594803750514984
8003647,0.10165651887655258
8003648,0.23479439318180084
8003649,0.1675357222557068
8003650,0.13001291453838348
8003651,0.11408473551273346
8003652,0.1979828029870987
8003653,0.11625409126281738
8003654,0.1193600669503212
8003655,0.21113893389701843
8003656,0.12190018594264984
8003657,0.14223428070545197
8003658,0.10278334468603134
8003659,0.1209125742316246
8003660,0.13018575310707092
8003661,0.08991613239049911
8003662,0.1028955727815628
8003663,0.10727762430906296
8003664,0.21224454045295715
8003665,0.09297362715005875
8003666,0.0850960910320282
8003667,0.1427457630634308
8003668,0.21855029463768005
8003669,0.08266513794660568
8003670,0.12694914638996124
8003671,0.09196120500564575
8003672,0.0651342049241066
8003673,0.09903191775083542
8003674,0.09958896785974503
8003675,0.12451683729887009
8003676,0.19332259893417358
8003677,0.13799124956130981
8003678,0.07636809349060059
8003679,0.13335363566875458
8003680,0.08457339555025101
8003681,0.10650013387203217
8003682,0.10064616799354553
8003683,0.2630217671394348
8003684,0.0781683400273323
8003685,0.08159396052360535
8003686,0.15577223896980286
8003687,0.11033044755458832
8003688,0.1453472524881363
8003689,0.0839855819940567
8003690,0.12112369388341904
8003691,0.12145828455686569
8003692,0.17560358345508575
8003693,0.10650409013032913
8003694,0.08653587102890015
8003695,0.06401674449443817
8003696,0.15349841117858887
8003697,0.08999502658843994
8003698,0.12273485958576202
8003699,0.168803870677948
8003700,0.17676308751106262
8003701,0.12729179859161377
8003702,0.12973178923130035
8003703,0.17908307909965515
8003704,0.2244669497013092
8003705,0.24976544082164764
8003706,0.07735621184110641
8003707,0.12695156037807465
8003708,0.09155143797397614
8003709,0.0958414226770401
8003710,0.11164162307977676
8003711,0.17075137794017792
8003712,0.04903509095311165
8003713,0.16696201264858246
