no,default_12month
8000320,0.21385101974010468
8000392,0.06890100240707397
8000393,0.08893817663192749
8000394,0.10826435685157776
8000395,0.10969927161931992
8000396,0.1077653095126152
8000397,0.22465643286705017
8000398,0.09274820983409882
8000399,0.09703788161277771
8000400,0.07671134173870087
8000401,0.08144979178905487
8000402,0.10201287269592285
8000403,0.11997885257005692
8000404,0.06903088837862015
8000405,0.09808129072189331
8000406,0.054227154701948166
8000407,0.06326523423194885
8000408,0.10462421923875809
8000409,0.1937856376171112
8000410,0.04732359200716019
8000411,0.12654590606689453
8000412,0.12069693952798843
8000413,0.13690638542175293
8000414,0.19245469570159912
8000415,0.059252671897411346
8000416,0.12819898128509521
8000417,0.15761059522628784
8000418,0.06610893458127975
8000419,0.11606968194246292
8000420,0.10030926764011383
8000421,0.10686658322811127
8000422,0.22555500268936157
8000423,0.14615389704704285
8000424,0.08932189643383026
8000425,0.10829922556877136
8000426,0.15079063177108765
8000427,0.12751230597496033
8000428,0.10057713836431503
8000429,0.029467839747667313
8000430,0.096073217689991
8000431,0.08965252339839935
8000432,0.11498115956783295
8000433,0.08199479430913925
8000434,0.13249047100543976
8000435,0.1597840040922165
8000436,0.22187930345535278
8000437,0.09852835536003113
8000438,0.11881758272647858
8000439,0.08674687147140503
8000440,0.14832177758216858
8000441,0.04071545600891113
8000442,0.1024511307477951
8000443,0.07669210433959961
8000444,0.12347155809402466
8000445,0.14301437139511108
8000446,0.08141353726387024
8000447,0.13589134812355042
8000448,0.09094572067260742
8000449,0.10840850323438644
8000450,0.2598392367362976
8000451,0.09003408998250961
8000452,0.0946277603507042
8000453,0.10620147734880447
8000454,0.06245185434818268
8000455,0.12956741452217102
8000456,0.19268754124641418
8000457,0.08786077797412872
8000458,0.11285876482725143
8000459,0.12860924005508423
8000460,0.1187935471534729
8000461,0.09413091838359833
8000462,0.06987205147743225
8000463,0.066042959690094
8000464,0.16795003414154053
8000465,0.07490125298500061
8000466,0.0933791771531105
8000467,0.04241253063082695
8000468,0.18125322461128235
8000469,0.19463138282299042
8000470,0.04576091840863228
8000471,0.12340201437473297
8000472,0.13133524358272552
8000473,0.12833631038665771
8000474,0.14689500629901886
8000475,0.2782362103462219
8000476,0.07342113554477692
8000477,0.1263100802898407
8000478,0.09237897396087646
8000479,0.0550241656601429
8000480,0.16291800141334534
8000481,0.10251223295927048
8000482,0.09752298891544342
8000483,0.15295720100402832
8000484,0.06500929594039917
8000485,0.10183845460414886
8000486,0.12181404232978821
8000487,0.15184780955314636
8000488,0.09516677260398865
8000489,0.23109832406044006
8001126,0.09451853483915329
8001127,0.18465006351470947
8001128,0.11472751945257187
8001129,0.04893225431442261
8001130,0.09990095347166061
8001131,0.25981268286705017
8001132,0.10568298399448395
8001133,0.2522593140602112
8001134,0.09713363647460938
8001135,0.24243159592151642
8001136,0.1567641943693161
8001137,0.09682358801364899
8001138,0.10325773805379868
8001139,0.2084880918264389
8001140,0.11638674885034561
8001141,0.20902076363563538
8001142,0.1137055903673172
8001143,0.1204061284661293
8001144,0.11847496032714844
8001145,0.09776033461093903
8001146,0.08678466826677322
8001147,0.10562746226787567
8001148,0.232541024684906
8001149,0.1732669472694397
8001150,0.07242486625909805
8001151,0.07096512615680695
8001152,0.130361407995224
8001153,0.08040039241313934
8001154,0.08917242288589478
8001155,0.12038560211658478
8001156,0.09491731226444244
8001157,0.09707681834697723
8001158,0.07276582717895508
8001159,0.16300217807292938
8001160,0.10892081260681152
8001161,0.11665327101945877
8001162,0.2053499072790146
8001163,0.10240253061056137
8001164,0.1108849048614502
8001165,0.14697548747062683
8001166,0.06433890759944916
8001167,0.09727631509304047
8001168,0.06544818729162216
8001169,0.13385090231895447
8001170,0.19748184084892273
8001171,0.11478310078382492
8001172,0.10733751952648163
8001173,0.17456619441509247
8001174,0.0625198632478714
8001175,0.18843644857406616
8001176,0.07112959772348404
8001177,0.19576120376586914
8001178,0.10408739000558853
8001179,0.08512488752603531
8001180,0.13848556578159332
8001181,0.05506434664130211
8001182,0.06683878600597382
8001183,0.22015541791915894
8001184,0.059864483773708344
8001185,0.12966693937778473
8001186,0.06883839517831802
8001187,0.13521644473075867
8001188,0.11008762568235397
8001189,0.11623767018318176
8001190,0.21266426146030426
8001191,0.12880106270313263
8001192,0.07996261119842529
8001193,0.1385277807712555
8001194,0.15613022446632385
8001195,0.14230358600616455
8001196,0.30514535307884216
8001197,0.09119069576263428
8001198,0.10617142915725708
8001199,0.11270830780267715
8001200,0.13197733461856842
8001201,0.03674355149269104
8001202,0.09317892044782639
8001203,0.13586071133613586
8001204,0.0894777700304985
8001205,0.10248409956693649
8001206,0.11450625956058502
8001207,0.18563228845596313
8001208,0.10849037766456604
8001209,0.219294473528862
8001210,0.0761699303984642
8003103,0.08546191453933716
8003104,0.11946958303451538
8003105,0.18164312839508057
8003106,0.153683602809906
8003107,0.11193162202835083
8003108,0.07998023182153702
8003109,0.07615574449300766
8003110,0.07431365549564362
8003111,0.2290455549955368
8003112,0.16733302175998688
8003113,0.14817406237125397
8003114,0.16501422226428986
8003115,0.12337091565132141
8003116,0.1372736394405365
8003117,0.09657449275255203
8003118,0.15606573224067688
8003119,0.1600445806980133
8003120,0.11220599710941315
8003121,0.15786771476268768
8003122,0.0850544422864914
8003123,0.08868667483329773
8003124,0.14152927696704865
8003125,0.23560640215873718
8003126,0.04260135069489479
8003127,0.08100636303424835
8003128,0.1452798694372177
8003129,0.10120879113674164
8003130,0.1324423998594284
8003131,0.19178228080272675
8003132,0.03579123318195343
8003133,0.15646587312221527
8003134,0.11492814123630524
8003135,0.10074123740196228
8003136,0.14591340720653534
8003137,0.10798792541027069
8003138,0.29799652099609375
8003139,0.08076804131269455
8003140,0.13077300786972046
8003141,0.18175308406352997
8003142,0.22765640914440155
8003143,0.10873187333345413
8003144,0.18574336171150208
8003145,0.06572596728801727
8003146,0.11499756574630737
8003147,0.16555257141590118
8003148,0.13038598001003265
8003149,0.12385495007038116
8003150,0.10873501002788544
8003151,0.09361496567726135
8003152,0.11077630519866943
8003153,0.1325950026512146
8003154,0.16288511455059052
8003155,0.18887382745742798
8003156,0.11847327649593353
8003157,0.16085322201251984
8003158,0.1813686192035675
8003159,0.19015184044837952
8003160,0.06438326090574265
8003161,0.12107260525226593
8003162,0.15259039402008057
8003163,0.2440437227487564
8003164,0.11051628738641739
8003165,0.1297243982553482
8003166,0.10269278287887573
8003167,0.07956606149673462
8003168,0.16411510109901428
8003169,0.13411621749401093
8003170,0.22169585525989532
8003171,0.0456850491464138
8003172,0.22228074073791504
8003173,0.14767058193683624
8003174,0.12792156636714935
8003175,0.0745197981595993
8003176,0.1721758395433426
8003177,0.1363617479801178
8003178,0.18528878688812256
8003179,0.07356052845716476
8003180,0.14743615686893463
8003181,0.19128625094890594
8003182,0.07483518123626709
8003183,0.11154097318649292
8003184,0.13449007272720337
8003185,0.14429855346679688
8003186,0.18989676237106323
8003187,0.1534843146800995
8003188,0.10721445083618164
8003189,0.1372586488723755
8003190,0.1783013492822647
8003191,0.10268645733594894
8003192,0.13960115611553192
8003193,0.03794477880001068
8003194,0.21181093156337738
8003195,0.0724540501832962
8003196,0.08434025198221207
8003197,0.10721513628959656
8003198,0.1682167649269104
8003199,0.08295772969722748
8003200,0.11067447811365128
8003201,0.07009447365999222
8003202,0.08230652660131454
8003203,0.09759631007909775
8003204,0.15859931707382202
8003205,0.13808393478393555
8003206,0.08377499878406525
8003207,0.1615488976240158
8003208,0.15649154782295227
8003209,0.1133040338754654
8003210,0.18230277299880981
8003211,0.22907409071922302
8003212,0.1971198320388794
8003213,0.11356445401906967
8003214,0.19889913499355316
8003215,0.07944247126579285
8003216,0.11377184838056564
8003217,0.07970771938562393
8003218,0.23144590854644775
8003219,0.2279558628797531
8003220,0.09828324615955353
8003221,0.08653394877910614
8003222,0.1001502051949501
8003223,0.13646945357322693
8003224,0.18731562793254852
8003225,0.21275575459003448
8003226,0.36800357699394226
8003227,0.14196379482746124
8003228,0.1497831791639328
8003229,0.09319967031478882
8003230,0.1420801281929016
8003231,0.1215210035443306
8003232,0.1391340047121048
8003233,0.1509377807378769
8003234,0.17556285858154297
8003235,0.1608332395553589
8003236,0.06408070027828217
8003237,0.12640878558158875
8003238,0.10423899441957474
8003239,0.12166865170001984
8003240,0.17390373349189758
8003241,0.14353060722351074
8003242,0.20729927718639374
8003243,0.07220523804426193
8003244,0.1504359245300293
8003245,0.11403370648622513
8003246,0.2264104187488556
8003247,0.07408437877893448
8003248,0.15103867650032043
8003249,0.1685471087694168
8003250,0.08503031730651855
8003251,0.16741715371608734
8003252,0.09409944713115692
8003253,0.10525920242071152
8003254,0.1259552538394928
8003255,0.08367270976305008
8003256,0.16748662292957306
8003257,0.08862417191267014
8003258,0.2528167963027954
8003259,0.11522568762302399
8003260,0.11196651309728622
8003261,0.11837688088417053
8003262,0.11434324830770493
8003263,0.08190827816724777
8003264,0.08919494599103928
8003265,0.05513088405132294
8003266,0.129019632935524
8003267,0.1335921287536621
8003268,0.18890522420406342
8003269,0.23686018586158752
8003270,0.09201356023550034
8003271,0.0948694720864296
8003272,0.1167377308011055
8003273,0.14867252111434937
8003274,0.08806456625461578
8003275,0.10003969818353653
8003276,0.15679745376110077
8003277,0.11739625781774521
8003278,0.08071831613779068
8003279,0.13059896230697632
8003280,0.08127692341804504
