no,default_12month
8000320,0.38421136140823364
8000392,0.225881889462471
8000393,0.24566468596458435
8000394,0.2473892718553543
8000395,0.23117689788341522
8000396,0.22610433399677277
8000397,0.2994515895843506
8000398,0.23365141451358795
8000399,0.22163556516170502
8000400,0.2193903625011444
8000401,0.22322046756744385
8000402,0.23560020327568054
8000403,0.24988576769828796
8000404,0.2195538431406021
8000405,0.24023984372615814
8000406,0.24774079024791718
8000407,0.2149554044008255
8000408,0.23537059128284454
8000409,0.3268636465072632
8000410,0.30126234889030457
8000411,0.24219682812690735
8000412,0.2431677132844925
8000413,0.2431717962026596
8000414,0.2807992696762085
8000415,0.2141955941915512
8000416,0.2572317123413086
8000417,0.2619194984436035
8000418,0.2143486887216568
8000419,0.24677270650863647
8000420,0.22862136363983154
8000421,0.24134522676467896
8000422,0.33766451478004456
8000423,0.2526342272758484
8000424,0.2274574637413025
8000425,0.24335145950317383
8000426,0.2595970928668976
8000427,0.23431873321533203
8000428,0.22650054097175598
8000429,0.2760636508464813
8000430,0.24101753532886505
8000431,0.22563128173351288
8000432,0.24271874129772186
8000433,0.22588425874710083
8000434,0.2932319939136505
8000435,0.27424269914627075
8000436,0.30381396412849426
8000437,0.2325262874364853
8000438,0.22850683331489563
8000439,0.2743681073188782
8000440,0.2712922692298889
8000441,0.2855895161628723
8000442,0.23745504021644592
8000443,0.21349459886550903
8000444,0.253825306892395
8000445,0.2531422972679138
8000446,0.22702401876449585
8000447,0.24719466269016266
8000448,0.22547444701194763
8000449,0.24381352961063385
8000450,0.38462838530540466
8000451,0.22663584351539612
8000452,0.27315518260002136
8000453,0.24547702074050903
8000454,0.21790234744548798
8000455,0.2816239893436432
8000456,0.3233834207057953
8000457,0.24192582070827484
8000458,0.2459256649017334
8000459,0.24583381414413452
8000460,0.2784780263900757
8000461,0.2220691442489624
8000462,0.2361617237329483
8000463,0.22004292905330658
8000464,0.26284879446029663
8000465,0.234445720911026
8000466,0.21274319291114807
8000467,0.22567787766456604
8000468,0.3265834152698517
8000469,0.3122293949127197
8000470,0.2265394628047943
8000471,0.2439645677804947
8000472,0.23804432153701782
8000473,0.2510020434856415
8000474,0.2380530685186386
8000475,0.3757200241088867
8000476,0.23520627617835999
8000477,0.24775102734565735
8000478,0.2855600118637085
8000479,0.238869309425354
8000480,0.25621163845062256
8000481,0.23767417669296265
8000482,0.22715076804161072
8000483,0.2653964161872864
8000484,0.21363146603107452
8000485,0.2276008576154709
8000486,0.24722325801849365
8000487,0.25204041600227356
8000488,0.2197570502758026
8000489,0.355135440826416
8001126,0.22622886300086975
