no,default_12month
8000320,0.1654135286808014
8000392,0.12030075490474701
8000393,0.10526315867900848
8000394,0.09022556245326996
8000395,0.060150377452373505
8000396,0.15037593245506287
8000397,0.19548872113227844
8000398,0.11278195679187775
8000399,0.10526315867900848
8000400,0.12030075490474701
8000401,0.0827067643404007
8000402,0.09022556245326996
8000403,0.15789473056793213
8000404,0.09774436056613922
8000405,0.060150377452373505
8000406,0.06766917556524277
8000407,0.09022556245326996
8000408,0.05263157933950424
8000409,0.11278195679187775
8000410,0.03759398311376572
8000411,0.03759398311376572
8000412,0.03759398311376572
8000413,0.1654135286808014
8000414,0.18045112490653992
8000415,0.007518797181546688
8000416,0.09774436056613922
8000417,0.07518796622753143
8000418,0.07518796622753143
8000419,0.17293232679367065
8000420,0.10526315867900848
8000421,0.09774436056613922
8000422,0.09774436056613922
8000423,0.17293232679367065
8000424,0.05263157933950424
8000425,0.09022556245326996
8000426,0.15037593245506287
8000427,0.11278195679187775
8000428,0.06766917556524277
8000429,0.06766917556524277
8000430,0.1654135286808014
8000431,0.09022556245326996
8000432,0.12781955301761627
8000433,0.030075188726186752
8000434,0.11278195679187775
8000435,0.05263157933950424
8000436,0.18045112490653992
8000437,0.09022556245326996
8000438,0.12030075490474701
8000439,0.06766917556524277
8000440,0.1654135286808014
8000441,0.030075188726186752
8000442,0.0827067643404007
8000443,0.06766917556524277
8000444,0.1654135286808014
8000445,0.12781955301761627
8000446,0.06766917556524277
8000447,0.09022556245326996
8000448,0.07518796622753143
8000449,0.19548872113227844
8000450,0.18796992301940918
8000451,0.15789473056793213
8000452,0.030075188726186752
8000453,0.11278195679187775
8000454,0.07518796622753143
8000455,0.19548872113227844
8000456,0.2631579041481018
8000457,0.09022556245326996
8000458,0.15789473056793213
8000459,0.15037593245506287
8000460,0.05263157933950424
8000461,0.10526315867900848
8000462,0.0827067643404007
8000463,0.10526315867900848
8000464,0.04511278122663498
8000465,0.25563910603523254
8000466,0.11278195679187775
8000467,0.0827067643404007
8000468,0.15037593245506287
8000469,0.11278195679187775
8000470,0.1428571492433548
8000471,0.0827067643404007
8000472,0.11278195679187775
8000473,0.0827067643404007
8000474,0.02255639061331749
8000475,0.2255639135837555
8000476,0.13533835113048553
8000477,0.07518796622753143
8000478,0.12781955301761627
8000479,0.07518796622753143
8000480,0.09774436056613922
8000481,0.1428571492433548
8000482,0.12030075490474701
8000483,0.15037593245506287
8000484,0.0827067643404007
8000485,0.07518796622753143
8000486,0.09774436056613922
8000487,0.0827067643404007
8000488,0.05263157933950424
8000489,0.1654135286808014
8001126,0.12030075490474701
8001127,0.25563910603523254
8001128,0.12030075490474701
8001129,0.11278195679187775
8001130,0.060150377452373505
8001131,0.13533835113048553
8001132,0.1428571492433548
8001133,0.19548872113227844
8001134,0.03759398311376572
8001135,0.24060150980949402
8001136,0.09774436056613922
8001137,0.15789473056793213
8001138,0.12030075490474701
8001139,0.1428571492433548
8001140,0.15789473056793213
8001141,0.11278195679187775
8001142,0.12030075490474701
8001143,0.12781955301761627
8001144,0.13533835113048553
8001145,0.10526315867900848
8001146,0.07518796622753143
8001147,0.10526315867900848
8001148,0.1654135286808014
8001149,0.07518796622753143
8001150,0.09774436056613922
8001151,0.07518796622753143
8001152,0.12781955301761627
8001153,0.04511278122663498
8001154,0.06766917556524277
8001155,0.09774436056613922
8001156,0.04511278122663498
8001157,0.1654135286808014
8001158,0.09774436056613922
8001159,0.17293232679367065
8001160,0.10526315867900848
8001161,0.1428571492433548
8001162,0.1428571492433548
8001163,0.09774436056613922
8001164,0.10526315867900848
8001165,0.1428571492433548
8001166,0.11278195679187775
8001167,0.1654135286808014
8001168,0.09022556245326996
8001169,0.04511278122663498
8001170,0.17293232679367065
8001171,0.09022556245326996
8001172,0.1654135286808014
8001173,0.17293232679367065
8001174,0.05263157933950424
8001175,0.18045112490653992
8001176,0.09774436056613922
8001177,0.11278195679187775
8001178,0.060150377452373505
8001179,0.10526315867900848
8001180,0.13533835113048553
8001181,0.0827067643404007
8001182,0.12030075490474701
8001183,0.23308271169662476
8001184,0.12030075490474701
8001185,0.15037593245506287
8001186,0.12781955301761627
8001187,0.2255639135837555
8001188,0.06766917556524277
8001189,0.21052631735801697
8001190,0.12781955301761627
8001191,0.10526315867900848
8001192,0.030075188726186752
8001193,0.23308271169662476
8001194,0.12781955301761627
8001195,0.1428571492433548
8001196,0.15037593245506287
8001197,0.15037593245506287
8001198,0.11278195679187775
8001199,0.07518796622753143
8001200,0.09022556245326996
8001201,0.05263157933950424
8001202,0.09022556245326996
8001203,0.06766917556524277
8001204,0.02255639061331749
8001205,0.1428571492433548
8001206,0.05263157933950424
8001207,0.12781955301761627
8001208,0.13533835113048553
8001209,0.19548872113227844
8001210,0.060150377452373505
8003103,0.12781955301761627
8003104,0.27067670226097107
8003105,0.10526315867900848
8003106,0.09774436056613922
8003107,0.09774436056613922
8003108,0.10526315867900848
8003109,0.06766917556524277
8003110,0.05263157933950424
8003111,0.21804511547088623
8003112,0.04511278122663498
8003113,0.13533835113048553
8003114,0.09022556245326996
8003115,0.18045112490653992
8003116,0.1428571492433548
