no,default_12month
8000320,0.17880794405937195
8000392,0.09933774918317795
8000393,0.125827819108963
8000394,0.09271523356437683
8000395,0.11258278042078018
8000396,0.0794702023267746
8000397,0.20529800653457642
8000398,0.13245032727718353
8000399,0.13907285034656525
8000400,0.1192052960395813
8000401,0.013245033100247383
8000402,0.07284767925739288
8000403,0.21192052960395813
8000404,0.125827819108963
8000405,0.08609271794557571
8000406,0.046357616782188416
8000407,0.0794702023267746
8000408,0.07284767925739288
8000409,0.09933774918317795
8000410,0.06622516363859177
8000411,0.07284767925739288
8000412,0.08609271794557571
8000413,0.09271523356437683
8000414,0.17880794405937195
8000415,0.03311258181929588
8000416,0.09271523356437683
8000417,0.13907285034656525
8000418,0.05298013240098953
8000419,0.13245032727718353
8000420,0.09933774918317795
8000421,0.14569535851478577
8000422,0.125827819108963
8000423,0.11258278042078018
8000424,0.046357616782188416
8000425,0.11258278042078018
8000426,0.11258278042078018
8000427,0.09933774918317795
8000428,0.026490066200494766
8000429,0.05960264801979065
8000430,0.17218543589115143
8000431,0.11258278042078018
8000432,0.1589404046535492
8000433,0.0794702023267746
8000434,0.15231788158416748
8000435,0.06622516363859177
8000436,0.10596026480197906
8000437,0.046357616782188416
8000438,0.07284767925739288
8000439,0.13245032727718353
8000440,0.14569535851478577
8000441,0.046357616782188416
8000442,0.10596026480197906
8000443,0.046357616782188416
8000444,0.13907285034656525
8000445,0.06622516363859177
8000446,0.026490066200494766
8000447,0.125827819108963
8000448,0.10596026480197906
8000449,0.07284767925739288
8000450,0.20529800653457642
8000451,0.05960264801979065
8000452,0.013245033100247383
8000453,0.13907285034656525
8000454,0.1589404046535492
8000455,0.15231788158416748
8000456,0.25827813148498535
8000457,0.11258278042078018
8000458,0.1589404046535492
8000459,0.1589404046535492
8000460,0.0794702023267746
8000461,0.08609271794557571
8000462,0.09933774918317795
8000463,0.046357616782188416
8000464,0.08609271794557571
8000465,0.23178808391094208
8000466,0.07284767925739288
8000467,0.0397351011633873
8000468,0.1986754983663559
8000469,0.08609271794557571
8000470,0.1192052960395813
8000471,0.09271523356437683
8000472,0.1192052960395813
8000473,0.11258278042078018
8000474,0.0397351011633873
8000475,0.16556291282176971
8000476,0.14569535851478577
8000477,0.05960264801979065
8000478,0.046357616782188416
8000479,0.0794702023267746
8000480,0.08609271794557571
8000481,0.0794702023267746
8000482,0.10596026480197906
8000483,0.11258278042078018
8000484,0.07284767925739288
8000485,0.07284767925739288
8000486,0.08609271794557571
8000487,0.08609271794557571
8000488,0.07284767925739288
8000489,0.20529800653457642
8001126,0.05960264801979065
8001127,0.3112582862377167
8001128,0.21192052960395813
8001129,0.09271523356437683
8001130,0.06622516363859177
8001131,0.11258278042078018
8001132,0.10596026480197906
8001133,0.13245032727718353
8001134,0.01986755058169365
8001135,0.2715231776237488
8001136,0.09933774918317795
8001137,0.10596026480197906
8001138,0.13245032727718353
8001139,0.1192052960395813
8001140,0.19205297529697418
8001141,0.19205297529697418
8001142,0.10596026480197906
8001143,0.09271523356437683
8001144,0.05960264801979065
8001145,0.14569535851478577
8001146,0.06622516363859177
8001147,0.09933774918317795
8001148,0.09271523356437683
8001149,0.08609271794557571
8001150,0.125827819108963
8001151,0.09271523356437683
8001152,0.09933774918317795
8001153,0.09271523356437683
8001154,0.026490066200494766
8001155,0.13245032727718353
8001156,0.13245032727718353
8001157,0.1192052960395813
8001158,0.09271523356437683
8001159,0.09933774918317795
8001160,0.15231788158416748
8001161,0.16556291282176971
8001162,0.1986754983663559
8001163,0.13245032727718353
8001164,0.13907285034656525
8001165,0.10596026480197906
8001166,0.08609271794557571
8001167,0.14569535851478577
8001168,0.09271523356437683
8001169,0.125827819108963
8001170,0.09271523356437683
8001171,0.13245032727718353
8001172,0.1589404046535492
