no,default_12month
8000320,0.3786953091621399
8000392,0.0
8000393,0.0
8000394,0.0
8000395,0.0
8000396,0.0
8000397,0.19508105516433716
8000398,0.0
8000399,0.22623340785503387
8000400,0.0
8000401,0.0
8000402,0.0
8000403,0.12152598053216934
8000404,0.1273670345544815
8000405,0.16192400455474854
8000406,0.4562338590621948
8000407,0.21350011229515076
8000408,0.0
8000409,0.24159245193004608
8000410,0.0
8000411,0.21416237950325012
8000412,0.0
8000413,0.15166233479976654
8000414,0.0
8000415,0.0
8000416,0.0
8000417,0.0
8000418,0.0
8000419,0.0
8000420,0.0
8000421,0.1915617138147354
8000422,0.0
8000423,0.0
8000424,0.23849131166934967
8000425,0.44060784578323364
8000426,0.0
8000427,0.0
8000428,0.0
8000429,0.0
8000430,0.18242114782333374
8000431,0.22812777757644653
8000432,0.20332562923431396
8000433,0.0
8000434,0.34885749220848083
8000435,0.0
8000436,0.18359588086605072
8000437,0.16000881791114807
8000438,0.37862053513526917
8000439,0.1651681363582611
8000440,0.0
8000441,0.0
8000442,0.16669519245624542
8000443,0.0
8000444,0.0
8000445,0.1926659643650055
8000446,0.0
8000447,0.22266948223114014
8000448,0.17874078452587128
8000449,0.0
8000450,0.2069358229637146
8000451,0.0
8000452,0.0
8000453,0.0
8000454,0.25216609239578247
8000455,0.0
8000456,0.5169012546539307
8000457,0.0
8000458,0.0
8000459,0.0
8000460,0.0
8000461,0.0
8000462,0.20050865411758423
8000463,0.0
8000464,0.0
8000465,0.0
8000466,0.0
8000467,0.0
8000468,0.4208912253379822
8000469,0.5936029553413391
8000470,0.0
8000471,0.0
8000472,0.0
8000473,0.45829740166664124
8000474,0.0
8000475,0.0
8000476,0.0
8000477,0.21624332666397095
8000478,0.0
8000479,0.13880421221256256
8000480,0.4226756691932678
8000481,0.24607594311237335
8000482,0.22340819239616394
8000483,0.27102386951446533
8000484,0.22535602748394012
8000485,0.0
8000486,0.20191335678100586
8000487,0.4415075182914734
8000488,0.2633589506149292
8000489,0.0
8001126,0.20292562246322632
8001127,0.0
8001128,0.1563587635755539
8001129,0.0
8001130,0.0
8001131,0.33418503403663635
8001132,0.0
8001133,0.18643780052661896
8001134,0.0
8001135,0.23557773232460022
8001136,0.15250332653522491
8001137,0.0
8001138,0.16404952108860016
8001139,0.42338642477989197
8001140,0.0
8001141,0.139581561088562
8001142,0.24534417688846588
8001143,0.0
8001144,0.0
8001145,0.2519724667072296
8001146,0.0
8001147,0.0
8001148,0.28540876507759094
8001149,0.0
8001150,0.0
8001151,0.0
8001152,0.0
8001153,0.11125802248716354
8001154,0.0
8001155,0.0
8001156,0.0
8001157,0.0
8001158,0.0
8001159,0.27844804525375366
8001160,0.1943449079990387
8001161,0.22624178230762482
8001162,0.0
8001163,0.35201966762542725
8001164,0.0
8001165,0.40514007210731506
8001166,0.0
8001167,0.0
8001168,0.0
8001169,0.0
8001170,0.0
8001171,0.1782972812652588
8001172,0.0
8001173,0.16545607149600983
8001174,0.0
8001175,0.0
8001176,0.0
8001177,0.18306834995746613
8001178,0.158208429813385
8001179,0.1643809825181961
8001180,0.0
8001181,0.0
8001182,0.1779029369354248
8001183,0.0
8001184,0.23672591149806976
8001185,0.6547836065292358
8001186,0.0
8001187,0.21524426341056824
8001188,0.4882936477661133
8001189,0.0
8001190,0.0
8001191,0.53745436668396
8001192,0.0
8001193,0.0
8001194,0.0
8001195,0.18675430119037628
8001196,0.0
8001197,0.0
8001198,0.0
8001199,0.0
8001200,0.1771751493215561
8001201,0.0
8001202,0.1867230087518692
8001203,0.0
8001204,0.1641356647014618
8001205,0.0
8001206,0.11235139518976212
8001207,0.0
8001208,0.0
8001209,0.0
8001210,0.0
8003103,0.0
8003104,0.0
