no,default_12month
8000320,0.4000000059604645
8000392,0.0
8000393,0.0
8000394,0.0
8000395,0.0
8000396,0.0
8000397,0.20000000298023224
8000398,0.0
8000399,0.20000000298023224
8000400,0.0
8000401,0.0
8000402,0.0
8000403,0.20000000298023224
8000404,0.20000000298023224
8000405,0.20000000298023224
8000406,0.4000000059604645
8000407,0.20000000298023224
8000408,0.0
8000409,0.20000000298023224
8000410,0.0
8000411,0.20000000298023224
8000412,0.0
8000413,0.20000000298023224
8000414,0.0
8000415,0.0
8000416,0.0
8000417,0.0
8000418,0.0
8000419,0.0
8000420,0.0
8000421,0.20000000298023224
8000422,0.0
8000423,0.0
8000424,0.20000000298023224
8000425,0.4000000059604645
8000426,0.0
8000427,0.0
8000428,0.0
8000429,0.0
8000430,0.20000000298023224
8000431,0.20000000298023224
8000432,0.20000000298023224
8000433,0.0
8000434,0.4000000059604645
8000435,0.0
8000436,0.20000000298023224
8000437,0.20000000298023224
8000438,0.4000000059604645
8000439,0.20000000298023224
8000440,0.0
8000441,0.0
8000442,0.20000000298023224
8000443,0.0
8000444,0.0
8000445,0.20000000298023224
8000446,0.0
8000447,0.20000000298023224
8000448,0.20000000298023224
8000449,0.0
8000450,0.20000000298023224
8000451,0.0
8000452,0.0
8000453,0.0
8000454,0.20000000298023224
8000455,0.0
8000456,0.4000000059604645
8000457,0.0
8000458,0.0
8000459,0.0
8000460,0.0
8000461,0.0
8000462,0.20000000298023224
8000463,0.0
8000464,0.0
8000465,0.0
8000466,0.0
8000467,0.0
8000468,0.4000000059604645
8000469,0.6000000238418579
8000470,0.0
8000471,0.0
8000472,0.0
8000473,0.4000000059604645
8000474,0.0
8000475,0.0
8000476,0.0
8000477,0.20000000298023224
8000478,0.0
8000479,0.20000000298023224
8000480,0.4000000059604645
8000481,0.4000000059604645
8000482,0.20000000298023224
8000483,0.20000000298023224
8000484,0.20000000298023224
8000485,0.0
8000486,0.20000000298023224
8000487,0.4000000059604645
8000488,0.20000000298023224
8000489,0.0
8001126,0.20000000298023224
