no,default_12month
8000320,0.2053918093442917
8000392,0.08342014253139496
8000393,0.1288725733757019
8000394,0.10798119008541107
8000395,0.08984524756669998
8000396,0.10029524564743042
8000397,0.23000501096248627
8000398,0.09890137612819672
8000399,0.0965653583407402
8000400,0.09374713897705078
8000401,0.08413657546043396
8000402,0.11124047636985779
8000403,0.13492710888385773
8000404,0.06385747343301773
8000405,0.11380336433649063
8000406,0.06289362162351608
8000407,0.09502199292182922
8000408,0.12251347303390503
8000409,0.1598488986492157
8000410,0.09655265510082245
8000411,0.13414514064788818
8000412,0.10412386804819107
8000413,0.15777510404586792
8000414,0.16471271216869354
8000415,0.07194182276725769
8000416,0.11976028233766556
8000417,0.14801613986492157
8000418,0.08324301242828369
8000419,0.10832393169403076
8000420,0.10323508083820343
8000421,0.1301121860742569
8000422,0.19429397583007812
8000423,0.15570895373821259
8000424,0.09167946130037308
8000425,0.1143004298210144
8000426,0.14492052793502808
8000427,0.13773518800735474
8000428,0.1022607684135437
8000429,0.0690019354224205
8000430,0.1048734188079834
8000431,0.09741242974996567
8000432,0.14755597710609436
8000433,0.08060067892074585
8000434,0.12445423007011414
8000435,0.07215046137571335
8000436,0.21121451258659363
8000437,0.10117150098085403
8000438,0.10467934608459473
8000439,0.13247372210025787
8000440,0.1721712350845337
8000441,0.05837005749344826
8000442,0.10754786431789398
8000443,0.07889218628406525
8000444,0.11075093597173691
8000445,0.13098520040512085
8000446,0.08920682221651077
8000447,0.12151788175106049
8000448,0.09416526556015015
8000449,0.11259840428829193
8000450,0.22330357134342194
8000451,0.10308361798524857
8000452,0.07064180076122284
8000453,0.11283300071954727
8000454,0.07814635336399078
8000455,0.12200821191072464
8000456,0.1884690374135971
8000457,0.10446865856647491
8000458,0.11226386576890945
8000459,0.14117150008678436
8000460,0.07007104158401489
8000461,0.09312842041254044
8000462,0.07168199121952057
8000463,0.0690685361623764
8000464,0.1601601243019104
8000465,0.09893283993005753
8000466,0.09519898891448975
8000467,0.07088235020637512
8000468,0.15462270379066467
8000469,0.20962920784950256
8000470,0.06352512538433075
8000471,0.15941715240478516
8000472,0.10305065661668777
8000473,0.12078774720430374
8000474,0.08459170907735825
8000475,0.2591205835342407
8000476,0.10683763027191162
8000477,0.1185743659734726
8000478,0.05858149752020836
8000479,0.08262426406145096
8000480,0.12819834053516388
