no,default_12month
8000320,0.1864757090806961
8000392,0.07293929159641266
8000393,0.10717557370662689
8000394,0.10686558485031128
8000395,0.09045499563217163
8000396,0.10952553153038025
8000397,0.17501886188983917
8000398,0.10496701300144196
8000399,0.09301259368658066
8000400,0.07479783147573471
8000401,0.06543098390102386
8000402,0.10000351071357727
8000403,0.1074148416519165
8000404,0.05455993488430977
8000405,0.10600423067808151
8000406,0.059314433485269547
8000407,0.062065497040748596
8000408,0.07465347647666931
8000409,0.16085945069789886
8000410,0.03569465130567551
8000411,0.11199216544628143
8000412,0.12342914938926697
8000413,0.13561730086803436
8000414,0.1410384178161621
8000415,0.0726921409368515
8000416,0.13084815442562103
8000417,0.14862759411334991
8000418,0.0664474368095398
8000419,0.10648491978645325
8000420,0.07716445624828339
8000421,0.11023633182048798
8000422,0.1993897408246994
8000423,0.13303977251052856
8000424,0.08553632348775864
8000425,0.09403371810913086
8000426,0.15337207913398743
8000427,0.09060201793909073
8000428,0.09616591781377792
8000429,0.034741852432489395
8000430,0.09970291703939438
8000431,0.09406920522451401
8000432,0.12616519629955292
8000433,0.07514161616563797
8000434,0.12153149396181107
8000435,0.041726235300302505
8000436,0.1403988152742386
8000437,0.09000926464796066
8000438,0.0784321129322052
8000439,0.09050212800502777
8000440,0.17975887656211853
8000441,0.04119434952735901
8000442,0.11193006485700607
8000443,0.07424652576446533
8000444,0.11436013132333755
8000445,0.13941368460655212
8000446,0.09002705663442612
8000447,0.10866798460483551
8000448,0.0785331055521965
8000449,0.10892412811517715
8000450,0.21773980557918549
8000451,0.08400849997997284
8000452,0.03604479134082794
8000453,0.12015911936759949
8000454,0.0713043287396431
8000455,0.13050445914268494
8000456,0.20420104265213013
8000457,0.10304160416126251
8000458,0.10737293213605881
8000459,0.11874157190322876
8000460,0.03676566109061241
8000461,0.07012605667114258
8000462,0.04323672503232956
8000463,0.056607235223054886
8000464,0.1475582718849182
8000465,0.11196354776620865
8000466,0.06369434297084808
8000467,0.055203504860401154
8000468,0.1513502299785614
8000469,0.16781000792980194
8000470,0.06324325501918793
8000471,0.12176931649446487
8000472,0.1012597382068634
8000473,0.13911792635917664
8000474,0.04660671949386597
8000475,0.2814236283302307
8000476,0.09721866995096207
8000477,0.10833362489938736
8000478,0.029959751293063164
8000479,0.05497928336262703
8000480,0.1381189227104187
8000481,0.0992298424243927
8000482,0.10003230720758438
8000483,0.16086021065711975
8000484,0.06929246336221695
8000485,0.07921463996171951
8000486,0.11902870237827301
8000487,0.1244625523686409
8000488,0.07970704883337021
8000489,0.2431408315896988
8001126,0.0888000875711441
8001127,0.19182440638542175
8001128,0.12943649291992188
8001129,0.04693130776286125
8001130,0.0828734040260315
8001131,0.18514852225780487
8001132,0.11753596365451813
8001133,0.25007569789886475
8001134,0.041741229593753815
8001135,0.18447284400463104
8001136,0.12104968726634979
8001137,0.11513679474592209
8001138,0.10906428843736649
8001139,0.16570483148097992
8001140,0.10667248070240021
8001141,0.115457683801651
8001142,0.09797053784132004
8001143,0.09807628393173218
8001144,0.11792131513357162
8001145,0.10654860734939575
8001146,0.08542720973491669
8001147,0.10636553168296814
8001148,0.06450489163398743
8001149,0.13693486154079437
8001150,0.06503366678953171
8001151,0.06558755040168762
