no,default_12month
8000320,0.2237323373556137
8000392,0.07958944886922836
8000393,0.13593263924121857
8000394,0.1078878715634346
8000395,0.09993159025907516
8000396,0.11394049227237701
8000397,0.2260790765285492
8000398,0.08985401690006256
8000399,0.0940689742565155
8000400,0.08551391214132309
8000401,0.09793113172054291
8000402,0.10749047249555588
8000403,0.12467893958091736
8000404,0.06713613867759705
8000405,0.11192206293344498
8000406,0.06568390876054764
8000407,0.07898273319005966
8000408,0.09958811104297638
8000409,0.17897261679172516
8000410,0.04911325126886368
8000411,0.12681978940963745
8000412,0.10723838955163956
8000413,0.13547283411026
8000414,0.17237284779548645
8000415,0.07086934894323349
8000416,0.1413547247648239
8000417,0.14065301418304443
8000418,0.07829850167036057
8000419,0.11107415705919266
8000420,0.09330444037914276
8000421,0.119619220495224
8000422,0.20558443665504456
8000423,0.14211955666542053
8000424,0.09005722403526306
8000425,0.10889062285423279
8000426,0.14381974935531616
8000427,0.12697762250900269
8000428,0.10059472173452377
8000429,0.05494097247719765
8000430,0.10551264882087708
8000431,0.10117804259061813
8000432,0.11950211971998215
8000433,0.07870098203420639
8000434,0.14471036195755005
8000435,0.05292723327875137
8000436,0.16275715827941895
8000437,0.10665135830640793
8000438,0.0997915118932724
8000439,0.12787064909934998
8000440,0.15265047550201416
8000441,0.05010579898953438
8000442,0.09612266719341278
8000443,0.08546093106269836
8000444,0.1198757141828537
8000445,0.13644325733184814
8000446,0.09849748760461807
8000447,0.12251842767000198
8000448,0.09934765845537186
8000449,0.12230697274208069
8000450,0.2297767847776413
8000451,0.1099022924900055
8000452,0.03869041055440903
8000453,0.0989718958735466
8000454,0.0787196159362793
8000455,0.1235373467206955
8000456,0.19173987209796906
8000457,0.104240283370018
8000458,0.095077283680439
8000459,0.13642671704292297
8000460,0.04401108995079994
8000461,0.08779942244291306
8000462,0.05557841435074806
8000463,0.06479223817586899
8000464,0.16036535799503326
8000465,0.0962134301662445
8000466,0.06218251585960388
8000467,0.06156845763325691
8000468,0.18973934650421143
8000469,0.19456563889980316
8000470,0.06371667236089706
8000471,0.1251925379037857
8000472,0.1124526709318161
8000473,0.14018867909908295
8000474,0.06688330322504044
8000475,0.2777141034603119
8000476,0.10625261813402176
8000477,0.12072763592004776
8000478,0.034634463489055634
8000479,0.07163338363170624
8000480,0.14380012452602386
8000481,0.11528503894805908
8000482,0.12120705842971802
8000483,0.1755317747592926
8000484,0.08097697794437408
8000485,0.10431390255689621
8000486,0.11391909420490265
8000487,0.14756560325622559
8000488,0.10363385081291199
8000489,0.26552340388298035
8001126,0.09738675504922867
8001127,0.17760629951953888
8001128,0.12162024527788162
8001129,0.05582490190863609
8001130,0.10545337945222855
8001131,0.2241625189781189
8001132,0.11127620935440063
8001133,0.2837865948677063
8001134,0.04796653240919113
8001135,0.2003903090953827
8001136,0.1233757734298706
8001137,0.10645779222249985
8001138,0.10557060688734055
8001139,0.1796436607837677
8001140,0.11825694888830185
8001141,0.1315809190273285
8001142,0.11947719007730484
8001143,0.11823311448097229
8001144,0.13554231822490692
8001145,0.10981616377830505
8001146,0.10006196796894073
8001147,0.12755240499973297
8001148,0.11275763809680939
8001149,0.1400984525680542
8001150,0.07236237078905106
8001151,0.08279068768024445
8001152,0.12839949131011963
8001153,0.09976698458194733
