no,default_12month
8000320,0.22804325819015503
8000392,0.06086273491382599
8000393,0.16823822259902954
8000394,0.08434878289699554
8000395,0.057619065046310425
8000396,0.10660040378570557
8000397,0.18225575983524323
8000398,0.08477374911308289
8000399,0.09089811891317368
8000400,0.11038060486316681
8000401,0.041201308369636536
8000402,0.1296171098947525
8000403,0.16224223375320435
8000404,0.04784993454813957
8000405,0.08454486727714539
8000406,0.059095315635204315
8000407,0.07317999005317688
8000408,0.07687694579362869
8000409,0.19286783039569855
8000410,0.01785384491086006
8000411,0.09566202014684677
8000412,0.11459533125162125
8000413,0.13357290625572205
8000414,0.11890096217393875
8000415,0.06389141082763672
8000416,0.12973688542842865
8000417,0.1604950875043869
8000418,0.03668500483036041
8000419,0.1016220971941948
8000420,0.08428771793842316
8000421,0.09511405229568481
8000422,0.19811727106571198
8000423,0.1744702160358429
8000424,0.06409121304750443
8000425,0.08848913013935089
8000426,0.16092798113822937
8000427,0.10248225182294846
8000428,0.07443490624427795
8000429,0.034447334706783295
8000430,0.0933341383934021
8000431,0.08078015595674515
8000432,0.11892379075288773
8000433,0.09679971635341644
8000434,0.119020976126194
8000435,0.04693137854337692
8000436,0.11571836471557617
8000437,0.08185169100761414
8000438,0.06948762387037277
8000439,0.08216356486082077
8000440,0.22208955883979797
8000441,0.0267382450401783
8000442,0.07346594333648682
8000443,0.06903624534606934
8000444,0.14438804984092712
8000445,0.14374712109565735
8000446,0.07355216890573502
8000447,0.09872891008853912
8000448,0.10605207085609436
8000449,0.1455060839653015
8000450,0.16660070419311523
8000451,0.0802692249417305
8000452,0.03014344349503517
8000453,0.19202791154384613
8000454,0.1046004369854927
8000455,0.117507204413414
8000456,0.19244177639484406
8000457,0.11928224563598633
8000458,0.12357354909181595
8000459,0.15946273505687714
8000460,0.03157942369580269
8000461,0.05371710658073425
8000462,0.05423036962747574
8000463,0.060243960469961166
8000464,0.11006398499011993
8000465,0.1469406932592392
8000466,0.06148793175816536
8000467,0.04041373357176781
8000468,0.18383687734603882
8000469,0.12186409533023834
8000470,0.08823495358228683
8000471,0.12242001295089722
8000472,0.053045645356178284
8000473,0.1408189833164215
8000474,0.04827744513750076
8000475,0.2195775806903839
8000476,0.08339014649391174
