no,default_12month
8000320,0.2548808157444
8000392,0.040853485465049744
8000393,0.07553684711456299
8000394,0.09490944445133209
8000395,0.06661432236433029
8000396,0.09923218190670013
8000397,0.15010568499565125
8000398,0.10545165091753006
8000399,0.0687040239572525
8000400,0.061973072588443756
8000401,0.0530908964574337
8000402,0.09194415807723999
8000403,0.12937408685684204
8000404,0.03329579159617424
8000405,0.07562188804149628
8000406,0.03495300933718681
8000407,0.052381206303834915
8000408,0.06521899253129959
8000409,0.2573137879371643
8000410,0.01852729171514511
8000411,0.11706036329269409
8000412,0.1152770072221756
8000413,0.13881728053092957
8000414,0.16004125773906708
8000415,0.052732884883880615
8000416,0.11343353986740112
8000417,0.12360716611146927
8000418,0.029353918507695198
8000419,0.10936218500137329
8000420,0.11517166346311569
8000421,0.12724587321281433
8000422,0.20886293053627014
8000423,0.1434568166732788
8000424,0.0518375001847744
8000425,0.09298744052648544
8000426,0.18427687883377075
8000427,0.05455588549375534
8000428,0.09091512858867645
8000429,0.05159807205200195
8000430,0.09091246873140335
8000431,0.07947579771280289
8000432,0.11068456619977951
8000433,0.08399108797311783
8000434,0.10091501474380493
8000435,0.021341469138860703
8000436,0.1379728764295578
8000437,0.08042140305042267
8000438,0.07235826551914215
8000439,0.09000308066606522
8000440,0.14485521614551544
8000441,0.02184174582362175
8000442,0.08020526170730591
8000443,0.06310564279556274
8000444,0.14984601736068726
8000445,0.13148142397403717
8000446,0.09599901735782623
8000447,0.10750579088926315
8000448,0.07360173761844635
8000449,0.12475916743278503
8000450,0.1651553064584732
8000451,0.07177439332008362
8000452,0.020542416721582413
8000453,0.13817496597766876
8000454,0.09081736952066422
8000455,0.145821213722229
8000456,0.1794910728931427
8000457,0.1210135817527771
8000458,0.10979720950126648
8000459,0.13447532057762146
8000460,0.026115139946341515
8000461,0.06820853054523468
8000462,0.04902054741978645
8000463,0.058803483843803406
8000464,0.13818761706352234
8000465,0.12381085008382797
8000466,0.04744352772831917
8000467,0.06864241510629654
8000468,0.18104009330272675
8000469,0.1502096801996231
8000470,0.04605533182621002
8000471,0.10964222252368927
8000472,0.07297203689813614
8000473,0.14783230423927307
8000474,0.046796418726444244
8000475,0.32573068141937256
8000476,0.06601453572511673
8000477,0.08793863654136658
8000478,0.02637794241309166
8000479,0.049672529101371765
8000480,0.1038040742278099
8000481,0.07896694540977478
8000482,0.09116388857364655
8000483,0.1188051775097847
8000484,0.04319603741168976
8000485,0.06562177836894989
8000486,0.08623699843883514
8000487,0.08843463659286499
8000488,0.05032684653997421
8000489,0.20358139276504517
8001126,0.10652653127908707
8001127,0.1508893370628357
8001128,0.13032443821430206
8001129,0.03336617350578308
8001130,0.05708243325352669
8001131,0.18060806393623352
8001132,0.08890195190906525
8001133,0.18267889320850372
8001134,0.024108540266752243
8001135,0.19810469448566437
8001136,0.08143552392721176
8001137,0.07748149335384369
8001138,0.1119813621044159
8001139,0.1398160755634308
8001140,0.07200881838798523
8001141,0.0820734053850174
8001142,0.052040185779333115
8001143,0.08915019035339355
8001144,0.11350085586309433
8001145,0.11407017707824707
8001146,0.1040937751531601
8001147,0.15020371973514557
8001148,0.11688963323831558
8001149,0.1729695349931717
8001150,0.04871715232729912
8001151,0.04506438598036766
8001152,0.11133690178394318
8001153,0.11126474291086197
8001154,0.05963043496012688
8001155,0.1324308216571808
8001156,0.07588918507099152
8001157,0.11377592384815216
8001158,0.07745042443275452
8001159,0.17560237646102905
8001160,0.11845289170742035
8001161,0.030002407729625702
8001162,0.23707588016986847
8001163,0.08631020039319992
8001164,0.11402546614408493
8001165,0.0964745581150055
8001166,0.04819338768720627
8001167,0.07772520184516907
8001168,0.038466814905405045
8001169,0.17199696600437164
8001170,0.17688322067260742
8001171,0.09508899599313736
8001172,0.08454331010580063
8001173,0.18373075127601624
8001174,0.04551824927330017
8001175,0.22131173312664032
8001176,0.036167725920677185
8001177,0.1564561426639557
8001178,0.09116265177726746
8001179,0.09272877126932144
8001180,0.15032684803009033
8001181,0.035275377333164215
8001182,0.03672716021537781
8001183,0.23098139464855194
8001184,0.050338972359895706
8001185,0.11095407605171204
8001186,0.04427163302898407
8001187,0.1465124934911728
8001188,0.08404621481895447
8001189,0.12793020904064178
8001190,0.12663298845291138
8001191,0.1178208738565445
8001192,0.015274589881300926
8001193,0.10486055165529251
8001194,0.1720854938030243
8001195,0.14635583758354187
8001196,0.2239774763584137
8001197,0.05960787832736969
8001198,0.07484345883131027
8001199,0.08381322026252747
8001200,0.1304626315832138
8001201,0.030910717323422432
8001202,0.08973121643066406
8001203,0.12541356682777405
8001204,0.05318915843963623
8001205,0.03611607477068901
8001206,0.1096106618642807
8001207,0.20020759105682373
8001208,0.11437366902828217
8001209,0.1920379400253296
8001210,0.0819689929485321
8003103,0.0905483067035675
8003104,0.12634754180908203
8003105,0.14990884065628052
8003106,0.19274583458900452
8003107,0.11881153285503387
8003108,0.07699428498744965
8003109,0.049456413835287094
8003110,0.05236982926726341
8003111,0.20460622012615204
8003112,0.2025691121816635
8003113,0.10924547910690308
8003114,0.15594343841075897
8003115,0.11226518452167511
8003116,0.11856640130281448
8003117,0.1400757133960724
8003118,0.1290196180343628
8003119,0.1541646122932434
8003120,0.11464504152536392
8003121,0.17210842669010162
8003122,0.06315633654594421
8003123,0.06617888063192368
8003124,0.11725504696369171
8003125,0.17843033373355865
8003126,0.02545790560543537
8003127,0.0915115550160408
8003128,0.1037345677614212
8003129,0.09669683873653412
8003130,0.14824488759040833
8003131,0.16381177306175232
8003132,0.06582684814929962
8003133,0.1598867028951645
8003134,0.09700341522693634
8003135,0.08101743459701538
8003136,0.1484977900981903
8003137,0.10865844786167145
