no,default_12month
8000320,0.20879121124744415
8000392,0.12087912112474442
8000393,0.19780220091342926
8000394,0.15934066474437714
8000395,0.10439560562372208
8000396,0.12087912112474442
8000397,0.19230769574642181
8000398,0.07692307978868484
8000399,0.12637363374233246
8000400,0.10989011079072952
8000401,0.10989011079072952
8000402,0.1428571492433548
8000403,0.08791209012269974
8000404,0.09890110045671463
8000405,0.10989011079072952
8000406,0.11538461595773697
8000407,0.13736264407634735
8000408,0.1428571492433548
8000409,0.19230769574642181
8000410,0.08791209012269974
8000411,0.07692307978868484
8000412,0.13736264407634735
8000413,0.17032967507839203
8000414,0.17582418024539948
8000415,0.06593406945466995
8000416,0.23076923191547394
8000417,0.19780220091342926
8000418,0.10439560562372208
8000419,0.20879121124744415
8000420,0.09340659528970718
8000421,0.17032967507839203
8000422,0.20879121124744415
8000423,0.20879121124744415
8000424,0.08791209012269974
8000425,0.19780220091342926
8000426,0.1428571492433548
8000427,0.1428571492433548
8000428,0.10989011079072952
8000429,0.03846153989434242
8000430,0.14835165441036224
8000431,0.1538461595773697
8000432,0.1428571492433548
8000433,0.08241758495569229
8000434,0.2142857164144516
8000435,0.049450550228357315
8000436,0.19780220091342926
8000437,0.10439560562372208
8000438,0.08241758495569229
8000439,0.1318681389093399
8000440,0.19780220091342926
8000441,0.021978022530674934
8000442,0.10989011079072952
8000443,0.09340659528970718
8000444,0.15934066474437714
8000445,0.17032967507839203
8000446,0.1538461595773697
8000447,0.16483516991138458
8000448,0.08791209012269974
8000449,0.14835165441036224
8000450,0.2032967060804367
8000451,0.08791209012269974
8000452,0.032967034727334976
8000453,0.1318681389093399
8000454,0.08241758495569229
8000455,0.13736264407634735
8000456,0.2032967060804367
8000457,0.1428571492433548
8000458,0.15934066474437714
8000459,0.13736264407634735
8000460,0.05494505539536476
8000461,0.12637363374233246
8000462,0.10989011079072952
8000463,0.1318681389093399
8000464,0.1318681389093399
8000465,0.10439560562372208
8000466,0.07692307978868484
8000467,0.08241758495569229
8000468,0.13736264407634735
8000469,0.19780220091342926
8000470,0.11538461595773697
8000471,0.14835165441036224
8000472,0.12637363374233246
8000473,0.16483516991138458
8000474,0.10439560562372208
8000475,0.2252747267484665
8000476,0.15934066474437714
8000477,0.1538461595773697
8000478,0.04395604506134987
8000479,0.09890110045671463
8000480,0.12637363374233246
8000481,0.09340659528970718
8000482,0.1428571492433548
8000483,0.24725274741649628
8000484,0.11538461595773697
8000485,0.1318681389093399
8000486,0.10439560562372208
8000487,0.09340659528970718
8000488,0.06593406945466995
8000489,0.32967033982276917
8001126,0.16483516991138458
8001127,0.16483516991138458
8001128,0.1538461595773697
8001129,0.09890110045671463
8001130,0.09890110045671463
8001131,0.10989011079072952
8001132,0.17582418024539948
8001133,0.30219781398773193
8001134,0.04395604506134987
8001135,0.19230769574642181
8001136,0.12087912112474442
8001137,0.1318681389093399
8001138,0.11538461595773697
8001139,0.15934066474437714
8001140,0.15934066474437714
8001141,0.11538461595773697
8001142,0.07692307978868484
8001143,0.12637363374233246
8001144,0.23626373708248138
8001145,0.08241758495569229
8001146,0.08791209012269974
8001147,0.1318681389093399
8001148,0.1428571492433548
8001149,0.07692307978868484
8001150,0.12087912112474442
8001151,0.0714285746216774
8001152,0.10989011079072952
8001153,0.07692307978868484
8001154,0.08241758495569229
8001155,0.18131868541240692
8001156,0.1318681389093399
8001157,0.10989011079072952
8001158,0.10439560562372208
8001159,0.15934066474437714
8001160,0.2032967060804367
8001161,0.10439560562372208
8001162,0.24725274741649628
8001163,0.16483516991138458
8001164,0.10439560562372208
8001165,0.1318681389093399
8001166,0.08241758495569229
8001167,0.08241758495569229
8001168,0.11538461595773697
8001169,0.17032967507839203
8001170,0.15934066474437714
8001171,0.1538461595773697
8001172,0.1428571492433548
8001173,0.17032967507839203
8001174,0.09890110045671463
8001175,0.17582418024539948
8001176,0.12087912112474442
8001177,0.18131868541240692
8001178,0.1428571492433548
8001179,0.13736264407634735
8001180,0.13736264407634735
8001181,0.09890110045671463
8001182,0.049450550228357315
8001183,0.28021979331970215
8001184,0.06043956056237221
8001185,0.16483516991138458
8001186,0.10439560562372208
8001187,0.18131868541240692
8001188,0.11538461595773697
8001189,0.13736264407634735
8001190,0.14835165441036224
8001191,0.1318681389093399
8001192,0.032967034727334976
8001193,0.18681319057941437
8001194,0.21978022158145905
8001195,0.18681319057941437
8001196,0.21978022158145905
8001197,0.16483516991138458
8001198,0.15934066474437714
8001199,0.09890110045671463
8001200,0.09890110045671463
8001201,0.049450550228357315
8001202,0.1318681389093399
8001203,0.16483516991138458
