no,default_12month
8000320,0.2347802072763443
8000392,0.07815326750278473
8000393,0.0962839424610138
8000394,0.10424063354730606
8000395,0.127292662858963
8000396,0.1242138147354126
8000397,0.21050125360488892
8000398,0.0934205949306488
8000399,0.0917375236749649
8000400,0.07455499470233917
8000401,0.07232074439525604
8000402,0.10503796488046646
8000403,0.123938649892807
8000404,0.06809229403734207
8000405,0.10281166434288025
8000406,0.05787298083305359
8000407,0.06284209340810776
8000408,0.1280163824558258
8000409,0.18649150431156158
8000410,0.045218661427497864
8000411,0.1270846128463745
8000412,0.12270934134721756
8000413,0.12901198863983154
8000414,0.16468818485736847
8000415,0.057323627173900604
8000416,0.13021887838840485
8000417,0.1558636575937271
8000418,0.06446190178394318
8000419,0.11045030504465103
8000420,0.09165889024734497
8000421,0.10655036568641663
8000422,0.23831771314144135
8000423,0.16456323862075806
8000424,0.09725168347358704
8000425,0.10631511360406876
8000426,0.15407265722751617
8000427,0.12680919468402863
8000428,0.10681423544883728
8000429,0.030555300414562225
8000430,0.0850846916437149
8000431,0.09053976088762283
8000432,0.1159481629729271
8000433,0.08388422429561615
8000434,0.13480344414710999
8000435,0.1634989231824875
8000436,0.2069680541753769
8000437,0.10412600636482239
8000438,0.11878059059381485
8000439,0.09203314781188965
8000440,0.15703463554382324
8000441,0.042414143681526184
8000442,0.09682390093803406
8000443,0.0806359052658081
8000444,0.12746047973632812
8000445,0.1355288177728653
8000446,0.09261846542358398
8000447,0.1265522837638855
8000448,0.09809838980436325
8000449,0.11698037385940552
8000450,0.27027833461761475
8000451,0.09469282627105713
8000452,0.08956677466630936
8000453,0.10474617779254913
8000454,0.07572183758020401
8000455,0.1322965919971466
8000456,0.19455477595329285
8000457,0.09713829308748245
8000458,0.09967327862977982
8000459,0.1216772124171257
8000460,0.12964119017124176
8000461,0.0954774022102356
8000462,0.06779476255178452
8000463,0.07760927081108093
8000464,0.15298262238502502
8000465,0.08414588123559952
8000466,0.0854465514421463
8000467,0.043932948261499405
8000468,0.1798425167798996
8000469,0.19458156824111938
8000470,0.05428403988480568
8000471,0.15699681639671326
8000472,0.1282051056623459
8000473,0.12957964837551117
8000474,0.12343789637088776
8000475,0.3170928359031677
8000476,0.08638213574886322
8000477,0.11844750493764877
8000478,0.10278358310461044
8000479,0.0594928003847599
8000480,0.15916933119297028
8000481,0.1072482168674469
8000482,0.09842231124639511
8000483,0.1647346317768097
8000484,0.06306564807891846
8000485,0.11079888045787811
8000486,0.12142911553382874
8000487,0.1707591563463211
8000488,0.09917306154966354
8000489,0.24449224770069122
8001126,0.0894145593047142
8001127,0.1740659773349762
8001128,0.11611553281545639
8001129,0.058854639530181885
8001130,0.09156633168458939
8001131,0.24812202155590057
8001132,0.10592332482337952
8001133,0.2562106251716614
8001134,0.09046867489814758
8001135,0.24012769758701324
8001136,0.12640447914600372
8001137,0.09652692079544067
8001138,0.10326842218637466
8001139,0.216167613863945
