no,default_12month
8000320,0.21817658841609955
8000392,0.12514781951904297
8000393,0.1349853128194809
8000394,0.08387337625026703
8000395,0.08631584793329239
8000396,0.0852186381816864
8000397,0.18447932600975037
8000398,0.09080705046653748
8000399,0.10218901932239532
8000400,0.10214352607727051
8000401,0.07109015434980392
8000402,0.11019671708345413
8000403,0.14623916149139404
8000404,0.05227414891123772
8000405,0.10334751754999161
8000406,0.07109662890434265
8000407,0.09071465581655502
8000408,0.10017082095146179
8000409,0.17585456371307373
8000410,0.03873506933450699
8000411,0.15501393377780914
8000412,0.13389596343040466
8000413,0.1461327224969864
8000414,0.16197368502616882
8000415,0.0791485533118248
8000416,0.12922492623329163
8000417,0.13903215527534485
8000418,0.07315981388092041
8000419,0.1111827939748764
8000420,0.10570139437913895
8000421,0.10016969591379166
8000422,0.13189131021499634
8000423,0.12890635430812836
8000424,0.08389783650636673
8000425,0.10920502245426178
8000426,0.10286055505275726
8000427,0.10487991571426392
8000428,0.07033717632293701
8000429,0.04221039637923241
8000430,0.09858261793851852
8000431,0.12213510274887085
8000432,0.13031348586082458
8000433,0.08932062983512878
8000434,0.13580730557441711
8000435,0.05462831258773804
8000436,0.137118399143219
8000437,0.08711650222539902
8000438,0.0840485543012619
8000439,0.11042456328868866
8000440,0.18185657262802124
8000441,0.06782270967960358
8000442,0.08221551030874252
8000443,0.05287758633494377
8000444,0.10940860211849213
8000445,0.12217302620410919
8000446,0.0800279825925827
8000447,0.12400628626346588
8000448,0.08543682098388672
8000449,0.11480579525232315
8000450,0.22583919763565063
8000451,0.08186320960521698
8000452,0.05772879347205162
8000453,0.14173376560211182
8000454,0.10375718772411346
8000455,0.15377315878868103
8000456,0.18584950268268585
8000457,0.11808095872402191
8000458,0.12515801191329956
8000459,0.13007286190986633
8000460,0.06787967681884766
8000461,0.0865488201379776
8000462,0.058020349591970444
8000463,0.06914907693862915
8000464,0.1290423572063446
8000465,0.09182266891002655
8000466,0.07081211358308792
8000467,0.048268429934978485
8000468,0.15282407402992249
8000469,0.15745291113853455
8000470,0.05633752420544624
8000471,0.11031011492013931
8000472,0.09531353414058685
8000473,0.13654787838459015
8000474,0.04779835790395737
8000475,0.22135525941848755
8000476,0.10253779590129852
8000477,0.09210039675235748
8000478,0.04866161197423935
8000479,0.08976172655820847
8000480,0.12655755877494812
8000481,0.11255236715078354
8000482,0.11485576629638672
8000483,0.13923019170761108
8000484,0.057536154985427856
8000485,0.112509585916996
8000486,0.11763205379247665
8000487,0.1314813196659088
8000488,0.09400290995836258
8000489,0.17360781133174896
8001126,0.08856645226478577
8001127,0.15018334984779358
8001128,0.13121630251407623
8001129,0.04985322803258896
8001130,0.0964570939540863
8001131,0.19747313857078552
8001132,0.10783647000789642
8001133,0.19981953501701355
8001134,0.06110960990190506
8001135,0.17335455119609833
8001136,0.10453715920448303
8001137,0.09605012834072113
8001138,0.12135620415210724
8001139,0.1123356819152832
8001140,0.1054057851433754
8001141,0.10903885215520859
8001142,0.10139305144548416
8001143,0.12016307562589645
8001144,0.11141154170036316
8001145,0.11032533645629883
8001146,0.1115298792719841
8001147,0.11452347040176392
8001148,0.07425391674041748
8001149,0.09202998131513596
8001150,0.0739835798740387
8001151,0.0854012668132782
8001152,0.10521744191646576
8001153,0.0771675631403923
8001154,0.08269224315881729
8001155,0.12985900044441223
8001156,0.09641877561807632
8001157,0.11047980934381485
8001158,0.08244065940380096
8001159,0.13920831680297852
8001160,0.10964380204677582
8001161,0.06918149441480637
8001162,0.21056516468524933
8001163,0.10071055591106415
8001164,0.1018420159816742
8001165,0.11137484759092331
8001166,0.06509477645158768
8001167,0.10366073995828629
8001168,0.07441890239715576
8001169,0.12318617105484009
8001170,0.1648065596818924
8001171,0.10459606349468231
8001172,0.14064617455005646
8001173,0.16592931747436523
8001174,0.06029399111866951
8001175,0.15779036283493042
8001176,0.07653245329856873
8001177,0.14938615262508392
8001178,0.09158942103385925
8001179,0.07303285598754883
8001180,0.15899527072906494
8001181,0.06196674332022667
8001182,0.05924633517861366
8001183,0.18238672614097595
8001184,0.09461592137813568
8001185,0.1189238652586937
8001186,0.08482257276773453
8001187,0.167801171541214
8001188,0.10940051823854446
8001189,0.14155128598213196
8001190,0.1652376651763916
8001191,0.1046827957034111
8001192,0.043739281594753265
8001193,0.1330377459526062
8001194,0.12480144202709198
8001195,0.12927785515785217
8001196,0.22059068083763123
8001197,0.09046804904937744
8001198,0.08439408242702484
8001199,0.07523776590824127
8001200,0.11232710629701614
8001201,0.05739292874932289
8001202,0.12094070017337799
8001203,0.14639897644519806
8001204,0.08268441259860992
8001205,0.07587331533432007
8001206,0.10643886774778366
8001207,0.15430666506290436
8001208,0.09175419062376022
8001209,0.20142650604248047
8001210,0.07030386477708817
8003103,0.09026694297790527
8003104,0.16348251700401306
8003105,0.19277556240558624
8003106,0.1536037027835846
8003107,0.10202565789222717
8003108,0.1359400898218155
8003109,0.08039914071559906
8003110,0.06735989451408386
8003111,0.19772213697433472
8003112,0.1588977724313736
8003113,0.13947346806526184
8003114,0.1289501190185547
8003115,0.12422867864370346
8003116,0.11788849532604218
8003117,0.1069110631942749
8003118,0.10955709218978882
8003119,0.14895741641521454
8003120,0.07840508967638016
8003121,0.1651720106601715
8003122,0.070485919713974
8003123,0.08893674612045288
8003124,0.1350283920764923
8003125,0.16759257018566132
8003126,0.03775975853204727
8003127,0.07666666805744171
8003128,0.12183842062950134
8003129,0.0895221084356308
8003130,0.14763778448104858
8003131,0.1659191995859146
8003132,0.041084349155426025
8003133,0.14374665915966034
8003134,0.08650059998035431
8003135,0.10785581171512604
8003136,0.14414644241333008
8003137,0.11156977713108063
8003138,0.2374783754348755
8003139,0.06073519587516785
8003140,0.10458029806613922
8003141,0.14435558021068573
8003142,0.1669830083847046
8003143,0.09130313992500305
8003144,0.16063235700130463
8003145,0.08053039014339447
8003146,0.0819583535194397
8003147,0.16392719745635986
8003148,0.1420551985502243
8003149,0.09037850797176361
8003150,0.15330296754837036
8003151,0.09775096923112869
8003152,0.14066293835639954
8003153,0.16673225164413452
8003154,0.05439595878124237
8003155,0.12745803594589233
8003156,0.19574229419231415
8003157,0.163211852312088
8003158,0.14998245239257812
8003159,0.19286344945430756
8003160,0.0779477208852768
8003161,0.13571441173553467
8003162,0.13550518453121185
8003163,0.21030186116695404
8003164,0.11276204884052277
8003165,0.16422311961650848
8003166,0.08346235752105713
8003167,0.08595868200063705
8003168,0.15457986295223236
8003169,0.16674929857254028
8003170,0.2174038589000702
8003171,0.09576896578073502
8003172,0.16480940580368042
8003173,0.07639627903699875
8003174,0.14712662994861603
8003175,0.08287368714809418
8003176,0.156675785779953
8003177,0.14918340742588043
8003178,0.20264969766139984
8003179,0.0737399309873581
8003180,0.1555868238210678
8003181,0.16017162799835205
8003182,0.055887192487716675
8003183,0.07702811807394028
8003184,0.15095800161361694
8003185,0.16262038052082062
8003186,0.17153099179267883
8003187,0.18040552735328674
8003188,0.08500759303569794
8003189,0.15398849546909332
8003190,0.09614747762680054
8003191,0.12326209247112274
8003192,0.07133844494819641
8003193,0.08370243012905121
8003194,0.21336355805397034
8003195,0.07085307687520981
8003196,0.11276421695947647
8003197,0.1434800624847412
8003198,0.16191254556179047
8003199,0.09409955888986588
8003200,0.09849235415458679
8003201,0.06701935827732086
8003202,0.07386557757854462
8003203,0.14169524610042572
8003204,0.16251710057258606
8003205,0.12686382234096527
8003206,0.09360316395759583
8003207,0.06455838680267334
8003208,0.16236746311187744
8003209,0.12537634372711182
8003210,0.21692684292793274
8003211,0.17142176628112793
8003212,0.18237531185150146
8003213,0.08991465717554092
8003214,0.13353818655014038
8003215,0.10328131914138794
8003216,0.10022099316120148
8003217,0.06725657731294632
8003218,0.19844235479831696
8003219,0.19527040421962738
8003220,0.06115711107850075
8003221,0.08376812189817429
8003222,0.0800236165523529
8003223,0.11962880194187164
8003224,0.16892917454242706
8003225,0.17627812922000885
8003226,0.259756863117218
8003227,0.12931111454963684
8003228,0.08976873010396957
8003229,0.1072378158569336
8003230,0.14313896000385284
8003231,0.12014217674732208
8003232,0.042751576751470566
8003233,0.11077755689620972
8003234,0.18868836760520935
8003235,0.08244955539703369
8003236,0.04595278948545456
8003237,0.06383608281612396
8003238,0.10643155127763748
8003239,0.1176629289984703
8003240,0.13817307353019714
8003241,0.08840955048799515
8003242,0.09445413947105408
8003243,0.07568315416574478
8003244,0.1259251981973648
8003245,0.07408348470926285
8003246,0.16170571744441986
8003247,0.05466201901435852
8003248,0.13333800435066223
8003249,0.1290905475616455
8003250,0.07308299839496613
8003251,0.13650837540626526
8003252,0.03252767026424408
8003253,0.06800877302885056
8003254,0.10173488408327103
8003255,0.08808837831020355
8003256,0.11969512701034546
8003257,0.08295691758394241
8003258,0.16974815726280212
8003259,0.054755065590143204
8003260,0.08667618781328201
8003261,0.13229456543922424
8003262,0.09690460562705994
8003263,0.0923178419470787
8003264,0.09502638131380081
8003265,0.0567920058965683
8003266,0.12227718532085419
8003267,0.12553472816944122
8003268,0.12062244117259979
8003269,0.159426748752594
8003270,0.0820963978767395
8003271,0.07048283517360687
8003272,0.0983513742685318
8003273,0.16617266833782196
8003274,0.10424703359603882
8003275,0.06601838767528534
8003276,0.1706646829843521
8003277,0.11263781785964966
8003278,0.07027221471071243
8003279,0.1125888079404831
8003280,0.10005602240562439
8003281,0.06717653572559357
8003282,0.11952605843544006
8003283,0.0903109461069107
8003284,0.12612122297286987
8003285,0.1054559201002121
8003286,0.09575653076171875
8003287,0.2005833387374878
8003288,0.14253059029579163
8003289,0.17785000801086426
8003290,0.14877159893512726
8003291,0.09863709658384323
8003292,0.06757259368896484
8003293,0.17261585593223572
8003294,0.1307106465101242
8003295,0.15407392382621765
8003296,0.09264689683914185
8003297,0.08206026256084442
8003298,0.1457974910736084
8003299,0.11082344502210617
8003300,0.12376587837934494
8003301,0.07065363973379135
8003302,0.07412741333246231
8003303,0.04905742406845093
8003304,0.1583532989025116
8003305,0.1350862979888916
8003306,0.19229523837566376
8003307,0.12989921867847443
8003308,0.04688020050525665
8003309,0.13745306432247162
8003310,0.13738441467285156
8003311,0.14100845158100128
8003312,0.08064635097980499
8003313,0.10772313177585602
8003314,0.12760993838310242
8003315,0.073942169547081
8003316,0.070427305996418
8003317,0.04459216818213463
8003318,0.15240070223808289
8003319,0.12462719529867172
