no,default_12month
8000320,0.2293858826160431
8000392,0.07503297924995422
8000393,0.1167745441198349
8000394,0.0879129022359848
8000395,0.09755067527294159
8000396,0.08487732708454132
8000397,0.15372520685195923
8000398,0.09992443025112152
8000399,0.08746644854545593
8000400,0.08137420564889908
8000401,0.061641789972782135
8000402,0.10110588371753693
8000403,0.13630029559135437
8000404,0.05361361801624298
8000405,0.10002604126930237
8000406,0.05410029739141464
8000407,0.0730995237827301
8000408,0.08365646004676819
8000409,0.19566331803798676
8000410,0.01793668046593666
8000411,0.11223375797271729
8000412,0.1082029640674591
8000413,0.13244736194610596
8000414,0.15839950740337372
8000415,0.060760147869586945
8000416,0.13422931730747223
8000417,0.12860006093978882
8000418,0.06230010464787483
8000419,0.10772809386253357
8000420,0.098987877368927
8000421,0.10317090898752213
8000422,0.2163623869419098
8000423,0.12849505245685577
8000424,0.08385596424341202
8000425,0.10199355334043503
8000426,0.13079991936683655
8000427,0.07725752890110016
8000428,0.08243536949157715
8000429,0.04072829335927963
8000430,0.09994256496429443
8000431,0.09049441665410995
8000432,0.11733335256576538
8000433,0.07447801530361176
8000434,0.12971028685569763
8000435,0.034480005502700806
8000436,0.16668222844600677
8000437,0.08360718935728073
8000438,0.08813561499118805
8000439,0.08841568231582642
8000440,0.17182351648807526
8000441,0.03425173833966255
8000442,0.08759192377328873
8000443,0.05414034426212311
8000444,0.13979384303092957
8000445,0.14054226875305176
8000446,0.09426390379667282
8000447,0.12123791128396988
8000448,0.08448369055986404
8000449,0.10612748563289642
8000450,0.21926763653755188
8000451,0.09061064571142197
8000452,0.03207363188266754
8000453,0.12247676402330399
8000454,0.07440569996833801
8000455,0.14803823828697205
8000456,0.2278476506471634
8000457,0.11167314648628235
8000458,0.0959281399846077
8000459,0.12287964671850204
8000460,0.03488270565867424
8000461,0.0629267543554306
8000462,0.04327820613980293
8000463,0.050225358456373215
8000464,0.11338093876838684
8000465,0.09253719449043274
8000466,0.06024501472711563
8000467,0.05687914788722992
8000468,0.2053360939025879
8000469,0.1397496908903122
8000470,0.05593147873878479
8000471,0.09189534187316895
8000472,0.09581662714481354
8000473,0.1341572403907776
8000474,0.05475594103336334
8000475,0.20597892999649048
8000476,0.07655546069145203
8000477,0.08992453664541245
8000478,0.027706483379006386
8000479,0.07072895020246506
8000480,0.1051592156291008
8000481,0.09166466444730759
8000482,0.08859661966562271
