no,default_12month
8000320,0.22308549284934998
8000392,0.07000182569026947
8000393,0.10160251706838608
8000394,0.08697175979614258
8000395,0.0945056825876236
8000396,0.07192625105381012
8000397,0.1461125761270523
8000398,0.09356633573770523
8000399,0.07938724011182785
8000400,0.07252033054828644
8000401,0.061626285314559937
8000402,0.09027455002069473
8000403,0.10975682735443115
8000404,0.05284179747104645
8000405,0.1035751923918724
8000406,0.05183246731758118
8000407,0.06981460750102997
8000408,0.08353151381015778
8000409,0.22016337513923645
8000410,0.023761585354804993
8000411,0.10250042378902435
8000412,0.10990243405103683
8000413,0.1300247609615326
8000414,0.1578347235918045
8000415,0.060496628284454346
8000416,0.1177552193403244
8000417,0.12516912817955017
8000418,0.053274307399988174
8000419,0.09764551371335983
8000420,0.09148901700973511
8000421,0.10530157387256622
8000422,0.22317689657211304
8000423,0.12314990162849426
8000424,0.08183584362268448
8000425,0.10030535608530045
8000426,0.12675714492797852
8000427,0.08757031708955765
8000428,0.08273123949766159
8000429,0.044902656227350235
8000430,0.0976548120379448
8000431,0.08435937762260437
8000432,0.11581456661224365
8000433,0.06879285722970963
8000434,0.12780646979808807
8000435,0.0301895160228014
8000436,0.15098607540130615
8000437,0.08564353734254837
8000438,0.08576907217502594
8000439,0.09136538207530975
8000440,0.16823992133140564
8000441,0.03595687448978424
8000442,0.0914936363697052
8000443,0.05916040018200874
8000444,0.11475401371717453
8000445,0.1418112814426422
8000446,0.09925127774477005
8000447,0.12466894090175629
8000448,0.0782751739025116
8000449,0.10088010132312775
8000450,0.21674594283103943
8000451,0.09563668072223663
8000452,0.03213285654783249
8000453,0.11482980847358704
8000454,0.0641491636633873
8000455,0.14370517432689667
8000456,0.22379301488399506
8000457,0.10515789687633514
8000458,0.0915628969669342
8000459,0.11568578332662582
8000460,0.03954150527715683
8000461,0.059343282133340836
8000462,0.039642084389925
8000463,0.05244415998458862
8000464,0.11297299712896347
8000465,0.0929146483540535
8000466,0.06776619702577591
8000467,0.06088235229253769
8000468,0.17204633355140686
8000469,0.14121341705322266
8000470,0.056386128067970276
8000471,0.0975109413266182
8000472,0.08850251883268356
8000473,0.13567689061164856
8000474,0.05528615415096283
8000475,0.20749357342720032
8000476,0.07446546852588654
8000477,0.08683376759290695
8000478,0.028943520039319992
8000479,0.05888066440820694
