no,default_12month
8000320,0.25871655344963074
8000392,0.07410801947116852
8000393,0.0912003219127655
8000394,0.08234356343746185
8000395,0.11863595992326736
8000396,0.08336221426725388
8000397,0.1795845329761505
8000398,0.08627688884735107
8000399,0.09293738752603531
8000400,0.08335418254137039
8000401,0.07723672688007355
8000402,0.08775489777326584
8000403,0.10403653979301453
8000404,0.05762694776058197
8000405,0.09238894283771515
8000406,0.05542774498462677
8000407,0.07872950285673141
8000408,0.08189047127962112
8000409,0.2042836993932724
8000410,0.0551905483007431
8000411,0.10659231245517731
8000412,0.09442535042762756
8000413,0.13114678859710693
8000414,0.13678649067878723
8000415,0.06458359211683273
8000416,0.10117800533771515
8000417,0.12287087738513947
8000418,0.05310659483075142
8000419,0.10014708340167999
8000420,0.08955871313810349
8000421,0.10537050664424896
8000422,0.2650596499443054
8000423,0.12311871349811554
8000424,0.08966125547885895
8000425,0.08905579894781113
8000426,0.11799879372119904
8000427,0.07786102592945099
8000428,0.08483882993459702
8000429,0.09723718464374542
8000430,0.09016353636980057
8000431,0.08504774421453476
8000432,0.10240870714187622
8000433,0.07865037024021149
8000434,0.11883270740509033
8000435,0.05513502284884453
8000436,0.18859510123729706
8000437,0.08047348260879517
8000438,0.08187615871429443
8000439,0.0861489400267601
8000440,0.2245689332485199
8000441,0.043219588696956635
8000442,0.07761247456073761
8000443,0.08194036781787872
8000444,0.11731194704771042
8000445,0.11060044169425964
8000446,0.08380301296710968
8000447,0.11679195612668991
8000448,0.07785370945930481
8000449,0.09920700639486313
8000450,0.2224799394607544
8000451,0.08738598227500916
8000452,0.049336545169353485
8000453,0.10728149116039276
8000454,0.079256072640419
8000455,0.13702012598514557
8000456,0.25011879205703735
8000457,0.09941748529672623
8000458,0.08703254163265228
8000459,0.10688824951648712
8000460,0.05016593635082245
8000461,0.07317674905061722
8000462,0.04302741587162018
8000463,0.05592821538448334
8000464,0.1083308756351471
8000465,0.09198622405529022
8000466,0.07394980639219284
8000467,0.06515467166900635
8000468,0.16456371545791626
8000469,0.14841832220554352
8000470,0.10802945494651794
8000471,0.10370239615440369
8000472,0.1027536392211914
8000473,0.12614716589450836
8000474,0.08669642359018326
8000475,0.2705616354942322
8000476,0.07596465200185776
8000477,0.09471973776817322
8000478,0.04793441295623779
8000479,0.07070821523666382
8000480,0.10786759108304977
8000481,0.09055085480213165
8000482,0.08932485431432724
8000483,0.11581721901893616
8000484,0.06758944690227509
8000485,0.07388682663440704
8000486,0.11780591309070587
8000487,0.10607121884822845
8000488,0.07091056555509567
8000489,0.2460090070962906
8001126,0.08748749643564224
8001127,0.15228259563446045
8001128,0.10539659857749939
8001129,0.060935720801353455
8001130,0.0860297828912735
8001131,0.19083820283412933
8001132,0.09209953993558884
8001133,0.24066361784934998
8001134,0.05508160591125488
8001135,0.19348928332328796
8001136,0.11096291244029999
8001137,0.08796612918376923
8001138,0.09890030324459076
8001139,0.15905408561229706
8001140,0.1077134907245636
8001141,0.09624148905277252
8001142,0.07545357942581177
8001143,0.08863237500190735
8001144,0.12802569568157196
8001145,0.08547237515449524
8001146,0.07964461296796799
8001147,0.09574087709188461
8001148,0.10840800404548645
8001149,0.12352529913187027
8001150,0.07940103858709335
8001151,0.061923734843730927
8001152,0.1065242663025856
8001153,0.08591549843549728
8001154,0.08620540797710419
8001155,0.10909001529216766
8001156,0.09053945541381836
8001157,0.09735145419836044
8001158,0.06721684336662292
8001159,0.13418592512607574
8001160,0.12239693105220795
8001161,0.07271860539913177
8001162,0.2229813039302826
8001163,0.10946395993232727
8001164,0.10564909875392914
8001165,0.12786799669265747
8001166,0.07303453981876373
8001167,0.08590278029441833
8001168,0.07661829888820648
8001169,0.11703970283269882
8001170,0.1449781060218811
8001171,0.09887165576219559
8001172,0.10075526684522629
8001173,0.17673668265342712
8001174,0.07300695776939392
8001175,0.2060980349779129
8001176,0.06785675138235092
8001177,0.14184854924678802
8001178,0.09543062001466751
8001179,0.08171933889389038
8001180,0.13821133971214294
8001181,0.06921268999576569
8001182,0.05342777073383331
8001183,0.20484475791454315
8001184,0.07496912032365799
8001185,0.11436332762241364
8001186,0.0642627477645874
8001187,0.14079010486602783
8001188,0.08895385265350342
8001189,0.16608132421970367
8001190,0.1788572371006012
8001191,0.09556855261325836
8001192,0.06714968383312225
8001193,0.1075168326497078
8001194,0.13119688630104065
8001195,0.11734366416931152
8001196,0.2701806128025055
8001197,0.08556793630123138
8001198,0.09763137996196747
8001199,0.09175583720207214
8001200,0.10184735804796219
8001201,0.06010874733328819
8001202,0.08961222320795059
8001203,0.11371397972106934
8001204,0.07311217486858368
8001205,0.08998521417379379
8001206,0.08865714073181152
8001207,0.13702695071697235
8001208,0.08769004046916962
8001209,0.20954570174217224
8001210,0.07745464146137238
8003103,0.0820833146572113
8003104,0.1751464307308197
8003105,0.1757841557264328
8003106,0.16939851641654968
8003107,0.10389915853738785
8003108,0.07031169533729553
8003109,0.08029158413410187
8003110,0.07998131960630417
8003111,0.22352389991283417
8003112,0.1429247409105301
8003113,0.11711348593235016
8003114,0.1610012799501419
8003115,0.10927489399909973
8003116,0.11750220507383347
8003117,0.09896295517683029
8003118,0.1434231996536255
8003119,0.11260604858398438
8003120,0.09583668410778046
8003121,0.1684267371892929
8003122,0.07916836440563202
8003123,0.09076681733131409
8003124,0.12388557195663452
8003125,0.26725566387176514
8003126,0.08873128890991211
8003127,0.08018070459365845
8003128,0.10840591788291931
8003129,0.08284656703472137
8003130,0.11700448393821716
8003131,0.19776232540607452
8003132,0.0751785933971405
8003133,0.15168653428554535
8003134,0.08916732668876648
8003135,0.0841086134314537
8003136,0.1336853951215744
8003137,0.09433920681476593
8003138,0.3898589015007019
8003139,0.07275723665952682
8003140,0.09604528546333313
8003141,0.1383645087480545
8003142,0.23928938806056976
8003143,0.10538686811923981
8003144,0.152058407664299
8003145,0.07946792244911194
8003146,0.10317995399236679
8003147,0.15111199021339417
8003148,0.1391231268644333
8003149,0.08976178616285324
8003150,0.09341546148061752
8003151,0.0960748940706253
8003152,0.10434344410896301
8003153,0.13422703742980957
8003154,0.06906982511281967
8003155,0.19268815219402313
8003156,0.10608132928609848
8003157,0.12137985974550247
8003158,0.1683129221200943
8003159,0.22678101062774658
8003160,0.07126028835773468
8003161,0.09768906980752945
8003162,0.11112960427999496
8003163,0.23340502381324768
8003164,0.12752148509025574
8003165,0.12254486978054047
8003166,0.06042752042412758
8003167,0.07884719967842102
8003168,0.11956129223108292
8003169,0.12473954260349274
8003170,0.21629217267036438
8003171,0.0712222084403038
8003172,0.19511157274246216
8003173,0.07428805530071259
8003174,0.14346054196357727
8003175,0.08091103285551071
8003176,0.13731415569782257
8003177,0.12608198821544647
8003178,0.22141475975513458
8003179,0.07098070532083511
8003180,0.16762244701385498
8003181,0.18711432814598083
8003182,0.07407984137535095
8003183,0.07450506836175919
8003184,0.12266127020120621
8003185,0.1664682924747467
8003186,0.15001516044139862
8003187,0.20519737899303436
8003188,0.081605464220047
8003189,0.1314765214920044
8003190,0.0724603533744812
8003191,0.11946608126163483
8003192,0.07194060832262039
8003193,0.05575130134820938
8003194,0.22579137980937958
8003195,0.07195309549570084
8003196,0.08030064404010773
8003197,0.0887567326426506
8003198,0.1415146142244339
8003199,0.0840938612818718
8003200,0.10028161853551865
8003201,0.05425513535737991
8003202,0.0837378278374672
8003203,0.08829096704721451
8003204,0.19235943257808685
8003205,0.13644587993621826
8003206,0.09361600875854492
8003207,0.07299560308456421
8003208,0.17737190425395966
8003209,0.08541738241910934
8003210,0.17673298716545105
8003211,0.23169559240341187
8003212,0.1947314739227295
8003213,0.08058717846870422
8003214,0.14512771368026733
8003215,0.08247451484203339
8003216,0.1122039183974266
8003217,0.07872316986322403
8003218,0.22725287079811096
8003219,0.24117687344551086
8003220,0.05692817643284798
8003221,0.09285160899162292
8003222,0.08657030761241913
8003223,0.1358797401189804
8003224,0.17421790957450867
8003225,0.18154959380626678
8003226,0.3443397581577301
8003227,0.12453802675008774
8003228,0.09695716947317123
8003229,0.08492955565452576
8003230,0.11523254215717316
8003231,0.10006670653820038
8003232,0.05419343337416649
8003233,0.1651761680841446
8003234,0.3075435161590576
8003235,0.09923078864812851
8003236,0.04845825582742691
8003237,0.08953242003917694
8003238,0.09435191750526428
8003239,0.09582393616437912
8003240,0.1170780211687088
8003241,0.14353781938552856
8003242,0.1629108190536499
8003243,0.07173053175210953
8003244,0.10858950763940811
8003245,0.09550201892852783
8003246,0.18445411324501038
8003247,0.07259887456893921
8003248,0.1743638813495636
8003249,0.14502616226673126
8003250,0.07212139666080475
8003251,0.1471513956785202
8003252,0.04912415146827698
8003253,0.0958491787314415
