no,default_12month
8000320,0.2522974908351898
8000392,0.07930612564086914
8000393,0.09980179369449615
8000394,0.104234978556633
8000395,0.09495138376951218
8000396,0.09126070141792297
8000397,0.15449200570583344
8000398,0.10476050525903702
8000399,0.09520474821329117
8000400,0.0839599072933197
8000401,0.061608560383319855
8000402,0.09955567866563797
8000403,0.1009107232093811
8000404,0.05974442511796951
8000405,0.09485909342765808
8000406,0.060065098106861115
8000407,0.0698648989200592
8000408,0.06952164322137833
8000409,0.1818249225616455
8000410,0.029972439631819725
8000411,0.10996393859386444
8000412,0.11785463243722916
8000413,0.12558244168758392
8000414,0.1361245959997177
8000415,0.07282371073961258
8000416,0.10363392531871796
8000417,0.14071577787399292
8000418,0.06102766841650009
8000419,0.1246413141489029
8000420,0.08001445233821869
8000421,0.10656936466693878
8000422,0.2443208396434784
8000423,0.11968787014484406
8000424,0.0805477574467659
8000425,0.09375438839197159
8000426,0.15198878943920135
8000427,0.08350831270217896
8000428,0.09392526000738144
8000429,0.037088848650455475
8000430,0.10093683004379272
8000431,0.10074394941329956
8000432,0.1124541163444519
8000433,0.0772319883108139
8000434,0.12414912134408951
8000435,0.03643522411584854
8000436,0.17456431686878204
8000437,0.08167325705289841
8000438,0.07341378927230835
8000439,0.08756525069475174
8000440,0.22293499112129211
8000441,0.04426797479391098
8000442,0.09028253704309464
8000443,0.0736176148056984
8000444,0.12385372817516327
8000445,0.12925377488136292
8000446,0.09105177968740463
8000447,0.11313806474208832
8000448,0.07317646592855453
8000449,0.11062844842672348
8000450,0.18364733457565308
8000451,0.08858346194028854
8000452,0.038312628865242004
8000453,0.11662563681602478
8000454,0.07554443925619125
8000455,0.12467686831951141
8000456,0.3085508644580841
8000457,0.11413607001304626
8000458,0.09827537089586258
8000459,0.11732310801744461
8000460,0.03967336565256119
8000461,0.06748055666685104
8000462,0.03922194242477417
8000463,0.055683210492134094
8000464,0.13153500854969025
8000465,0.11209462583065033
8000466,0.06035681813955307
8000467,0.057416435331106186
8000468,0.1604682207107544
8000469,0.15237854421138763
8000470,0.06655535101890564
8000471,0.11281196773052216
8000472,0.1256232112646103
8000473,0.15991225838661194
8000474,0.04319867491722107
8000475,0.24993155896663666
8000476,0.08868351578712463
8000477,0.09498409926891327
8000478,0.0299554280936718
8000479,0.04957549646496773
8000480,0.1287645399570465
8000481,0.08833160251379013
