no,default_12month
8000320,0.2309453785419464
8000392,0.08661043643951416
8000393,0.11413778364658356
8000394,0.10116924345493317
8000395,0.11781269311904907
8000396,0.10030337423086166
8000397,0.20330724120140076
8000398,0.08886495232582092
8000399,0.08133713901042938
8000400,0.09868306666612625
8000401,0.09392372518777847
8000402,0.09949491918087006
8000403,0.12020827829837799
8000404,0.06957805901765823
8000405,0.10114879906177521
8000406,0.072549007833004
8000407,0.07721623033285141
8000408,0.08740610629320145
8000409,0.17075864970684052
8000410,0.059051644057035446
8000411,0.11721183359622955
8000412,0.10568123310804367
8000413,0.1359606683254242
8000414,0.16030871868133545
8000415,0.07396809011697769
8000416,0.1218334287405014
8000417,0.1378670334815979
8000418,0.057553768157958984
8000419,0.11400450766086578
8000420,0.09842216968536377
8000421,0.11500498652458191
8000422,0.24146932363510132
8000423,0.14907681941986084
8000424,0.10064011067152023
8000425,0.10160723328590393
8000426,0.1394924372434616
8000427,0.08960804343223572
8000428,0.10047788918018341
8000429,0.06144997477531433
8000430,0.1081010103225708
8000431,0.09986080974340439
8000432,0.11973355710506439
8000433,0.07781631499528885
8000434,0.1340978592634201
8000435,0.04450453817844391
8000436,0.16916924715042114
8000437,0.1131378561258316
8000438,0.10290777683258057
8000439,0.09428893774747849
8000440,0.18224985897541046
8000441,0.05490240454673767
8000442,0.08788684755563736
8000443,0.09679973870515823
8000444,0.13439835608005524
8000445,0.13704974949359894
8000446,0.0911753848195076
8000447,0.12741446495056152
8000448,0.09065456688404083
8000449,0.11000790446996689
8000450,0.22439736127853394
8000451,0.10840852558612823
8000452,0.03890582174062729
8000453,0.11162681132555008
8000454,0.07903435826301575
8000455,0.13603852689266205
8000456,0.22169604897499084
8000457,0.09731340408325195
8000458,0.10237034410238266
8000459,0.132503479719162
8000460,0.04615376517176628
8000461,0.08429832756519318
8000462,0.05418505147099495
8000463,0.05942326784133911
8000464,0.14174385368824005
8000465,0.09427870064973831
8000466,0.07287461310625076
8000467,0.06528699398040771
8000468,0.1720648556947708
8000469,0.1717248111963272
8000470,0.06961153447628021
8000471,0.1284032166004181
8000472,0.11933652311563492
8000473,0.14181622862815857
8000474,0.062226902693510056
8000475,0.2702518701553345
8000476,0.09941476583480835
8000477,0.12402310222387314
8000478,0.03853589668869972
8000479,0.08873671293258667
8000480,0.13975293934345245
8000481,0.0974026694893837
8000482,0.11643388867378235
8000483,0.1420876383781433
8000484,0.0882457047700882
8000485,0.09506412595510483
8000486,0.12169656157493591
8000487,0.14348027110099792
8000488,0.10052084177732468
8000489,0.21415658295154572
8001126,0.09018262475728989
8001127,0.16106173396110535
8001128,0.12112055718898773
8001129,0.07498079538345337
8001130,0.11089353263378143
8001131,0.19619184732437134
8001132,0.11564021557569504
8001133,0.25092756748199463
8001134,0.04668498411774635
8001135,0.20203156769275665
8001136,0.10455136001110077
8001137,0.10775221139192581
8001138,0.1104135736823082
8001139,0.16395443677902222
8001140,0.13507267832756042
8001141,0.11131374537944794
8001142,0.09365082532167435
8001143,0.10300934314727783
8001144,0.1167675331234932
8001145,0.12446621060371399
8001146,0.09659576416015625
8001147,0.10350365936756134
8001148,0.09864044934511185
8001149,0.16032452881336212
8001150,0.07408590614795685
8001151,0.07700485736131668
8001152,0.12669338285923004
8001153,0.11276175826787949
8001154,0.07977138459682465
8001155,0.13048991560935974
8001156,0.08945559710264206
8001157,0.09761935472488403
8001158,0.07158355414867401
8001159,0.16021807491779327
8001160,0.11649055033922195
8001161,0.06571216136217117
8001162,0.2194700986146927
8001163,0.13010917603969574
8001164,0.09655071794986725
8001165,0.15383628010749817
8001166,0.06820797175168991
8001167,0.09071936458349228
8001168,0.07984378188848495
8001169,0.12227066606283188
8001170,0.1506318598985672
8001171,0.10963741689920425
8001172,0.10290547460317612
8001173,0.18153426051139832
8001174,0.07013915479183197
8001175,0.1923622190952301
8001176,0.0704270526766777
8001177,0.1523934155702591
8001178,0.11110934615135193
8001179,0.09249897301197052
8001180,0.1382308006286621
8001181,0.06614602357149124
8001182,0.07360547035932541
8001183,0.2112339437007904
8001184,0.07458826899528503
8001185,0.12109483778476715
8001186,0.0754372626543045
8001187,0.15958406031131744
8001188,0.1021934300661087
8001189,0.12420541048049927
8001190,0.2179158627986908
8001191,0.13581091165542603
8001192,0.03450242057442665
8001193,0.12653127312660217
8001194,0.15429362654685974
8001195,0.14088842272758484
8001196,0.3084792494773865
8001197,0.08859263360500336
8001198,0.11558496206998825
8001199,0.12025818228721619
8001200,0.10360199958086014
8001201,0.048430975526571274
8001202,0.10890532284975052
8001203,0.13681133091449738
8001204,0.07744237780570984
8001205,0.08591809123754501
8001206,0.11386550962924957
8001207,0.15291044116020203
8001208,0.10828959196805954
8001209,0.23009353876113892
8001210,0.09977231919765472
8003103,0.0900316908955574
8003104,0.12381439656019211
8003105,0.20271429419517517
8003106,0.1599753051996231
8003107,0.10033510625362396
8003108,0.0884467363357544
8003109,0.11093464493751526
8003110,0.08210603147745132
8003111,0.22152535617351532
8003112,0.17553740739822388
8003113,0.14828114211559296
8003114,0.16887466609477997
8003115,0.12250250577926636
8003116,0.12187808007001877
8003117,0.0921175628900528
8003118,0.1465303897857666
8003119,0.1463530957698822
8003120,0.1140064150094986
8003121,0.1562759280204773
8003122,0.09690024703741074
8003123,0.10728663206100464
8003124,0.13815414905548096
8003125,0.25039684772491455
8003126,0.05703945457935333
8003127,0.10315797477960587
8003128,0.1446535289287567
8003129,0.11595705151557922
