no,default_12month
8000320,0.23675256967544556
8000392,0.07036367058753967
8000393,0.09466223418712616
8000394,0.09109096229076385
8000395,0.11312149465084076
8000396,0.0882754698395729
8000397,0.1638576090335846
8000398,0.09413526207208633
8000399,0.0849805399775505
8000400,0.08430224657058716
8000401,0.07037005573511124
8000402,0.09725966304540634
8000403,0.12039372324943542
8000404,0.06323961913585663
8000405,0.09042646735906601
8000406,0.058885835111141205
8000407,0.07395759969949722
8000408,0.08065614104270935
8000409,0.19904789328575134
8000410,0.03300027921795845
8000411,0.10858041793107986
8000412,0.10341186076402664
8000413,0.12613272666931152
8000414,0.15087082982063293
8000415,0.06335600465536118
8000416,0.10812165588140488
8000417,0.1344194859266281
8000418,0.05225027725100517
8000419,0.11473184078931808
8000420,0.08414167165756226
8000421,0.10389239341020584
8000422,0.23266538977622986
8000423,0.12897898256778717
8000424,0.07424924522638321
8000425,0.10315553843975067
8000426,0.14258575439453125
8000427,0.07891691476106644
8000428,0.08341275900602341
8000429,0.052085332572460175
8000430,0.09346187114715576
8000431,0.08556404709815979
8000432,0.10746607184410095
8000433,0.0826430395245552
8000434,0.12731032073497772
8000435,0.05675402656197548
8000436,0.1822255551815033
8000437,0.0812540352344513
8000438,0.09056379646062851
8000439,0.08297780156135559
8000440,0.1970611959695816
8000441,0.041045550256967545
8000442,0.07826466113328934
8000443,0.061114389449357986
8000444,0.12950344383716583
8000445,0.11821305751800537
8000446,0.0830664411187172
8000447,0.12170454859733582
8000448,0.0767691507935524
8000449,0.10724606364965439
8000450,0.21831244230270386
8000451,0.08939726650714874
8000452,0.05255361273884773
8000453,0.1257563829421997
8000454,0.07778142392635345
8000455,0.14594586193561554
8000456,0.22001104056835175
8000457,0.11252322047948837
8000458,0.09815400093793869
8000459,0.11006040871143341
8000460,0.05993928760290146
8000461,0.07020026445388794
8000462,0.04874426871538162
8000463,0.06046975404024124
8000464,0.10682400315999985
8000465,0.09710613638162613
8000466,0.07419919967651367
8000467,0.0589132197201252
8000468,0.1732460856437683
8000469,0.13701437413692474
8000470,0.06151812896132469
8000471,0.1078171655535698
8000472,0.10877528786659241
8000473,0.13869668543338776
8000474,0.0769251212477684
8000475,0.23799313604831696
8000476,0.07624583691358566
8000477,0.09562304615974426
8000478,0.04979219660162926
8000479,0.06030992791056633
8000480,0.11660298705101013
8000481,0.08427858352661133
8000482,0.0867752879858017
8000483,0.1277855485677719
8000484,0.05933813378214836
8000485,0.08308830112218857
8000486,0.11505343019962311
8000487,0.10734159499406815
8000488,0.06576616317033768
8000489,0.2126428484916687
8001126,0.0905444324016571
8001127,0.16245153546333313
8001128,0.11300580948591232
8001129,0.052395980805158615
8001130,0.08187916874885559
8001131,0.18287844955921173
8001132,0.09738248586654663
8001133,0.22427211701869965
8001134,0.04482846334576607
8001135,0.2040150910615921
8001136,0.09875377267599106
8001137,0.09193067997694016
8001138,0.10862404108047485
8001139,0.15349480509757996
8001140,0.11482905596494675
8001141,0.10530335456132889
8001142,0.07331401109695435
8001143,0.09255746752023697
8001144,0.11412039399147034
8001145,0.0938793271780014
8001146,0.08721647411584854
8001147,0.11251192539930344
8001148,0.12039116770029068
8001149,0.12950679659843445
8001150,0.07586169987916946
8001151,0.06233026087284088
8001152,0.11575194448232651
8001153,0.08880838006734848
8001154,0.06715550273656845
8001155,0.1204431876540184
8001156,0.07941122353076935
8001157,0.10155577212572098
8001158,0.0680701807141304
8001159,0.14441701769828796
8001160,0.11925382167100906
8001161,0.06683234870433807
8001162,0.2093629539012909
8001163,0.1122109442949295
8001164,0.09658461809158325
8001165,0.13336779177188873
8001166,0.065403051674366
8001167,0.08543980121612549
8001168,0.06353732198476791
8001169,0.11329951882362366
8001170,0.1560157686471939
8001171,0.10236287117004395
8001172,0.0980968102812767
8001173,0.16913574934005737
8001174,0.049751706421375275
8001175,0.19139640033245087
8001176,0.06500336527824402
8001177,0.15210938453674316
8001178,0.09783096611499786
8001179,0.08506383746862411
8001180,0.14237123727798462
8001181,0.05605446547269821
8001182,0.05313834547996521
8001183,0.19959990680217743
8001184,0.0638444647192955
8001185,0.1149464026093483
8001186,0.06034523993730545
8001187,0.15544791519641876
8001188,0.09955137968063354
8001189,0.12789814174175262
8001190,0.17104752361774445
8001191,0.11141566932201385
8001192,0.03705483302474022
8001193,0.11129064857959747
8001194,0.15264485776424408
8001195,0.13771189749240875
8001196,0.23936952650547028
8001197,0.08830694109201431
8001198,0.09964597225189209
8001199,0.08512663841247559
8001200,0.10681211948394775
8001201,0.04039381816983223
8001202,0.09837950021028519
8001203,0.13365767896175385
8001204,0.0734180212020874
8001205,0.06669626384973526
8001206,0.0990876704454422
8001207,0.15080006420612335
8001208,0.10413134098052979
8001209,0.18644754588603973
8001210,0.0676010400056839
8003103,0.08162114769220352
8003104,0.13640236854553223
8003105,0.1774725615978241
8003106,0.16326598823070526
8003107,0.10444501787424088
8003108,0.07859613001346588
8003109,0.08696987479925156
8003110,0.062291622161865234
8003111,0.24226905405521393
8003112,0.1601146012544632
8003113,0.13072898983955383
8003114,0.1679280698299408
8003115,0.1125420406460762
8003116,0.13361673057079315
8003117,0.11218896508216858
8003118,0.14227120578289032
8003119,0.13042832911014557
8003120,0.10853996127843857
8003121,0.17345698177814484
8003122,0.08098329603672028
8003123,0.1007029116153717
8003124,0.12672209739685059
8003125,0.2372310310602188
8003126,0.03405345603823662
8003127,0.08146604150533676
8003128,0.11625967174768448
8003129,0.09595529735088348
8003130,0.13184106349945068
8003131,0.18807284533977509
8003132,0.0619640126824379
8003133,0.16342373192310333
8003134,0.09230566024780273
8003135,0.09236780554056168
8003136,0.14358292520046234
8003137,0.10740943253040314
8003138,0.29107600450515747
8003139,0.06743787229061127
8003140,0.11264114826917648
8003141,0.1561371237039566
8003142,0.21910376846790314
8003143,0.11327958852052689
8003144,0.16431017220020294
8003145,0.07816748321056366
8003146,0.09442923218011856
8003147,0.17058289051055908
8003148,0.1444014012813568
8003149,0.10987162590026855
8003150,0.10390174388885498
8003151,0.09890726208686829
8003152,0.11982665956020355
8003153,0.14216971397399902
8003154,0.08496015518903732
8003155,0.18092115223407745
8003156,0.1177482083439827
8003157,0.13481232523918152
8003158,0.18169963359832764
8003159,0.2276662290096283
8003160,0.06923135370016098
8003161,0.1116936057806015
8003162,0.13153943419456482
8003163,0.2197486162185669
8003164,0.14226217567920685
8003165,0.12034958600997925
8003166,0.057469259947538376
8003167,0.08480914682149887
8003168,0.13509848713874817
8003169,0.1438063085079193
8003170,0.21508024632930756
8003171,0.05617573484778404
8003172,0.17447243630886078
8003173,0.07471241056919098
8003174,0.13957823812961578
8003175,0.06838300824165344
8003176,0.14778563380241394
8003177,0.13925114274024963
8003178,0.23650161921977997
8003179,0.07374124974012375
8003180,0.15899822115898132
8003181,0.18700668215751648
8003182,0.06083802878856659
8003183,0.08668391406536102
8003184,0.13774770498275757
8003185,0.17570291459560394
8003186,0.15678580105304718
8003187,0.1578662395477295
8003188,0.09113815426826477
8003189,0.14118824899196625
8003190,0.08185748010873795
8003191,0.12321935594081879
8003192,0.07310575991868973
8003193,0.04674801975488663
8003194,0.2253427654504776
8003195,0.06793101876974106
8003196,0.07799563556909561
8003197,0.09171845018863678
8003198,0.15193727612495422
8003199,0.08069652318954468
8003200,0.1012105643749237
8003201,0.045067235827445984
8003202,0.0823594480752945
8003203,0.09315796941518784
8003204,0.19315195083618164
8003205,0.134832963347435
8003206,0.09597597271203995
8003207,0.0838472917675972
8003208,0.18728458881378174
8003209,0.09276063740253448
8003210,0.17313365638256073
8003211,0.22555330395698547
8003212,0.17981015145778656
8003213,0.08250731229782104
8003214,0.16025349497795105
8003215,0.08617174625396729
8003216,0.1049385517835617
8003217,0.07408303022384644
8003218,0.20438826084136963
8003219,0.20218032598495483
8003220,0.06261827796697617
8003221,0.09546267241239548
8003222,0.09713786840438843
