no,default_12month
8000320,0.279192179441452
8000392,0.09363283216953278
8000393,0.09962505847215652
8000394,0.08849363774061203
8000395,0.10210562497377396
8000396,0.08838829398155212
8000397,0.18027068674564362
8000398,0.09664181619882584
8000399,0.09042016416788101
8000400,0.09149310737848282
8000401,0.07055290788412094
8000402,0.09218151867389679
8000403,0.11553844064474106
8000404,0.059335511177778244
8000405,0.09883230924606323
8000406,0.06539464741945267
8000407,0.07951664924621582
8000408,0.07346353679895401
8000409,0.23699703812599182
8000410,0.0629386380314827
8000411,0.11532475799322128
8000412,0.10154524445533752
8000413,0.12427138537168503
8000414,0.152998149394989
8000415,0.06449431926012039
8000416,0.1077282503247261
8000417,0.13640019297599792
8000418,0.06636564433574677
8000419,0.11477349698543549
8000420,0.09362030029296875
8000421,0.10710643976926804
8000422,0.26141494512557983
8000423,0.12680895626544952
8000424,0.08383452147245407
8000425,0.1008194237947464
8000426,0.13808028399944305
8000427,0.07687583565711975
8000428,0.09293126314878464
8000429,0.09500240534543991
8000430,0.09140089899301529
8000431,0.09339766204357147
8000432,0.11044906079769135
8000433,0.08894965052604675
8000434,0.12077388167381287
8000435,0.05904539301991463
8000436,0.21325050294399261
8000437,0.08615726232528687
8000438,0.10069761425256729
8000439,0.08123180270195007
8000440,0.2451128363609314
8000441,0.05897180363535881
8000442,0.09087840467691422
8000443,0.08778731524944305
8000444,0.1247221827507019
8000445,0.12160847336053848
8000446,0.08236559480428696
8000447,0.12128586322069168
8000448,0.08928728848695755
8000449,0.10656985640525818
8000450,0.24904373288154602
8000451,0.09605003893375397
8000452,0.07858086377382278
8000453,0.12033028155565262
8000454,0.0759502723813057
8000455,0.1337827742099762
8000456,0.2672071158885956
8000457,0.10420973598957062
8000458,0.09011521190404892
8000459,0.10617519915103912
8000460,0.08979529142379761
8000461,0.0796780064702034
8000462,0.0643734335899353
8000463,0.08935677260160446
8000464,0.12086285650730133
8000465,0.1029147207736969
8000466,0.07928310334682465
8000467,0.06423138827085495
8000468,0.1642092913389206
8000469,0.15457497537136078
8000470,0.08352985233068466
8000471,0.10766608268022537
8000472,0.12449020892381668
8000473,0.14385122060775757
8000474,0.0858265608549118
8000475,0.28372812271118164
8000476,0.08081184327602386
8000477,0.10251393169164658
8000478,0.053157590329647064
8000479,0.07023225724697113
8000480,0.11931300163269043
8000481,0.0978183001279831
8000482,0.08860858529806137
8000483,0.13324189186096191
8000484,0.06879682838916779
8000485,0.09070414304733276
8000486,0.11890996992588043
8000487,0.11324509978294373
8000488,0.08715498447418213
8000489,0.247857466340065
8001126,0.08907530456781387
8001127,0.16383153200149536
8001128,0.11056561022996902
8001129,0.06156992167234421
8001130,0.0895795151591301
8001131,0.20246365666389465
8001132,0.0964660495519638
8001133,0.26336702704429626
8001134,0.06603064388036728
8001135,0.21719370782375336
8001136,0.11383692175149918
8001137,0.09528038650751114
8001138,0.10609367489814758
8001139,0.1695684790611267
8001140,0.11312277615070343
8001141,0.10540132224559784
8001142,0.09007963538169861
8001143,0.09659166634082794
8001144,0.14552533626556396
8001145,0.09220936894416809
8001146,0.08349362760782242
8001147,0.11541181057691574
8001148,0.11683132499456406
8001149,0.13029415905475616
