no,default_12month
8000320,0.21529164910316467
8000392,0.13849353790283203
8000393,0.13048698008060455
8000394,0.08188062906265259
8000395,0.07824799418449402
8000396,0.08200638741254807
8000397,0.17829975485801697
8000398,0.08601489663124084
8000399,0.09143028408288956
8000400,0.1068730279803276
8000401,0.06658416241407394
8000402,0.10760616511106491
8000403,0.14712560176849365
8000404,0.0554395467042923
8000405,0.09476422518491745
8000406,0.07688342034816742
8000407,0.08948033303022385
8000408,0.09774770587682724
8000409,0.1584874838590622
8000410,0.048553500324487686
8000411,0.14352183043956757
8000412,0.11844582110643387
8000413,0.1293724626302719
8000414,0.15131914615631104
8000415,0.07411926239728928
8000416,0.13143290579319
8000417,0.12747164070606232
8000418,0.0729341208934784
8000419,0.1164785698056221
8000420,0.10436097532510757
8000421,0.09956629574298859
8000422,0.12063854932785034
8000423,0.12637872993946075
8000424,0.07924071699380875
8000425,0.10455786436796188
8000426,0.09683810919523239
8000427,0.11140375584363937
8000428,0.06516318023204803
8000429,0.04470156133174896
8000430,0.08780238032341003
8000431,0.11584751307964325
8000432,0.1129022166132927
8000433,0.08790313452482224
8000434,0.13742989301681519
8000435,0.04778078943490982
8000436,0.14528435468673706
8000437,0.08137308806180954
8000438,0.08032181859016418
8000439,0.13020940124988556
8000440,0.16236074268817902
8000441,0.06239800527691841
8000442,0.09903714060783386
8000443,0.0458596833050251
8000444,0.12088169902563095
8000445,0.1259569376707077
8000446,0.07370124012231827
8000447,0.11439884454011917
8000448,0.08197315037250519
8000449,0.12091411650180817
8000450,0.1954895406961441
8000451,0.07548575848340988
8000452,0.05299725756049156
8000453,0.11667846888303757
8000454,0.11092471331357956
8000455,0.13235805928707123
8000456,0.19103558361530304
8000457,0.10542834550142288
8000458,0.11571541428565979
8000459,0.13390566408634186
8000460,0.0633934736251831
8000461,0.08213398605585098
8000462,0.056091632694005966
8000463,0.06310436874628067
8000464,0.1130102127790451
8000465,0.07808220386505127
8000466,0.06882021576166153
8000467,0.04779696464538574
8000468,0.15132677555084229
8000469,0.14651639759540558
8000470,0.05835052579641342
8000471,0.11415892839431763
8000472,0.09621068090200424
8000473,0.11460694670677185
8000474,0.054611172527074814
8000475,0.20586079359054565
8000476,0.09425438195466995
8000477,0.08630751073360443
8000478,0.05353584140539169
8000479,0.0883655995130539
8000480,0.12949854135513306
8000481,0.10492216050624847
8000482,0.11449087411165237
8000483,0.1429133415222168
8000484,0.05348120629787445
8000485,0.10179273784160614
8000486,0.13472171127796173
8000487,0.1398213654756546
8000488,0.08983714878559113
8000489,0.19579735398292542
8001126,0.09193713217973709
8001127,0.14595021307468414
8001128,0.11339281499385834
8001129,0.0518522635102272
8001130,0.09033099561929703
8001131,0.19999583065509796
8001132,0.11441268771886826
8001133,0.1830863505601883
8001134,0.06471138447523117
8001135,0.18548530340194702
8001136,0.10198230296373367
8001137,0.10452743619680405
8001138,0.10968276858329773
8001139,0.10607903450727463
8001140,0.09924659878015518
8001141,0.1023702472448349
8001142,0.10008148849010468
8001143,0.11909575015306473
8001144,0.11902379244565964
8001145,0.10756738483905792
8001146,0.10662143677473068
8001147,0.11607106775045395
8001148,0.06816720962524414
8001149,0.08773930370807648
8001150,0.07322751730680466
8001151,0.07687394320964813
8001152,0.10509120672941208
8001153,0.08258334547281265
8001154,0.08949574828147888
8001155,0.1275056153535843
8001156,0.081443652510643
8001157,0.10992762446403503
8001158,0.08883156627416611
8001159,0.13135555386543274
8001160,0.10350296646356583
8001161,0.0716668963432312
8001162,0.18519918620586395
8001163,0.10424642264842987
8001164,0.09350279718637466
8001165,0.10587627440690994
8001166,0.06528089940547943
8001167,0.10961144417524338
8001168,0.07467903941869736
8001169,0.11151733249425888
8001170,0.16511981189250946
8001171,0.10398449003696442
8001172,0.13658550381660461
8001173,0.1659245640039444
8001174,0.06264342367649078
8001175,0.13710153102874756
8001176,0.07027553021907806
8001177,0.14790621399879456
8001178,0.09530006349086761
8001179,0.06991913169622421
8001180,0.13528130948543549
8001181,0.05828695371747017
8001182,0.056894686073064804
8001183,0.18646495044231415
8001184,0.096821129322052
8001185,0.11826659739017487
8001186,0.08660651743412018
8001187,0.14916972815990448
8001188,0.09812089055776596
8001189,0.15070092678070068
8001190,0.16264736652374268
8001191,0.09488628059625626
8001192,0.049127332866191864
8001193,0.1312818080186844
8001194,0.11121641844511032
8001195,0.1294410675764084
8001196,0.23322907090187073
8001197,0.08864442259073257
8001198,0.07287603616714478
8001199,0.07579462975263596
8001200,0.10714330524206161
8001201,0.05770598724484444
8001202,0.1089973896741867
8001203,0.13936647772789001
8001204,0.07988213002681732
8001205,0.07587766647338867
8001206,0.10762891173362732
8001207,0.15116877853870392
8001208,0.08911405503749847
8001209,0.19956791400909424
8001210,0.0619102381169796
8003103,0.07958551496267319
8003104,0.15182317793369293
8003105,0.21189144253730774
8003106,0.14846019446849823
8003107,0.10431283712387085
8003108,0.12517404556274414
8003109,0.07811091840267181
8003110,0.06932725757360458
8003111,0.19461314380168915
8003112,0.16342388093471527
8003113,0.14014996588230133
8003114,0.12492858618497849
8003115,0.11893892288208008
8003116,0.10586981475353241
8003117,0.09798543900251389
8003118,0.1184513047337532
8003119,0.1426800787448883
8003120,0.0716022327542305
8003121,0.1533067226409912
8003122,0.06607979536056519
8003123,0.0802231878042221
8003124,0.1271391659975052
8003125,0.17370399832725525
8003126,0.04237721115350723
8003127,0.07362616807222366
8003128,0.11797844618558884
8003129,0.08736985921859741
8003130,0.13747866451740265
8003131,0.15957283973693848
8003132,0.04529816284775734
8003133,0.14896392822265625
8003134,0.07825048267841339
8003135,0.12299954146146774
8003136,0.1389201432466507
8003137,0.10544323176145554
8003138,0.2091827094554901
8003139,0.058744728565216064
8003140,0.10518032312393188
8003141,0.13831095397472382
8003142,0.16345880925655365
8003143,0.08736125379800797
8003144,0.16123178601264954
8003145,0.07660708576440811
8003146,0.08942487090826035
8003147,0.1486300379037857
8003148,0.14122414588928223
8003149,0.08817777037620544
8003150,0.17341135442256927
8003151,0.10163392871618271
8003152,0.1376093029975891
8003153,0.15389852225780487
8003154,0.05325334891676903
8003155,0.11854356527328491
8003156,0.1862589418888092
8003157,0.1636921912431717
8003158,0.14558574557304382
8003159,0.17704856395721436
8003160,0.0669720470905304
8003161,0.1246022954583168
