no,default_12month
8000320,0.1286
8000392,0.0838
8000393,0.1147
8000394,0.0566
8000395,0.053
8000396,0.0576
8000397,0.1407
8000398,0.0512
8000399,0.1039
8000400,0.1185
8000401,0.0494
8000402,0.1079
8000403,0.1324
8000404,0.0969
8000405,0.069
8000406,0.0488
8000407,0.0911
8000408,0.0947
8000409,0.1547
8000410,0.0423
8000411,0.1085
8000412,0.1005
8000413,0.117
8000414,0.1169
8000415,0.053
8000416,0.0904
8000417,0.1408
8000418,0.0939
8000419,0.0997
8000420,0.0752
8000421,0.1115
8000422,0.0714
8000423,0.0966
8000424,0.0813
8000425,0.105
8000426,0.1178
8000427,0.092
8000428,0.0437
8000429,0.0358
8000430,0.071
8000431,0.0775
8000432,0.096
8000433,0.0714
8000434,0.1287
8000435,0.0602
8000436,0.1229
8000437,0.0681
8000438,0.078
8000439,0.1152
8000440,0.1303
8000441,0.0698
8000442,0.0972
8000443,0.0663
8000444,0.105
8000445,0.1088
8000446,0.0882
8000447,0.0881
8000448,0.0708
8000449,0.0817
8000450,0.1235
8000451,0.0815
8000452,0.0415
8000453,0.107
8000454,0.0954
8000455,0.1453
8000456,0.1502
8000457,0.0883
8000458,0.1423
8000459,0.1125
8000460,0.0383
8000461,0.0579
8000462,0.0486
8000463,0.0509
8000464,0.0793
8000465,0.0859
8000466,0.0506
8000467,0.0443
8000468,0.1354
8000469,0.1203
8000470,0.0795
8000471,0.0818
8000472,0.1505
8000473,0.1425
8000474,0.0524
8000475,0.1213
8000476,0.1103
8000477,0.0678
8000478,0.043
8000479,0.085
8000480,0.086
8000481,0.116
8000482,0.0969
8000483,0.1233
8000484,0.0554
8000485,0.1044
8000486,0.0981
8000487,0.0837
8000488,0.0925
8000489,0.1614
8001126,0.0745
8001127,0.1218
8001128,0.0987
8001129,0.043
8001130,0.063
8001131,0.1489
8001132,0.1054
8001133,0.1709
8001134,0.0403
8001135,0.1675
8001136,0.0935
8001137,0.108
8001138,0.0882
8001139,0.0599
8001140,0.0891
8001141,0.0762
8001142,0.0592
8001143,0.0835
8001144,0.1083
8001145,0.0697
8001146,0.0664
8001147,0.1079
8001148,0.0741
8001149,0.1059
8001150,0.0506
8001151,0.0596
8001152,0.0837
8001153,0.0809
8001154,0.075
8001155,0.1249
8001156,0.0624
8001157,0.0931
8001158,0.0715
8001159,0.1491
8001160,0.083
8001161,0.0459
8001162,0.1789
8001163,0.106
8001164,0.0716
