no,default_12month
8000320,0.20991956
8000392,0.10313446
8000393,0.11344708
8000394,0.082749814
8000395,0.06589995
8000396,0.10054139
8000397,0.17253001
8000398,0.06612149
8000399,0.10613606
8000400,0.09414626
8000401,0.062139
8000402,0.110276535
8000403,0.14790462
8000404,0.034235295
8000405,0.10408451
8000406,0.053080942
8000407,0.07474773
8000408,0.0882263
8000409,0.19461556
8000410,0.015510785
8000411,0.1437795
8000412,0.12093465
8000413,0.14636056
8000414,0.17365861
8000415,0.057527866
8000416,0.13736919
8000417,0.1492053
8000418,0.0718299
8000419,0.12479616
8000420,0.107853614
8000421,0.11425537
8000422,0.13532269
8000423,0.13219243
8000424,0.088307336
8000425,0.107216425
8000426,0.14243168
8000427,0.11797002
8000428,0.07075278
8000429,0.024978798
8000430,0.0800449
8000431,0.11665419
8000432,0.12693843
8000433,0.08545092
8000434,0.14042366
8000435,0.02769741
8000436,0.14972484
8000437,0.08470845
8000438,0.09096125
8000439,0.09478031
8000440,0.1612862
8000441,0.046431307
8000442,0.095609725
8000443,0.04215451
8000444,0.12785518
8000445,0.15735795
8000446,0.09607575
8000447,0.13880636
8000448,0.07308434
8000449,0.1204722
8000450,0.2574754
8000451,0.07793525
8000452,0.031921532
8000453,0.14586595
8000454,0.11461242
8000455,0.15962088
8000456,0.21638261
8000457,0.114285775
8000458,0.11266701
8000459,0.14469163
8000460,0.032833572
8000461,0.0710234
8000462,0.031720404
8000463,0.04105178
8000464,0.12976415
8000465,0.08925554
8000466,0.05264659
8000467,0.03772309
8000468,0.2045666
8000469,0.1701285
8000470,0.07115673
8000471,0.117653295
8000472,0.11899922
8000473,0.13945693
8000474,0.032098692
8000475,0.223776
8000476,0.106325455
8000477,0.116129644
8000478,0.027199302
8000479,0.070842184
8000480,0.11943667
8000481,0.09679426
8000482,0.09915161
8000483,0.14642182
8000484,0.04509185
8000485,0.09721594
8000486,0.10552345
8000487,0.15471491
8000488,0.104619354
8000489,0.21720794
8001126,0.09893383
8001127,0.16346233
8001128,0.126649
8001129,0.03172705
8001130,0.0983377
8001131,0.21429907
8001132,0.10841835
8001133,0.21015605
8001134,0.034285087
8001135,0.21108434
8001136,0.11306849
8001137,0.09293788
8001138,0.12115105
8001139,0.10962103
8001140,0.11526645
8001141,0.097391315
8001142,0.10874968
8001143,0.10819085
8001144,0.12492399
8001145,0.10533549
8001146,0.10182716
8001147,0.13491672
8001148,0.053812597
8001149,0.14532022
8001150,0.05489822
8001151,0.06363561
8001152,0.12251997
8001153,0.106507815
8001154,0.064869754
8001155,0.1413139
8001156,0.060144473
8001157,0.12427407
8001158,0.099273555
8001159,0.15652744
8001160,0.118888795
8001161,0.047456075
8001162,0.24968725
8001163,0.14273772
8001164,0.1018923
8001165,0.09533193
8001166,0.04996554
8001167,0.094250925
8001168,0.06752211
8001169,0.13514054
8001170,0.19110021
8001171,0.12761816
8001172,0.14154041
8001173,0.16612723
8001174,0.051091503
8001175,0.18976058
8001176,0.059571784
8001177,0.18070585
8001178,0.1018182
8001179,0.07549107
8001180,0.16825458
8001181,0.04848068
8001182,0.03589545
8001183,0.2133307
8001184,0.09250198
8001185,0.14164153
8001186,0.08045022
8001187,0.17999211
8001188,0.09421793
8001189,0.13790877
8001190,0.1710729
8001191,0.12380862
8001192,0.018500198
8001193,0.13898355
8001194,0.15741129
8001195,0.14245602
8001196,0.2898579
8001197,0.09920031
8001198,0.09683218
8001199,0.080156215
